parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1993,2.6453526874808873,2.07234139837955,2.636177871927373,3.596534438160792,0,Float64,0.19541660483741985,3.0562713373023933,2.2991493864762615,2.84461999785284,2.4445625181135675,2.769246973011503,2.5094640447388006,0.0027217983047054207,889.7857714994844,1.007220778141061,0.2988650375046636
B,1998,2.642045332024229,2.17596608526385,2.630041736611027,3.542904100689569,0,Float64,0.17946893216992216,3.018084561004697,2.3243865447730574,2.8229595468104955,2.457247247112525,2.757321358412974,2.5155752203420616,0.00266511276038165,743.9777964738781,1.0090758056069542,0.24989043336925443
B,2003,2.5601391565273195,2.1568232141022112,2.554766455658322,3.1247489242690367,0,Float64,0.14728660774689564,2.867383089358822,2.299142371899561,2.717293926633914,2.406091903728546,2.656586293556847,2.4543287407122847,0.0021290403921009945,845.1452102329048,1.0103491981520003,0.28387097551299767
B,2008,2.460260027032702,2.0796190867802684,2.4563599057842382,3.09109886708505,0,Float64,0.1266348119793027,2.711646007270787,2.2232283986868433,2.5927877120318583,2.327721195346591,2.5436053085489294,2.3721818313276444,0.0015605048370587744,1279.7435689097395,1.0025995205650526,0.42984572463326126
B,2013,2.358135085450507,1.9411112381566853,2.3550231619644872,2.8623883680104933,0,Float64,0.1328700338561871,2.6244221954412836,2.1033086083409893,2.498493279641089,2.220081675919073,2.4453692193047,2.2682041133395305,0.0017502548522200633,1103.384841004737,0.9995827732271237,0.37060960340288945
B,2018,2.2562347237342655,1.6641754577805934,2.258962901754228,2.8750033643806194,0,Float64,0.1650973055121101,2.5718116059991223,1.922594122768723,2.428206229375821,2.086120804841355,2.3670580876753595,2.1479670142595526,0.002675149324003711,781.3418092831301,1.0009319091059736,0.26244041724991746
b,1993,2.0114723180046554,1.4859481783701984,2.0085481681335438,2.5573758828235937,0,Float64,0.14838614390810656,2.307577041573922,1.7255837240952332,2.1656042828642836,1.8583962636964544,2.1103531370847293,1.9105172649689601,0.002777118082356879,884.9627112427488,1.0072364427952398,0.2972450474680872
b,1998,2.1455883327436265,1.5630541167116607,2.1453792545444976,2.6997268593022072,0,Float64,0.14823590478661416,2.437132648292263,1.8609590709803265,2.3009440226155773,1.989396837896749,2.2451817960030924,2.044432627107102,0.0027606403094221767,740.5746202136743,1.0091006847621742,0.2487473600214678
b,2003,2.264212947632722,1.815161979270584,2.261752490309606,2.7475341502421187,0,Float64,0.13291810018174063,2.5207084012375622,2.009276406591656,2.4045615885202305,2.1238230493458334,2.3557305218421636,2.1716987517640085,0.002173866102644557,847.6873590571538,1.0101383699980795,0.28472484329560027
b,2008,2.4411685928052016,1.9457718636739412,2.4389997109312307,2.8876992685007803,0,Float64,0.12490990697735437,2.6917819315270872,2.2080950574796008,2.5724730412766528,2.3106332424699896,2.5277669359559485,2.3538476878245227,0.0014992511199063245,1280.3332769901567,1.002447345727464,0.43004379829685074
