parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,4.334764613666241,3.5996278088008893,4.324641886496476,5.170815658990155,0,Float64,0.20422327729076567,4.720176991555374,3.9557922201291196,4.549924011709884,4.125216518239477,4.468350372901414,4.195547831827856,0.0023830359945421803,190.08501131211307,1.0217438907674212,0.0025727259973159938
B,1953,4.3830606003140025,3.7526932017883934,4.3716100086067655,5.117683286598766,0,Float64,0.197325854452616,4.7689116311961826,4.027320887111393,4.591405215799619,4.179160394638794,4.512424645878684,4.245843048658501,0.0023272004026081866,202.17795203790848,1.020264049274511,0.002736399202133656
B,1958,4.247781332213513,3.5954835234905604,4.2522496478080525,4.83177902932809,0,Float64,0.17830284533917512,4.589755700329669,3.8888624340150004,4.429334451841897,4.062836372113127,4.3672860555042785,4.128092115791926,0.0012653794736916615,1417.6602873452277,1.005373563594762,0.019187475390297172
B,1963,4.66039775464774,3.9875143238589295,4.663090587702834,5.403750573658827,0,Float64,0.18768119820004162,5.024610800717103,4.283598872628834,4.842140859857372,4.468515031291352,4.792051069079031,4.536451213075132,0.0012866664123360471,1220.7027119988234,1.00888709910172,0.016521731937069264
B,1968,5.167490568801992,4.485988092595408,5.168678978914631,6.074558488431855,0,Float64,0.2247671191900875,5.61893614426849,4.736408889417714,5.390535991832958,4.9301033305585005,5.311289978431608,5.014186142663892,0.001364743235151473,1347.2670415300386,1.005453515733939,0.01823473044584267
B,1973,5.532693196989715,4.666650898190455,5.534599836467319,6.4676454961747165,0,Float64,0.2668729149282359,6.0743585014876285,5.024638301429974,5.801370020002894,5.246903147697242,5.72027915067923,5.3466351924499715,0.0016477333795881113,1125.2620384399927,1.0040042894000822,0.015229979892175099
B,1978,5.790732862687316,4.79986751872493,5.776794473639079,6.920450312466861,0,Float64,0.30544627170185706,6.389124353696513,5.211426219209977,6.127915553256172,5.4767827559726685,6.001097933372489,5.580411185190577,0.0021573337020716066,497.36673335981914,1.0078752536797315,0.00673166346090223
B,1983,5.829034940515451,4.814776390410904,5.820926010990808,7.07390231820894,0,Float64,0.315517584071537,6.466013997473418,5.226690206661815,6.159075731044023,5.505080399011734,6.054007708533114,5.607916188546649,0.0021481591868897144,651.0332982480205,1.0070426907034864,0.008811480084407504
B,1988,5.6320668589476774,4.597546982165873,5.630560521380399,7.12022589106197,0,Float64,0.3112104453916455,6.249521379009993,5.031808764682865,5.9386754147819705,5.310413297310344,5.8496169515714955,5.4152553889824295,0.002272736492385139,748.566087569332,1.0047960351441323,0.010131548094744581
B,1993,5.239436940321007,4.237156499097152,5.244583348327936,6.630632041215635,0,Float64,0.32780916986437086,5.911099018969095,4.622663191882583,5.570311261917293,4.909214754789224,5.441985281032267,5.015071693533088,0.002250254425396353,971.5319294945446,1.001542367854993,0.01314930322480353
