parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.3687116368919625,1.7936164474970022,2.3641667264406703,3.3053489258385453,0,Float64,0.17708585633368223,2.7356174797034147,2.0443663785168638,2.550024541350273,2.1846810844399105,2.4874507694471615,2.246992948396055,0.0024717901943850577,1163.5034934864009,1.003110638109067,0.0525630969174039
B,1953,2.4229495040517173,1.8744088080677181,2.4179163941478694,3.159151528634461,0,Float64,0.16325881307080453,2.76054012820718,2.1183223554378485,2.5954766512832066,2.2563228015203545,2.5280502368093516,2.309522385345905,0.0022905062962460814,1048.82111279847,1.0031011748656817,0.04738214032847658
B,1958,2.4961432635184786,1.9536414639036503,2.4903254332808227,3.1535704454866718,0,Float64,0.15634819946305192,2.8114904083647176,2.2114144282836117,2.662599127025773,2.3361852593892514,2.5987195209865486,2.384375099808061,0.0020949467350133218,980.8452668642734,1.0022944466330528,0.04431122477224112
B,1963,2.5279013227138383,2.0478031149251787,2.520456766904789,3.1643201251825896,0,Float64,0.1508042596300986,2.8302808608514374,2.2484869750296217,2.688797321987713,2.3749184669136314,2.629168553696986,2.42231746937464,0.0020231722036493306,919.8284400526522,1.0026357186946382,0.041554693829921975
B,1968,2.531638627312592,1.9905905337238206,2.5292208374370397,3.1374896546806736,0,Float64,0.14464317579557592,2.8362620524739,2.2643683513354365,2.6789600241860025,2.382314876777801,2.628922682711372,2.4292999310909793,0.0020358324071193157,871.447704647607,1.0029279381461944,0.039369018154457924
B,1973,2.5313770118725984,2.0246957561997436,2.5304557442817277,3.0972044617074754,0,Float64,0.14072053273434515,2.8168335168195022,2.2632205758061867,2.675648059065419,2.3864772645056656,2.6245228140083077,2.4363600551947773,0.0019999912448898454,896.9836196019589,1.003259540442058,0.04052264320168334
B,1978,2.5340180495503657,2.003099773917897,2.531172605605515,3.034995634699659,0,Float64,0.13868522489135693,2.812190521006405,2.260959661676858,2.676462199863447,2.3904107895897133,2.6249299618271924,2.441917130251862,0.001986402206982565,910.6036032193819,1.002360082179459,0.04113794734378854
B,1983,2.545287706927616,2.0172346343861274,2.5441158327999083,3.0193140609444247,0,Float64,0.13801628916889214,2.8144014360069587,2.2731030442420552,2.6875273837387885,2.4025220284046465,2.6384152172331694,2.452867345118527,0.0019069796017455011,932.3521423357569,1.0016814581663938,0.042120471741683124
B,1988,2.56676004395202,2.100684996785895,2.5656721091950128,3.1000333605501122,0,Float64,0.1389361400788813,2.8406365051991234,2.293781872625369,2.7085407000609014,2.4216112463279913,2.6582907869892587,2.4739392297475846,0.0018329557458141089,1027.0193718294151,1.0018427181725214,0.046397212453364915
B,1993,2.6005811184037535,2.1256104354599104,2.599077586793788,3.1655825991656514,0,Float64,0.142535786218695,2.896431928944687,2.3328458104384096,2.7439218927030207,2.451771010512334,2.6931094257097596,2.5034671427801296,0.0016887834745204912,1171.5134591674898,1.002530005345393,0.05292495969199563
B,1998,2.664016058339622,2.2194974905027793,2.659308964717476,3.2861627211952276,0,Float64,0.15149548388911407,2.976335649284813,2.389527740999092,2.8142876307504037,2.5076884293129695,2.7620890744238356,2.5600207086525355,0.0016308148457920657,1239.407643176955,1.0043524098428795,0.05599218604257923
B,2003,2.7182528873057636,2.2445890311256553,2.7125259737831318,3.486906562770359,0,Float64,0.16650287703009067,3.0588680880425483,2.4187920285488778,2.8830846484640333,2.5480395764842148,2.8243152199792307,2.603516641174664,0.0016665264801317627,1317.4494897745328,1.0042644006645545,0.059517848981527344
B,2008,2.764818540343643,2.1940409007212978,2.752855453347082,3.5201256206399973,0,Float64,0.18460325601508773,3.153591508061606,2.433771339360428,2.953765387688105,2.5779333069628536,2.880343276256297,2.6341645467797727,0.0017953816681241718,1304.634576503557,1.0046236419336625,0.05893891515621322
B,2013,2.7997706141021967,2.2118542983874216,2.785617420971198,3.729345133281315,0,Float64,0.21095069731242974,3.261426064999004,2.423140138044213,3.013240976079722,2.589507511045188,2.934706244250446,2.6543550544195296,0.001980587497302418,1302.0285412026706,1.0045851106113206,0.05882118342024721
B,2018,2.7942604781244578,2.0891655021822553,2.776783839011973,3.8205298335692492,0,Float64,0.24174226303133514,3.32641922572219,2.364468502271891,3.039734176253581,2.5513770919727197,2.9452909706992396,2.6308822178875526,0.0023096995994057816,1308.3479997793393,1.0044360268208967,0.05910667488244783
b,1948,1.6455711695842226,1.1769548930440141,1.641990948444753,2.2305239235353325,0,Float64,0.1164605453403774,1.8846344645334205,1.427510634083895,1.764897994025571,1.5258781653128477,1.7199008451990587,1.5648137717689572,0.0023898261066599468,1111.332612197027,1.0035142346452475,0.05020619545141635
b,1953,1.7094159684541963,1.3033669949080857,1.7060898799008202,2.1990010514265412,0,Float64,0.11177682161528048,1.9421996999059226,1.504714203216732,1.8237394327682146,1.593903775089741,1.7820021994925557,1.632957892307285,0.002189575769484175,1095.4712917374718,1.002960042986911,0.04948963539876418
b,1958,1.8166349371868837,1.4710376965637775,1.8129858537817078,2.2533096706349895,0,Float64,0.11053191389325932,2.043657889479981,1.6115210606505572,1.931280882365431,1.7023218439772885,1.887648453105415,1.7404003694787487,0.002009344384123227,1057.0495206001021,1.0017912516929164,0.047753871568798956
b,1963,1.9120205620330293,1.5363198835145042,1.9095272804450663,2.353471488655641,0,Float64,0.1116675646280095,2.1351487412062147,1.704697226744103,2.0288464839473517,1.7962914007260817,1.9855924083727294,1.833783001219531,0.0020073133758712705,964.7846148041114,1.0022837561134377,0.043585659601598284
b,1968,1.9936728415811324,1.607128962720192,1.9891413261513011,2.4980210350617797,0,Float64,0.1138708431832143,2.225741875307968,1.7772032517344727,2.1106582135278193,1.8770688361596366,2.0700096429052515,1.9126665274988566,0.0019902656516926354,943.1244921096705,1.0022590742368596,0.04260712955437066
b,1973,2.0712172042582435,1.7146832667602139,2.0656259263937744,2.6185671289392842,0,Float64,0.11567805800989557,2.3072602283598145,1.8579417220967986,2.190286879123684,1.9546708416648524,2.1444812981861965,1.9915614891737485,0.0020230047033149685,876.995082744093,1.0027428895499302,0.03961962966886717
b,1978,2.135612374861139,1.7574344742782289,2.1299926455040454,2.6889548992875083,0,Float64,0.11821125714460003,2.3830979095391904,1.9196604231001977,2.2563967119940416,2.014720983819346,2.2092100598174396,2.055512391003318,0.002023563672532347,903.0725331847539,1.0024409220155976,0.04079771943185015
b,1983,2.1912285723807785,1.8161515048121892,2.185123864895079,2.683264663165318,0,Float64,0.11971266363570719,2.448844388150668,1.9701470596584365,2.3153308371261248,2.070811159664295,2.2656349059227114,2.109153049783384,0.0019452664073520073,904.6941032586395,1.002493807808541,0.04087097640566172
b,1988,2.2465217801686608,1.8351881608668854,2.2412201787820543,2.761339942405601,0,Float64,0.12218053572986576,2.508744386177182,2.018067109723149,2.3719965634986573,2.1215395785262023,2.3253151624765946,2.1644745830470025,0.001841984880691154,1048.7977365876693,1.0023215810005255,0.04738108427145505
b,1993,2.297658576361431,1.8771025784014175,2.2931295913931757,2.7626521844412664,0,Float64,0.12864446439061414,2.56020003296396,2.05337522875447,2.432034871397518,2.166255994870641,2.3826128206425063,2.2095538198864833,0.001667328139371609,1187.0664882838407,1.0026510409117289,0.05362759219922799
