parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.83159112215651,2.211515356501937,2.815759964902225,3.617838706579233,0,Float64,0.2077670845163678,3.275807643852389,2.4491023575889384,3.044018033435033,2.623426910841199,2.957144060358444,2.6956048327467697,0.0031289541586096096,473.7468360912422,1.0050225963414021,0.029998188134774114
B,1963,2.874319402625983,2.2967496847774393,2.8540923070165896,3.589284246986626,0,Float64,0.19721143096645158,3.330413012360603,2.520558362568725,3.0790910801077143,2.679647161560676,2.997538169247334,2.752170290392883,0.0034812140369736085,259.80217998633464,1.0154389436393576,0.016450969334924466
B,1968,2.9275344330208832,2.371933887230871,2.913579716027936,3.64427730832983,0,Float64,0.19042581994952548,3.370051333191839,2.6086931396864816,3.1241664316960875,2.7452735868617877,3.0494834401311994,2.7686030402926582,0.0038629151103557425,130.96319150679136,1.0373237796734898,0.008292738142518236
B,1973,2.9864645691146836,2.4539349980514356,2.966281874932224,3.784776781003968,0,Float64,0.1778093691396651,3.4002036990372893,2.677771748668735,3.1638612816162732,2.8158107811418995,3.0957988648944004,2.879298299311072,0.003213517972818209,216.73815349923473,1.0208112579445394,0.013724106230023193
B,1978,3.0208641492318384,2.4664403985335963,3.0175036283115046,3.7727405508858087,0,Float64,0.17527672553389242,3.4202229022969854,2.6911440725917344,3.1862944173247256,2.8466005540107884,3.124320881935291,2.9081785445994024,0.0032325120598141236,216.72011593432796,1.0221457486370398,0.013722964070911312
B,1983,3.046397595320347,2.4780295503201124,3.0570530356343024,3.7842721943514723,0,Float64,0.17313777229577126,3.4048799632560254,2.6944381805787776,3.2149099520653794,2.8711084716497983,3.1440031760660867,2.935856780134586,0.0032623416758375532,209.39549089643992,1.0230180714796167,0.01325916048814517
B,1988,3.0794546443720376,2.488176338967911,3.0910813988307213,3.8083510477292455,0,Float64,0.1748354282054935,3.4509325505020687,2.757447961277461,3.2492078394990083,2.9002855672864354,3.176027138767488,2.96561670646096,0.0030687629362252753,267.5911453445217,1.0160057088856216,0.016944175474553718
B,1993,3.115421027869046,2.433408409639411,3.1221683737184587,4.011077753974533,0,Float64,0.1866063717930459,3.508081752925499,2.770326059002104,3.2986636956534894,2.9184301187055297,3.217577819147263,2.9927530287729294,0.0031633832247097973,306.83298580364226,1.0122302291813854,0.019429013415763245
B,1998,3.1580603976808233,2.467554582989474,3.1479760512792923,4.08586925365953,0,Float64,0.20515802146310447,3.618859552032814,2.7802366131291385,3.363011299608675,2.9478687066059583,3.280354935273284,3.0253615033416006,0.003226501581670549,369.111174554124,1.008379379230157,0.023372539114518743
B,2003,3.2327178199869238,2.4707436968022027,3.2109415918540956,4.2907877417989955,0,Float64,0.2340468046402175,3.757414895802991,2.79828323190786,3.4672339614376972,3.007863793699719,3.361969932274824,3.079915311699734,0.003483069484446911,394.7660645237894,1.006286164381925,0.02499703590744029
B,2008,3.3197279954356884,2.4488298246828757,3.3344921330963753,4.468885001649257,0,Float64,0.27812923665111927,3.9369395809949648,2.806860188470617,3.5904862473643706,3.047360413111905,3.4661146967793885,3.1231648741247007,0.004139618128037139,372.84769707068403,1.0053521355571369,0.023609139967299957
B,2013,3.4017434531501394,2.416367409837312,3.4027422256948174,4.90905958722977,0,Float64,0.3341162707433213,4.130353278470125,2.7910068946162365,3.731512479554411,3.075295365864529,3.5731093304725032,3.1645814951592683,0.004945513899769775,363.33893058386894,1.0071296241383367,0.023007034065433463
B,2018,3.50801166278175,2.3237435295901387,3.5047112211074407,5.41675736589567,0,Float64,0.40381345512997574,4.4026973076545906,2.7749188248801455,3.8845909872942834,3.109193786089746,3.7551280070236452,3.218306613831242,0.0061652598719976045,327.43464911995045,1.0136224585078353,0.020733534153360024
b,1958,1.6270482059578848,1.262430911526584,1.6243977703343533,2.099921859764872,0,Float64,0.11065105986650775,1.8612820641381034,1.4168018261184414,1.7337588664223125,1.5123804712215165,1.6984144231447285,1.554641382594227,0.002841638743843384,505.57122560207785,1.0042461551214272,0.032013344651062724
b,1963,1.6352690158815149,1.3017222685224685,1.6412015754033225,2.0860528712314497,0,Float64,0.10469756327527899,1.8458148232170235,1.4203491227941545,1.7441827141563868,1.528458616744297,1.6992171669905864,1.5666622739592795,0.0030038423209617585,356.8483218149357,1.0092460660340776,0.022596041340783003
b,1968,1.6385763308264587,1.3186520972518996,1.6466541923438123,2.0717680582324753,0,Float64,0.09849110098769735,1.8337370422346122,1.4328626720660735,1.7383473175442816,1.5373649639278446,1.6942287820463766,1.574958833585717,0.002946442716543306,308.4306369847458,1.0128960653909287,0.019530178504484293
