parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1818,2.911816468821263,2.3958923090300432,2.9107682973008484,3.5324786446458782,0,Float64,0.16324928747797993,3.227868891887719,2.5888246927664147,3.075864135003723,2.7482487638123003,3.020258344299346,2.8062859445184576,0.002156350512110831,717.2351714810716,1.0083131982089173,0.0028053464335012607
B,1823,2.8752960780975343,2.360967670052214,2.877087061795818,3.3951789000993444,0,Float64,0.14303625248259094,3.1476449227615673,2.580045527000691,3.020908776270137,2.7333836158446165,2.9705382434855516,2.7814408848189496,0.002047874738301041,583.9152352471143,1.0100050955655364,0.0022838876114858408
B,1828,2.842100083867297,2.3831194268581575,2.8450855843709917,3.2977906418296854,0,Float64,0.12886921583719044,3.0843391439265035,2.5784918122229263,2.970457383429536,2.716514005004268,2.927376717190653,2.7608103959814647,0.001960553315810175,509.48303692192866,1.0115037658533428,0.0019927584108945825
B,1833,2.8088194787501464,2.389970078114006,2.8133213434223716,3.2647609859176043,0,Float64,0.11687220391687222,3.033478300091451,2.5700862371782653,2.924732917819088,2.6938279351248737,2.882970253821385,2.736850641182124,0.0018106686031329666,511.0118529421146,1.0119922483661947,0.0019987381212326185
B,1838,2.7814716867538043,2.3980614268917804,2.7853152774463963,3.1875895871172,0,Float64,0.11012904710111247,2.994343591659423,2.5556920493261646,2.889264686543714,2.670144881699415,2.852310712345861,2.7123667198676467,0.001669852510700356,537.7903851894367,1.013137468168396,0.002103477909410179
B,1843,2.74165997583998,2.399841884471086,2.7429325326811353,3.1269464173498047,0,Float64,0.10252761356896806,2.9430900272090907,2.533313644873641,2.8450652058701005,2.636507757674676,2.8090927887448385,2.6749461689509273,0.0014159154748466468,695.1675750986257,1.0100465957236693,0.002719032689740476
B,1848,2.687369811330188,2.357582710958337,2.688682345986794,3.0730416115745176,0,Float64,0.09968549709075858,2.8816143453321246,2.4885814922610248,2.7870083354538018,2.5869225476533257,2.752630998432981,2.622137601142863,0.0014383752573286707,637.7418597602041,1.0115779555848512,0.002494421527151733
B,1853,2.6281512482507807,2.292358477946864,2.6270850533037127,2.9822238785823965,0,Float64,0.0938456799714497,2.8126278810450627,2.443553954068634,2.724260445432556,2.533228451387658,2.691729561388116,2.5626346987044584,0.0013119120816263764,787.8080775491154,1.0096563911981262,0.0030813806524185787
B,1858,2.5644386905748564,2.227079945797408,2.5646199141073076,2.888962584688538,0,Float64,0.09007119643593951,2.7379728498659808,2.384747956333912,2.6578784266191997,2.4728678800260084,2.6219013025653446,2.5033179132113945,0.001176602266996273,935.8167471351561,1.009199437890257,0.003660292019094946
B,1863,2.5149224501799754,2.2113295584557817,2.5144796898600568,2.8400597848048035,0,Float64,0.08851547993402101,2.6947758762801577,2.3432120164917243,2.6048115349792726,2.425856435753934,2.57267967678996,2.4540700412275416,0.0010594370828832468,1156.020126099833,1.0057540973171701,0.004521581019392928
B,1868,2.467555380261774,2.164039278961271,2.468188670502487,2.8436518212533253,0,Float64,0.08812238500909059,2.646275167920581,2.2930961045676317,2.5571951104462367,2.3782287728311218,2.524832374664049,2.4109711546836534,0.0011241578363678515,1045.2997820054359,1.0066010721491025,0.004088516754320914
B,1873,2.4266039171792304,2.123151833847024,2.4255638734449114,2.8026455671886707,0,Float64,0.087872074459248,2.6034086283826983,2.2516358603975806,2.517084707157556,2.3366830320439638,2.482896333936356,2.3690738738327277,0.001073664184601175,1042.523057859365,1.0033726480313874,0.0040776560582901945
B,1878,2.388038888501139,2.0878970544276454,2.384496632733855,2.79368124789393,0,Float64,0.08820155094386421,2.5633119700829936,2.215450265579204,2.479053955567524,2.298495318921522,2.445995842496858,2.3315065915270496,0.001037732750081063,1053.1247505449141,1.0024211124019933,0.004119122821141585
B,1883,2.34709979425367,2.017349811295221,2.344026501183343,2.7471415587245165,0,Float64,0.08770884884690358,2.523444894012459,2.1791489468568153,2.439094725591554,2.2586344145684745,2.4041225887558846,2.28911775869438,0.0011233920740435243,1044.2105468010252,1.0028955572312086,0.0040842563914477055
B,1888,2.313624843117974,2.0027834539440006,2.312615029683797,2.6358307803193877,0,Float64,0.08718420967100661,2.4859745826476303,2.144313465575551,2.4048357366059667,2.2253043847189025,2.3724427921688322,2.2522048402861516,0.0011445086928626195,1007.2835243942376,1.0038982978869588,0.003939822466944552
B,1893,2.2899412402372583,1.9836829055466654,2.289103028189354,2.6355334340550773,0,Float64,0.08745269566143968,2.4639511316403024,2.1244209145250696,2.380203054999606,2.2016624442128614,2.346874122489671,2.2307486392251454,0.0011805266997441059,1062.8046747869028,1.0040470687589307,0.00415698423958367
B,1898,2.274700106756796,1.9934286324940396,2.2728688313462366,2.656906858369263,0,Float64,0.08813937377399521,2.452732733035113,2.1033888721062186,2.3667611866841916,2.184988462871363,2.333596384942087,2.213303302961744,0.0011823198756858522,1006.6085514207535,1.0049281669257057,0.003937182422090139
B,1903,2.2601248711430815,1.9608066070796595,2.260470362935301,2.6171496351348695,0,Float64,0.08912657618708233,2.4404885203489437,2.089317963230555,2.3525672474963235,2.1703707145310194,2.3178319119901802,2.1969690813952214,0.0011606187675386355,998.6218516961603,1.003350288116069,0.0039059437705589173
