age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC
0,1923,62.009479360527536,3.525129969610754,11.220555587619536,0.820827164819309,65.01042444361758,-2223.7344380014897,0.4496699969239742,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,69.0062928190983,1.319730029459797,4.226169803402525,0.9561488493005327,92.07341804422055,-1575.1477594581293,NaN,1.2539880608063874,0.19809197706330509,0.6298824797858726,0.0051442611329124855,7.098834532850432,-103.01712476322288,-0.05111262179011655,0.28536447365948936,-0.0565284127707995,-0.17974608231148795,-0.0014679893705564012,-2.025755180061864,29.397427585968313,NaN
1,1923,63.49334383542031,1.4218575596518737,6.051792404275932,0.8531489040105822,67.01851296453735,-2249.4234787686837,0.4998652289186078,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,68.87806396475443,0.48516154211231505,2.074367173002452,0.9588121853209317,82.16165089109347,-1467.3743883947297,NaN,1.385961542541517,0.0890752663346144,0.37884568849406636,0.00614359208889865,8.20948078331606,-116.01562382332187,-0.05076872470336599,0.25008321849215537,-0.022276229292987136,-0.09474294909067475,-0.0015364092827025362,-2.053053376438738,29.013560601132905,NaN
2,1923,63.558863999895465,0.5605716538845851,2.987501311686101,0.8667119609164694,67.49392773644377,-2223.3693050179586,0.5423070205028254,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,68.2300558002687,0.18583813936389823,0.994037890130912,0.9596706649146332,78.01110118793994,-1413.5472877787456,NaN,1.439022999320651,0.03699695652742633,0.1970538667357857,0.006744930865090246,8.767701120802696,-120.60024460351211,-0.048681153909973206,0.23715935037751093,-0.008774174176044815,-0.04673316702426526,-0.001599623422300816,-2.0793423021124906,28.601475665492583,NaN
3,1923,63.05242044930425,0.2190027088318555,1.4021560506868007,0.8725715759717543,67.32513074210347,-2177.2019817650666,0.5822585889623545,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,67.39040543099438,0.07227376614032457,0.46416144896678446,0.9598853023472479,75.9911258145973,-1378.4932791085203,NaN,1.456362785017535,0.014824406725696258,0.09486500960117339,0.00713020667153324,9.032727156430681,-120.89621499234207,-0.04630573710690962,0.23308250601731392,-0.003455309869884168,-0.022111374171336913,-0.0016619264394376304,-2.1053706817906415,28.178792758382066,NaN
4,1923,62.32010265655637,0.08524190819356649,0.637226884805727,0.8753179409192566,66.87731521069371,-2123.692065488623,0.6221019568860316,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,66.47739510075749,0.028271866666160946,0.21191432757026443,0.9598428375460395,74.77937902844725,-1350.4562101877734,NaN,1.458743402405135,0.005851349551882241,0.04372261028649415,0.007418534783009606,9.166283953057661,-119.34985786449478,-0.043893298124000744,0.23252828570574505,-0.0013606042803502093,-0.010166743616505701,-0.0017250191755422526,-2.1314202938980724,27.752217848417764,NaN
5,1923,61.49912391571709,0.03312555493052636,0.28317541981576233,0.876795929312069,66.2952424407714,-2067.840010219302,0.6628898553984114,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,65.53597871385844,0.011084280370016361,0.09498023529937878,0.9596848836938777,73.87121296989397,-1325.151254703161,NaN,1.4549996745522624,0.002295396388396036,0.01961458246885271,0.007667573805940347,9.244165012263496,-117.07079574576524,-0.041425131746035015,0.2334004398607841,-0.000535746526707769,-0.0045780521758452776,-0.001789615098960883,-2.157592180007765,27.324375221887212,NaN
6,1923,60.643250103462115,0.012862954555920847,0.12376187388650231,0.8777365345908498,65.63492004631074,-2011.581295422102,0.7050900941584922,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,64.58359896552099,0.0043494910860770765,0.04193881943428065,0.9594645625219719,73.07016626446199,-1300.963101449691,NaN,1.4487034101008065,0.0008981331514394168,0.008638353900763058,0.007902248167379371,9.298214629152548,-114.51349767367935,-0.0388598983379441,0.23487462681861276,-0.00021094868878026527,-0.0020289301489127636,-0.0018560375893365668,-2.1839146911007057,26.896315031772126,NaN
7,1923,59.77347027028523,0.0049925982902182175,0.05339379131540814,0.8784265245868378,64.91723129565118,-1955.6625608526056,0.7489203049956065,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,63.62708825097528,0.001707307336739472,0.018294752247452726,0.9592012360320836,72.29875353362384,-1277.2743130240012,NaN,1.4412681468241497,0.0003510118413207431,0.0037526833386948236,0.008132841234326579,9.341204808571216,-111.85713581618108,-0.036170032322312085,0.23662748993006918,-8.305905094526728e-5,-0.0008879880390460381,-0.0019244538072974034,-2.210385846775708,26.46847327896296,NaN
8,1923,58.89798682565642,0.0019372009448553821,0.02279619728508986,0.87897662824764,64.14924726846208,-1900.3724192178008,0.7944894728418392,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,62.6691432431937,0.0006702460704565324,0.00790145164176037,0.958901036536029,71.52582944641924,-1253.847121446416,NaN,1.4332476253256892,0.000137101509325358,0.0016128557665455474,0.00836348957382476,9.378116175903196,-109.17167032816303,-0.0333396331439125,0.23853299716615667,-3.2703233964093394e-5,-0.00038471931999053705,-0.0019949682347957395,-2.2369901592107517,26.041045729004708,NaN
9,1923,58.02002927834528,0.0007514575521074907,0.009649159217116267,0.8794279211503312,63.33261512295198,-1845.8235141621178,0.8418588952139956,100.20434677878927,0.10487146257250814,0.33582975189517905,0.9965153968522146,-278.8193666176593,-181.75710234011657,NaN,61.71084270772812,0.0002631291350035846,0.003384420755726699,0.9585647916328444,70.73833640439649,-1230.5892020101112,NaN,1.4248570121337323,5.352982044085493e-5,0.0006871541208259007,0.008595808758362111,9.41081914239794,-106.48470325318186,-0.03035941588019212,0.2405428554590943,-1.2876215875551442e-5,-0.00016529001448502634,-0.002067660383710262,-2.2637053087209633,25.61413458322731,NaN
