parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1983,1.8043728722535766,1.3354925897395913,1.7987743293105276,2.4250996144824244,0,Float64,0.13767639035798301,2.0954731057700986,1.5528419870991113,1.9460272202247952,1.6649911045048889,1.8911603029929251,1.7082756153815934,0.002006391813013067,1106.8509669278135,1.0015959498636602,0.17514589812697043
B,1988,1.8509686303748305,1.4304603361872232,1.8461249558137598,2.4463391896653026,0,Float64,0.12944501465250535,2.1200635902891327,1.618827101688508,1.9892156166972415,1.7154244150807487,1.9344481943526706,1.7610614066069261,0.0019977811134695854,1042.4473130149518,1.0016668273986733,0.16495479187665407
B,1993,1.9224512094815251,1.5291043457750528,1.9173891956839646,2.4564875091238627,0,Float64,0.12248854082012887,2.174712264540965,1.6986700892344593,2.0516280392950197,1.7974479876580618,2.0005725226983837,1.837054352367136,0.0018718361396109857,1027.7854069131909,1.0017845577441626,0.16263472098258067
B,1998,1.9995794637182909,1.607583054680498,1.9956827469737106,2.5182708949000676,0,Float64,0.11790989016794381,2.246253169852276,1.787367530000228,2.1230990374134597,1.8762990228308658,2.075123581149264,1.9178819427421172,0.0017102555154232808,1075.3587686151843,1.0022597169498468,0.17016263522865302
B,2003,2.0923281860839436,1.6798091419973114,2.087170487292416,2.549252512220721,0,Float64,0.12083204354509681,2.3356056004269212,1.8745029323444635,2.221525911549768,1.966134495723337,2.173326734884314,2.006642325824226,0.0016760666161079218,1153.6613084166052,1.0031919505784512,0.18255307357032827
B,2008,2.165894986776818,1.7438734361824055,2.1607793149265264,2.704806802626118,0,Float64,0.13056883402424607,2.4323707631748603,1.9323075776633376,2.303058010574399,2.028822155115928,2.2506711021662698,2.0714024196448575,0.0017397013686284617,1200.9537846894268,1.0046077670803606,0.19003654106409792
B,2013,2.2317770884579926,1.7696224000446983,2.228573858742255,2.9773712448702683,0,Float64,0.15256869957115787,2.54737409692355,1.9575736717411918,2.390908937840133,2.074659421347286,2.3296156931272223,2.1226664376213393,0.0020461209425505595,1212.6706414405926,1.0063620115609722,0.19189059319959362
B,2018,2.2824986381888914,1.7665344818109998,2.275289098218119,3.1885026642911503,0,Float64,0.1861627075207153,2.6711865897667137,1.9502186605686291,2.4764083449401624,2.0892761335657206,2.4015057340967383,2.149195517440407,0.0023741480190854086,1196.6217466855421,1.0054800669532848,0.1893510479764273
b,1983,3.172144964487389,2.343653125802022,3.1687688507200944,4.097462479830981,0,Float64,0.23830738879654612,3.657851082127023,2.716428157922358,3.418237813248979,2.9245214635499326,3.32845470731153,3.0128423321879247,0.0019844735473301504,1037.147713125725,1.0021247268998295,0.1641161937184137
b,1988,3.1903205632823513,2.4313788614157947,3.1875057749179136,4.047613076146442,0,Float64,0.2178610799809268,3.621352848941642,2.7711831136755976,3.414514781754896,2.963879440820612,3.3396813276632678,3.041712879911507,0.001910184817088808,1019.4377366050289,1.0017098590710907,0.16131380221657102
