age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,2003,78.7964506181908,0.43105375825193226,0.3151547348680466,0.9894988304233735,51.83679981099598,-3192.6931752077435,0.08520117475381099,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,81.1266698143644,0.07711493738874595,0.05641979602379494,0.9984632294516075,34.88248794189123,-1138.6591122847226,NaN,2.068656542662459,0.04315201078143773,0.03155745655573361,0.011612603294880097,9.718442980772089,-283.19813112930086,-0.009329743758594746,0.12635542084532278,-0.005452490482621629,-0.003987455703900202,-0.0014673153764335253,-1.2279779527970502,35.78361904146074,NaN,0.005603741340640218,1.0
1,2003,77.94460862611191,0.02277817089445369,0.024428999586392795,0.991234421710028,51.839943270512336,-3120.2742733872033,0.0926634869900964,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,80.1530990736686,0.004108431041201153,0.0044082915635147175,0.9984438931184324,34.61254916256456,-1121.908859291098,NaN,2.070840884410388,0.0023101530252892096,0.002478005907757067,0.011936356634773227,9.863585027151895,-279.9959358427455,-0.007306646140501069,0.12607971864802556,-0.00029126344351469615,-0.00031242628764771216,-0.0015049324861875898,-1.2435980250834966,35.30180881368304,NaN,0.0004046944329050788,0.998116168433536
2,2003,76.96065636923538,0.00120145448240677,0.0016986423700639337,0.991294950033323,51.74830259626798,-3043.459345861021,0.10053819044725822,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,79.15599509265873,0.00021941969469843755,0.0003103342102349807,0.9984182350708833,34.56633251006364,-1107.618923060964,NaN,2.0595619472196356,0.00012201878183001736,0.00017253551585232584,0.012106494032186273,9.8779048486388,-273.07392873877507,-0.0066567515287933796,0.12750981369107378,-1.5558592157164726e-5,-2.199997145024864e-5,-0.001543696798489383,-1.2595298069082508,34.81960577746384,NaN,0.00012872167323191769,0.9979096467497205
3,2003,75.96976625124105,6.335118197597138e-5,0.00011119176995957488,0.9912546276653057,51.64384767677739,-2967.35213560413,0.10899737210682228,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,78.15766185601818,1.1720083375130465e-5,2.057689163794368e-5,0.99838952259799,34.53014013107083,-1093.4599660987562,NaN,2.0474125431021566,6.43915895949032e-6,1.1303017950127011e-5,0.012271206310530717,9.88464516327164,-266.04303584807667,-0.006040888559617987,0.1290684309097921,-8.310921447677271e-7,-1.4588627914487713e-6,-0.0015838253438640868,-1.2757956413239966,34.337757191502206,NaN,0.00011595043841328091,0.9977907772711899
4,2003,74.97855983955486,3.3400662902146707e-6,7.002486355838891e-6,0.9911966166452633,51.530372791360804,-2892.219311544497,0.11808876738697552,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,77.15929178608847,6.260192377667429e-7,1.3127908253750177e-6,0.9983576355664839,34.492396876560484,-1079.3094965921919,NaN,2.035059969199714,3.3973938184302053e-7,7.123330500340261e-7,0.012438605156485455,9.890380939341616,-259.0926248435033,-0.005381519610596625,0.13067264593504974,-4.439462280094e-8,-9.308245152112771e-8,-0.0016253854475271761,-1.2924022466496345,33.85631883037919,NaN,0.00011745655916364283,0.9976745284358159
5,2003,73.98739925306451,1.7606480936532177e-7,4.292278644684931e-7,0.9911242470178838,51.40745958408985,-2818.0751606592103,0.12785499236450307,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,76.16095174352533,3.3438832225909185e-8,8.153566846029305e-8,0.9983222383901311,34.452288455990455,-1065.1608851451635,NaN,2.0225364565752026,1.792197786193278e-8,4.369488643820038e-8,0.012609175220947864,9.89541287342957,-252.2329008667817,-0.004671416180338029,0.13231941661981317,-2.3714408649796384e-9,-5.781678737280223e-9,-0.0016684387092945293,-1.3093552586232688,33.37531029488393,NaN,0.00011996541507237615,0.9975561316915298
6,2003,72.9963176048116,9.279611432140701e-9,2.578916145900971e-8,0.9910364883836669,51.274423786548915,-2744.9208302726156,0.1383402616148611,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,75.1626488197005,1.7868632547182016e-9,4.964461596194664e-9,0.9982829478517103,34.409557303525006,-1051.0135873608335,NaN,2.0098406518321967,9.452805275666652e-10,2.627245112031747e-9,0.012782991170996271,9.899706811502542,-245.46484121569682,-0.00390699294874067,0.1340100272198196,-1.2668072481708754e-10,-3.520898835114885e-10,-0.0017130489947704834,-1.3266599792789926,32.8947500527677,NaN,0.00012279415168174788,0.9974350808599068
7,2003,72.00533192002672,4.936955814821949e-10,1.5276397058331282e-9,0.9909319734523728,51.130523842111444,-2672.7567954752885,0.14959128492545146,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,74.16438729835934,9.452315380308202e-11,2.9863355883371046e-10,0.9982393382967774,34.36395612147161,-1036.867363673059,NaN,1.996969381367647,4.990697445558356e-11,1.5554537175213193e-10,0.012960103847763364,9.903207626772305,-238.78894566507088,-0.0030846757448359237,0.13574605499948394,-6.7820303355191336e-12,-2.1120098880008886e-11,-0.0017592829697279416,-1.344321367174481,32.4146573515102,NaN,0.0001259354938828763,0.9973110699251576
8,2003,71.01445974417992,2.5934178337279185e-11,8.98771767909666e-11,0.9908092048924806,50.97496982682758,-2601.583508821484,0.16165666148406602,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,73.16617174019717,5.724206965719828e-12,1.852925346841928e-11,0.9981909375798865,34.315217009953464,-1022.7219740146894,NaN,1.9839193297363698,2.6524592413611573e-12,9.143897720960302e-12,0.013140560595485873,9.905855639796327,-232.2056860060723,-0.002200761796131362,0.13752915751018732,-3.56854804590594e-13,-1.2467582348531018e-12,-0.0018072102279057913,-1.3623439805597832,31.935052365367298,NaN,0.00012942146101758463,0.9971837730344841
9,2003,70.02372013514568,1.899351002959945e-12,4.931460664081445e-12,0.9906665575517577,50.80692176468333,-2531.401434364644,0.17458797705693438,103.33626453625844,0.007655206793513326,0.005600798240826273,0.9998474445168596,-178.32298019711405,-143.97969592449644,NaN,72.16800719420532,2.988589269099884e-13,1.1526301483235194e-12,0.9981372220415868,34.263047994643166,-1008.5771606427081,NaN,1.9706871306113272,6.398868640863618e-14,5.151243533349945e-13,0.013324405986187537,9.907587329145601,-225.7155286840105,-0.001251371062997839,0.13936106405481793,-8.98978708521378e-15,-6.953090115242146e-14,-0.0018569033961462595,-1.38073191240619,31.45595625105384,NaN,0.0001332897257084701,0.9970528294098314
