age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC
0,1948,67.73770647937235,3.721005972424414,4.326879203808776,0.8938026299005014,63.20034978566351,-2519.676604929046,0.3099916542614656,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,73.09259945925135,1.049737593811565,1.2236756290893742,0.9791741638705671,65.79748610535603,-1384.952127974435,NaN,1.516289807721745,0.249283417300691,0.28988479215689295,0.007188409512485343,8.123653429574432,-142.75573136485826,-0.04359298896052001,0.2195248573119428,-0.05472390661314231,-0.06363691763515877,-0.001578034572528617,-1.7833438599784799,31.3384315583274,NaN
1,1948,68.62179194032292,0.6775929519247181,1.1827377824641623,0.9182723796026293,64.56596201835558,-2521.0169520149457,0.3422568933325233,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,72.60376141172594,0.1805382205609477,0.3156512669468875,0.9799362908519599,60.11481884290302,-1316.2279710201392,NaN,1.634892102259097,0.05045973415879678,0.08808041792052733,0.008381467240575546,9.265894692436914,-158.51098793341333,-0.03889072167242697,0.19497340735448038,-0.009838306303163614,-0.0171733392030831,-0.0016341632265297668,-1.8066030603724257,30.905427420514943,NaN
2,1948,68.02353345297456,0.1207264143636197,0.2810699769985646,0.9231092645664382,64.51754141762146,-2467.3360114439793,0.36924867154003566,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,71.70970124964009,0.032156432128982594,0.07495933945418347,0.9799699081482992,58.84570454818258,-1288.1630568090343,NaN,1.6506114169103299,0.009212914234843621,0.02144964253512635,0.008796201995150561,9.532591799397752,-158.68866626429897,-0.036198361878203966,0.19193252194875113,-0.0017682578635643627,-0.004116883986803871,-0.001688277232499865,-1.8296143847649615,30.457515920821667,NaN
3,1948,67.15714675432464,0.021422155194142343,0.06235582415894888,0.9243199637790562,64.18994603102367,-2404.5566174847663,0.39629885830549416,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,70.74512661875326,0.005762552634877679,0.016790795784566326,0.9798685609698534,58.33861560014146,-1266.9478452362887,NaN,1.64608542035181,0.001648289790235693,0.004797948085731408,0.009042747632327292,9.609974903369146,-155.6370125219968,-0.03420290104596026,0.19280317668647862,-0.00031779550767344517,-0.0009250596326305374,-0.001743470469500713,-1.85283368924791,30.00731042423859,NaN
4,1948,66.2427296473039,0.003797818484421693,0.01326753445798444,0.9248446056095936,63.789505605725175,-2340.9002253525996,0.42450446588371143,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,69.76807698648176,0.0010337857111037626,0.0036146017582368846,0.9797312329670514,57.95904636310203,-1246.972323126024,NaN,1.6377187816139143,0.0002937621765249619,0.001026261602264534,0.009259983793168069,9.650798396778871,-152.02447394651873,-0.03227023370970262,0.1944230582458508,-5.711414072904961e-5,-0.0001995289193994126,-0.0018003543683729928,-1.8763377388166158,29.55706315291306,NaN
5,1948,65.31950035617584,0.0006730728805853191,0.002743521090642404,0.9252117558342179,63.35207377329569,-2277.813998761598,0.45412170443319666,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,68.78891642716334,0.0001854921000474313,0.0007566527998218464,0.9795745087511694,57.59324114419351,-1227.2573837829282,NaN,1.6284916482806373,5.2309572682160296e-5,0.00021322205058693842,0.009474279658319266,9.68342716247759,-148.33560250290407,-0.03025772043286976,0.1962253278311488,-1.0264463039843754e-5,-4.1839566769197374e-5,-0.0018590936319153998,-1.9001336694846882,29.107202230148506,NaN
6,1948,64.39445304350757,0.00011925561493534221,0.0005555878401683247,0.9255141133361615,62.882834036105685,-2215.553262775165,0.4852411301536944,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,67.80951617314004,3.328352139751366e-5,0.00015516306242197795,0.9794002250427882,57.22015029598393,-1207.6301122471855,NaN,1.6189344091312758,9.311468243753414e-6,4.3380347146609596e-5,0.009690449991771323,9.712875048819296,-144.65637657562021,-0.028133982754612697,0.19810969052560276,-1.8446920966970997e-6,-8.594067110736342e-6,-0.001919772048947171,-1.9242146700346183,28.657829995992252,NaN
7,1948,63.46886564052068,2.1126211187902026e-5,0.00011073114949216846,0.9257657724037014,62.38144003494126,-2154.1645039257937,0.517923346181886,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,66.83022662842956,5.972125126675243e-6,3.132112220093568e-5,0.9792074612706446,56.83528135534555,-1188.0593586599832,NaN,1.6091391843128307,1.6571167280643945e-6,8.685684056301384e-6,0.009909338585072926,9.739940495058415,-141.00282882905944,-0.02588987489160695,0.20005975454899166,-3.315223711619039e-7,-1.7376558707131417e-6,-0.0019824598450634895,-1.9485701047624941,28.208991326208256,NaN
8,1948,62.543005184746455,3.7416029246726567e-6,2.1791322250092264e-5,0.9259665291612773,61.84651432798674,-2093.6576510709956,0.5522193915048604,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,65.85112666822288,1.0715713029739711e-6,6.244315583499648e-6,0.9789946881242875,56.43706213391778,-1168.5389285043389,NaN,1.5991200106239638,2.948395114596957e-7,1.7171703534204288e-6,0.010131058205325588,9.764663975934035,-137.37881052829903,-0.023520438645355024,0.20207426298092898,-5.9579481692210106e-8,-3.4699591494699546e-7,-0.0020472261199982723,-1.9731872762429437,27.760721886711917,NaN
9,1948,61.61696234663566,6.625129399009589e-7,4.244537275495558e-6,0.9261134403073447,61.27645693015947,-2034.0362325078836,0.5881812496687039,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,64.87224787107203,1.9226610888471046e-7,1.2324198843268062e-6,0.9787601457307479,56.0243937353533,-1149.0670082737195,NaN,1.5888770623653106,5.2446709842556963e-8,3.360112865471125e-7,0.010355582052785474,9.786947364318555,-133.7860555722203,-0.02102169352372555,0.20415473610041684,-1.0707244996022143e-8,-6.8598344887354e-8,-0.002114141121155584,-1.9980516563897084,27.31305686924956,NaN
10,1948,60.690799547080076,1.1728189656175917e-7,8.19727524148043e-7,0.9262028937217629,60.66958351522534,-1975.3026525964679,0.6258555260639855,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,63.893614879085845,3.4497273391471456e-8,2.412251244606994e-7,0.9785019015834484,55.596209184122436,-1129.642542044223,NaN,1.5784080966352003,9.327138614554106e-9,6.519070449899211e-8,0.010582851234872931,9.80666462114768,-130.225928943299,-0.018389839623886812,0.2063032517818731,-1.924225332436416e-9,-1.3449083105000984e-8,-0.002183276622877504,-2.023146800477213,26.866032607346362,NaN
11,1948,59.764577385316116,2.0756065407280303e-8,1.5717203920990274e-7,0.9262309725957849,60.0241597883204,-1917.459109660177,0.6652890534913725,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,62.915252776704136,6.1872763638174895e-9,4.688638524129488e-8,0.9782178497958368,55.15139153912809,-1110.2645945507818,NaN,1.5677104980117385,1.6583106205576367e-9,1.2557000453396675e-8,0.010812793983093434,9.823681758029203,-126.69972881196871,-0.015621264405553349,0.20852204789967554,-3.4580639231954996e-10,-2.618411601733232e-9,-0.002254705944866105,-2.048454238100307,26.41968692016658,NaN
12,1948,58.838359511042626,3.671393363033968e-9,2.9951494683904725e-8,0.9261935126689919,59.33840497132608,-1860.5077548773343,0.7065246960119957,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,61.937188563085414,1.1114563491782468e-9,9.059105481417337e-9,0.97790569884129,54.68875640217283,-1090.932240582546,NaN,1.556781649774253,2.948419255836086e-10,2.403743716558157e-9,0.011045328788288697,9.837860442171735,-123.20873724308689,-0.012712433415503814,0.21081345211277683,-6.215447716783075e-11,-5.067493312356693e-10,-0.0023285038915803863,-2.073953321216572,25.974059228653495,NaN
13,1948,57.912213684963255,6.482144692401884e-10,5.6785634089310175e-9,0.9260861041719716,58.61049617177094,-1804.45071636004,0.7496033722143142,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,60.95945157730009,2.013833786415859e-10,1.7420499503525382e-9,0.9775629562490881,54.207045935853166,-1071.644547461831,NaN,1.545619007586179,5.241256770836169e-11,4.5771379681327923e-10,0.011280364600806699,9.84905877969782,-119.75422717924299,-0.009660036821340097,0.2131798704153717,-1.1168934354961952e-11,-9.757463181162256e-11,-0.0024047466638251877,-2.0996210743687405,25.529190631773872,NaN
14,1948,56.986212172421794,1.153744199700026e-10,1.0708244671512788e-9,0.9259040838891516,57.83857195365901,-1749.2900997249146,0.7945610050133226,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,59.98207374923793,3.5133359862789464e-11,3.3396344077288093e-10,0.9771869117143666,53.70492493584287,-1052.4005743316402,NaN,1.5342201205964854,9.293080570858374e-12,8.672730676691174e-11,0.01151780049409432,9.8571315992785,-116.3374617637783,-0.006460893634864189,0.2156237861640475,-2.01058302386084e-12,-1.8698336230858545e-11,-0.0024835117508276165,-2.1254320361533514,25.08512397825976,NaN
15,1948,56.0604320272272,1.994684256430024e-11,2.0114783687677584e-10,0.9256425254647467,57.020736408669,-1695.0279841354363,0.8414307508432937,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,59.0050898339144,5.378982721140153e-12,6.330830433606836e-11,0.9767746188637849,53.18097728096435,-1033.1993749289866,NaN,1.5225826435601604,1.6190335629087583e-12,1.6395145337103563e-11,0.011757525230183115,9.861930672094275,-112.95969226735394,-0.003112067289661054,0.2181477608876832,-3.5999051842539236e-13,-3.5731233190355915e-12,-0.0025648778025347545,-2.151358094149716,24.641903938638137,NaN
16,1948,55.134955364250416,1.051828622446659e-12,3.7801192158843413e-11,0.9252962295394316,56.15506386581438,-1641.6664171216726,0.8902389181670389,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,58.02853765858785,1.9654633796890105e-12,1.3454318464749354e-11,0.9763228756121249,52.63370249669616,-1014.0400015225025,NaN,1.5107043477365298,1.8749683671314555e-13,3.121873077995178e-12,0.011999416806750611,9.863304945717664,-109.62215571028023,0.0003891332407941668,0.22075443530091582,-5.406321916910665e-14,-6.728097265814911e-13,-0.002648924481116407,-2.177368313492457,24.199577080289618,NaN
17,1948,54.20986963809491,2.2933943789352523e-12,7.888714668349943e-12,0.9248597140725909,55.23960431523988,-1589.2074087458873,0.9410081664328176,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,57.052458389146665,1.4614178958245274e-12,1.3779009046031986e-12,0.9758282030307428,52.061512413459205,-994.9215097125958,NaN,1.498583131944503,-2.2258019565936855e-14,5.852466301932536e-13,0.012243342003739992,9.861100806774571,-106.3260723724708,0.004045130513006153,0.2234465302189589,-1.6521539851280625e-14,-1.329298390743451e-13,-0.0027357322890260707,-2.2034287594135735,23.75819194345452,NaN
18,1948,53.28526793066007,1.3058801766473687e-12,8.267405427619192e-13,0.924327204918208,54.27238959960374,-1537.6529251678214,0.9937513638882628,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,56.07689681816882,1.820533488536421e-12,-8.851188675879598e-13,0.9752868227403694,51.46272796261882,-975.8429641129925,NaN,1.486217034016843,-6.771022562804424e-14,1.6851004084540605e-13,0.012489155934071867,9.855162376470785,-103.07264322897784,0.007858036971089874,0.22622684729938103,-5.026045632466211e-15,-3.252650534396131e-14,-0.00282538237239468,-2.2295023140532995,23.31779912051303,NaN
19,1948,52.36124924777632,-8.267405427619192e-13,1.632350220809211e-13,0.9236926268949391,53.251440422949784,-1487.0048815975304,1.0484774910909944,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,55.10190167638821,2.541146650744878e-13,2.541146650744878e-13,0.9746946326321524,50.8355761600193,-956.8034450113272,NaN,1.4736042426915952,2.2203803190968924e-14,-1.1911624925366615e-14,0.012736701600356615,9.845331840589798,-99.86304732609854,0.011829605859794512,0.22909826957553828,7.455747219322289e-15,-3.5132904437261512e-15,-0.0029179562967304425,-2.255548488076618,22.878451336938262,NaN
20,1948,51.43791882452136,2.755801809206397e-13,3.096702064858018e-13,0.9229495953413808,52.17477423158729,-1437.2651345962993,1.1051846243397692,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,54.12752596923802,2.9546192021092045e-13,2.9546192021092045e-13,0.9740471809503538,50.17818734939937,-937.8020561254037,NaN,1.46074310994042,2.1456172357355175e-14,5.773410350153968e-15,0.012985809461231729,9.831449815253329,-96.69843910717974,0.015961207615269823,0.2320637617514742,1.0844723228105148e-14,-2.2012669597001715e-15,-0.0030135357929739564,-2.2815232275996022,22.4402035346995,NaN
21,1948,50.51538843862085,-1.5827925024666207e-13,-1.270573325372439e-13,0.9220914083967431,51.04041402062766,-1388.435473684395,1.1638629799399522,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,53.15382734017986,2.9546192021092045e-13,2.9546192021092045e-13,0.9733396386377284,49.48859277490216,-918.8379335629177,NaN,1.4476321637246432,1.2073812430921644e-14,1.6434822225729047e-14,0.013236297009556688,9.813355749738877,-93.57994569455518,0.02025381040133737,0.23512637022697747,6.377125746830263e-15,1.4649046979863964e-15,-0.003112202471107564,-2.307378717181337,22.003112957203037,NaN
22,1948,49.59377673118607,-1.17883839901549e-13,-1.7702377351759197e-13,0.9211110400786607,49.8463981129797,-1340.5176122251742,1.2244916483416939,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,52.18086846257606,-1.655030444124019e-13,-1.655030444124019e-13,0.9725667698950792,48.764722579833496,-899.9102561731303,NaN,1.4342701211660973,-3.5276583687719583e-14,-4.9806759731537477e-14,0.013487968364908436,9.790888367158484,-90.50866414176228,0.024707889490500453,0.2382892228191209,-2.4413962079849085e-15,-1.6945850250147974e-15,-0.003214037499073448,-2.3330631797186148,21.567239236778036,NaN
23,1948,48.6732095338668,-1.8181511438850477e-13,-1.8181511438850477e-13,0.9200011343916171,48.59079095357739,-1293.513177540915,1.2870391548756628,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,51.208717461902395,2.9190109775168657e-13,2.9190109775168657e-13,0.9717229009301138,48.004404323908865,-881.0182573938715,NaN,1.4206559021164564,3.3654672336088043e-15,-2.321717483442943e-15,0.013740613884439734,9.763886143825458,-87.48565866326877,0.029323445687629048,0.24155552814401268,0.0,1.072233605093945e-14,-0.0033191212438675823,-2.3585206742088483,21.13264448344668,NaN
24,1948,47.75382020136248,-6.642808617384215e-14,-6.642808617384215e-14,0.9187540005549475,47.27169497878523,-1247.4237002163322,1.3514608728039157,100.84435991442639,0.0926750979101414,0.10803105405758916,0.9981614106085165,-246.1824750986419,-168.69230449449438,NaN,50.237448370122365,-2.5964586630996256e-12,-2.5964586630996256e-12,0.9708018868940409,47.20536214322967,-862.1612387729026,NaN,1.4067886431065144,4.530658852988693e-14,-5.876147346845033e-14,0.013994009793363038,9.732187828067872,-84.51195785584834,0.03409993237739138,0.2449285746194913,-1.1176324344064497e-14,9.538229164186723e-15,-0.0034275328719078333,-2.3836908926580276,20.699393375945213,NaN
