parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,1.7855373954519047,1.4179651913996625,1.7852701490569611,2.224784813294717,0,Float64,0.09820282783960936,1.9821893406707507,1.5934187153109463,1.8855390474569294,1.6841706123038631,1.8510066724345533,1.7193385540264323,0.001188283475624335,2260.0282746772973,0.9994497020290521,0.042386800005568305
B,1953,1.8392704758606218,1.5416461970282325,1.838659504820884,2.2459302056873796,0,Float64,0.09440332744474028,2.0233932797966867,1.6555087422392833,1.9391190447344735,1.7424353359728229,1.9025987024015634,1.7749041909371253,0.0012190693553702579,1663.8141355012422,0.9995939461098768,0.031204811815019683
B,1958,1.9896170586486726,1.6616862212377295,1.9883270087534508,2.3143784362019786,0,Float64,0.09150144430748093,2.1764311250549535,1.8135365298174972,2.082437562643825,1.896045442041207,2.050955408907314,1.9278587170979042,0.0011475351276656709,1456.8531193414979,1.0008423625056777,0.027323260730370152
B,1963,2.194963455557094,1.8630278304102141,2.193203764919512,2.5236026705312997,0,Float64,0.09332413612789836,2.3833139783210195,2.016342540244843,2.289532835644487,2.099042606140535,2.2584482987520245,2.130464285917989,0.001041753176486029,1825.0473209451065,1.0006613460354035,0.03422873804737871
B,1968,2.4507652813107255,2.1251231964851547,2.449045186306946,2.8604294606165737,0,Float64,0.10345603338596732,2.654967352633034,2.2529072584593686,2.5609099477339665,2.3429055368939724,2.519383483446713,2.3800339998369413,0.0010374704540862055,1996.8471237026586,1.0019709236735352,0.03745084104585567
B,1973,2.7664083776091255,2.3124050357691828,2.7619559824207904,3.337479720691067,0,Float64,0.1213690187336857,3.0059222784331494,2.5351092998916287,2.8920582838399382,2.641809166101433,2.8484306117662674,2.682432353841045,0.0011093442712044482,1766.4363651551087,1.0018403603893526,0.03312949035696626
B,1978,3.1084132334679975,2.605900917265351,3.105287852415797,3.7265110127287757,0,Float64,0.14286652959939705,3.3948633714394214,2.8394214321661124,3.25655256427948,2.9638855172359793,3.201483632358443,3.011770440731567,0.0011039344194932075,1819.5469534696233,1.0024594138167604,0.0341255787290849
B,1983,3.432702857686605,2.83094447141021,3.4264481667885347,4.122687108045875,0,Float64,0.16715313598866643,3.774996019889532,3.1196941443505373,3.605045682929576,3.262228341261358,3.5429812448184723,3.31732197097644,0.0011168353182157593,1540.13153846564,1.0013271543603677,0.028885146365052725
B,1988,3.6767743102796513,3.0326019584103423,3.6675398994538497,4.457336369292307,0,Float64,0.1868223233839806,4.055124398194048,3.3248917932699973,3.8675170991900902,3.4858339028906222,3.799920174662363,3.5496074428903954,0.0012597526170824416,1379.930321945135,1.001200675716862,0.025880574696022177
B,1993,3.8005214274588304,3.188440371323117,3.7917074282814793,4.725695511442915,0,Float64,0.20048180284078332,4.219536724568911,3.4328042451518748,4.006302622678053,3.5948435366108566,3.934049457901563,3.6609467013895944,0.0013813867672652837,1279.1449139370466,1.0012193290857607,0.023990345719427437
