parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,2003,2.580796997881215,1.657871256989291,2.557125177086671,4.2742496556185126,0,Float64,0.2900181054148315,3.2111650698875067,2.0579469819684797,2.8711575460600742,2.299270724680805,2.7578264565863737,2.3773332488497925,0.00397569889823933,693.9155561577528,1.0021576580545102,0.3674645020820683
B,2008,2.613975233208419,1.7140254561211843,2.5917857019258195,4.257321586118016,0,Float64,0.28993782355813424,3.237614539486397,2.100958711778681,2.9035316279180248,2.3292865234663584,2.791371761892955,2.4151687175608814,0.00393544560526317,673.4127262827054,1.002670799054689,0.35660718363106814
B,2013,2.646554127809238,1.6659073439126653,2.6285531725474867,4.362931452901616,0,Float64,0.29790147384844495,3.2802891256682742,2.12350067477165,2.934842806941551,2.3422109423027915,2.827956331632227,2.4411308854794243,0.004231301062869535,624.5185860226396,1.0031297386737377,0.3307151846032911
B,2018,2.6740042523152217,1.5666376148492702,2.64999029632791,4.3126383427495,0,Float64,0.31487038368093323,3.351292657683414,2.1244958644747776,2.981662670601839,2.352341067244131,2.8626466753105673,2.463024917171092,0.0043912803256623565,633.8247161303348,1.0041789692098209,0.33564326617746715
b,2003,2.5339117533406523,1.50744476407287,2.5272952658894328,4.013350241427667,0,Float64,0.2918434408229077,3.1661475777444994,2.0047296640967343,2.824196196075877,2.2373226075810813,2.7168448137404155,2.3338853709400365,0.004175355613589072,702.9940158482669,1.0024722804005046,0.3722720202883449
b,2008,2.5852271598185337,1.53838366741047,2.5730452086517124,4.031555408646615,0,Float64,0.2911399915343121,3.2061709664388665,2.0487218846635185,2.883254178532632,2.2968418853983468,2.7675722572822736,2.3898291729360985,0.004197389031123733,669.624514435917,1.0027922643099405,0.35460112775336267
b,2013,2.6389347755798314,1.5874080659033751,2.6214959898010717,4.184417659762415,0,Float64,0.29882700644681026,3.259872681329366,2.09594994775994,2.9494554333060186,2.344520702481241,2.822115976769658,2.4388743550373815,0.004436962519257737,615.7579970111535,1.0034030110412522,0.3260759955110674
b,2018,2.6896355706021393,1.6753029626144775,2.6718982538395863,4.548425029211501,0,Float64,0.32009823005180754,3.3403449463297443,2.112336144056064,3.017018089656685,2.372575957010831,2.882499110339313,2.476262529574753,0.004473159135019349,635.1444555389526,1.0045096966688247,0.33634213707085225
C,2003,87.32077473522594,86.35434460830447,87.32240305159569,88.38274116757128,0,Float64,0.2784363386759596,87.8655623355371,86.76968647527879,87.60629488567503,87.03479863839472,87.50784162744671,87.13588554250916,6.10732885501375e-5,3130.4868495040178,1.0011851826819087,1.6577561653134938
C,2008,88.57195302183662,87.42988710040095,88.57434815025644,89.61548339871685,0,Float64,0.30701194484050465,89.1886490521455,87.9695425896384,88.89011877221661,88.25695721485148,88.77680568462881,88.36956681048547,4.4949981121647616e-5,4508.1299262311995,1.000370754392832,2.3872900729252673
