parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,3.419589947466293,2.5210172142881206,3.4055572422610414,4.401452540989935,0,Float64,0.27524398608237854,4.006705714072781,2.923794278806166,3.7030563235257294,3.142422102760098,3.5861367147987675,3.2273287628898633,0.002211570915020526,1316.3449250053716,1.0026127235566145,0.0776791426260515
B,1963,3.484877071633999,2.722398445634605,3.4685957290390634,4.423986569433795,0,Float64,0.2550794994107101,4.029337076662657,3.023065398850375,3.749156048691699,3.223221753222288,3.6477107722411146,3.307650093787846,0.0021131542322825156,1201.1189308072146,1.0040999546835265,0.07087951414910751
B,1968,3.538354023061777,2.7829470342484175,3.5213080198771376,4.354116454593769,0,Float64,0.23801073701729147,4.042459211790305,3.107655417768576,3.7920011041939574,3.295828324419244,3.690253232927569,3.3749715221958088,0.0020307074091344968,1105.4412794623024,1.0047554601917377,0.06523345756943351
B,1973,3.5311569697545084,2.7268742032221023,3.521900954675373,4.4473364971562415,0,Float64,0.2237525052544755,4.000158946795078,3.118843991038742,3.7607597506807293,3.3007401104776113,3.6749781630652985,3.376871188087156,0.0019747566908361676,983.8593282155226,1.0047002390329882,0.05805875620336586
B,1978,3.485927687794999,2.745904199445513,3.4817002949075038,4.297087771579453,0,Float64,0.21525394591868283,3.9224483528556826,3.0858437227866005,3.7083982537517204,3.259454741297165,3.623749932198609,3.3306853402197887,0.0018970078367622455,927.7358574175233,1.0050332317575608,0.05474684075478461
B,1983,3.418267181094509,2.6652028964496557,3.410810927297847,4.3694762679714385,0,Float64,0.20704003181668051,3.846947884349039,3.03737658810591,3.6260706075586677,3.203334180209863,3.5539925541773405,3.2739922812101465,0.0018442478701071383,939.5035721409286,1.0054499449830312,0.055441268159804116
B,1988,3.3571100792098987,2.7318020245745376,3.3480412814955796,4.301030658010424,0,Float64,0.20466673022943485,3.7833458339564676,2.9868124502594546,3.563315124915411,3.1485533430150383,3.4884869275010146,3.2172480147533182,0.0018118996938617158,972.8801784678836,1.0058122804917642,0.05741086299319061
B,1993,3.231834919462254,2.589818533355216,3.2206297879593295,4.080428408190162,0,Float64,0.1960610673897012,3.631451928869045,2.866779177151367,3.4319123165983103,3.0320083428104834,3.360289598436726,3.0983277836154706,0.001867083683691348,1032.7872967692895,1.0082389562974041,0.06094605616213276
B,1998,3.1171298416988322,2.4613653396516932,3.1064929214114603,3.930475750923031,0,Float64,0.19555329350661943,3.5209025688089657,2.7534881330616643,3.3165941942159565,2.91880678762938,3.2416669106918516,2.985521652279498,0.0018872419145901406,1062.2553396219996,1.0094521585634413,0.0626850018291713
B,2003,3.0116549481537302,2.251787848975494,3.004220907045599,3.7902579618102705,0,Float64,0.20578138075484062,3.4386790706545267,2.6263791319767344,3.223313075536664,2.8014047831964595,3.139033294171411,2.8724620940597165,0.0021604757633096345,982.3854016278163,1.0101742245921161,0.05797177797186146
B,2008,2.8930690540657795,2.1218886494637847,2.885044594210178,3.721914837484481,0,Float64,0.2271791226316007,3.377118034237759,2.4813789638587,3.125159624820405,2.663384654259391,3.037834101944764,2.732587008848107,0.0026643282616648856,852.6378394171945,1.0108348839020656,0.05031521380020238
B,2013,2.7691915935074576,1.9072106898500925,2.7587263293554702,3.7436762528311034,0,Float64,0.2570335754654544,3.3166039114620056,2.305365642193201,3.034961493911968,2.5078258178341795,2.9361067771754072,2.5870198917392866,0.003224625077168678,804.9992033507727,1.0095338746784952,0.04750399894669502
B,2018,2.655803143883251,1.7022191553658415,2.641016880858781,3.8038854486590905,0,Float64,0.29827879643378863,3.2919276707550558,2.125605242948099,2.9679637767514824,2.3442063443881116,2.845391398562173,2.4465104816863086,0.003938590448968241,796.8852714938897,1.0077878620043186,0.047025185789143394
b,1958,1.2270807825882222,0.941309316287622,1.225262901034679,1.5807158665966856,0,Float64,0.09326864038537346,1.4163079042060247,1.0494325367856179,1.3226807913816387,1.1290135226567646,1.2886021498985105,1.1631577705682739,0.0021081256143368776,1290.9273191344673,1.002649059786387,0.07617921825657008
b,1963,1.2726675697047192,0.9946555867074198,1.2713239318348,1.568968405680105,0,Float64,0.0892035534309052,1.4492214577424583,1.1004893030838323,1.36628820538961,1.1778875573225365,1.3323557761820928,1.2113663726572024,0.002039373235882555,1186.789091978848,1.0033787767502942,0.07003389263075625
b,1968,1.3156885236567182,1.0380448792080552,1.3151880448732385,1.6245817707303638,0,Float64,0.08515418940871111,1.4848011906173875,1.151480546618893,1.4048832351833775,1.2262505429931032,1.3714234971939434,1.2566165338563136,0.0020470737424126725,1090.5017658081547,1.005435512650132,0.06435185838531415
