age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1848,44.258330941553666,6.530509487729946,19.65756596650981,0.5506391465758734,54.27708407670491,-1422.66723796249,0.5532231133709622,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,51.350156838462254,7.448521625917472,22.82856425366301,0.7140536396161269,197.55515250741448,-2518.3720882768857,NaN,0.5931957978116259,0.26314574058757106,0.7870396988317868,0.0007655873826561355,4.173231441878062,-43.34255991206404,-0.051687913396292466,0.5525585945045319,-0.14540344056896218,-0.4348855498058982,-0.0004230318881328749,-2.3059549000615065,23.949303987238615,NaN,0.15770749128261718,1.0
1,1848,48.58112985337619,3.531734917034441,15.614535946488727,0.6162661954908971,59.870622177241586,-1546.3674356548781,0.6633676048851719,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,55.239860181557006,2.779688023523948,12.439614741468233,0.782206409891529,167.21295197369182,-2054.4375794542557,NaN,0.801386885505969,0.160023321955535,0.7046791591948937,0.0012107820183763817,5.234545909217277,-53.05680243847458,-0.06197089044430314,0.44870622822098644,-0.07180346122206858,-0.3161939276282103,-0.0005432854326729892,-2.3487733513707605,23.806917703638884,NaN,0.0805964936048597,0.8916944302480303
2,1848,50.52750232740827,1.8082973277211785,10.545161674581163,0.6525817605968384,62.43576131237631,-1589.9780940969588,0.7506166486873161,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,56.31556672724767,1.2082182828455788,7.110995949585472,0.806729460382507,150.4547030273417,-1849.9264852634992,NaN,0.9217322844555415,0.08893806875623152,0.5171351655835594,0.0016007622452458331,5.996033167771026,-59.2057121291066,-0.0678674013811095,0.3978292903391376,-0.03538216877741439,-0.2057315159334865,-0.0006368301080416245,-2.3853976199870974,23.55376644035541,NaN,0.04266420202520145,0.8402653247003775
3,1848,51.16852846080399,0.9011644944989429,6.525786000062743,0.6724362426209932,63.30384292972545,-1590.407578164339,0.8245356264270444,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,56.34197054419885,0.5584430060751594,4.074322731010997,0.8175616520403433,141.1578167961629,-1738.3122094252897,NaN,0.98575223011834,0.046677941815558274,0.3372328813703799,0.0019273069775818164,6.482879275563175,-62.30692172882178,-0.07029569520293705,0.3731584203316236,-0.017418267032174493,-0.12584128929616314,-0.0007191908272699956,-2.419140989669584,23.250352488049117,NaN,0.024013359165098724,0.8136039895762818
4,1848,51.13575420324455,0.4431028938819013,3.8334042498032375,0.6836152648298728,63.265923860960875,-1569.103842195263,0.8917004056770228,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,55.914676284193895,0.2652736179425568,2.309525199652286,0.8229467958465642,135.4795599728183,-1665.2254958227923,NaN,1.017658004756301,0.023713051314770646,0.2047474097716191,0.002205683171733222,6.782514004884073,-63.421409396265275,-0.07054824138513204,0.3614404415014499,-0.008570855736583356,-0.07400399418401203,-0.0007972230994137952,-2.451474856412288,22.92306221281484,NaN,0.014852379531479672,0.7983760776539718
5,1848,50.764973866934696,0.21641182897427957,2.1773056742374552,0.690344350919021,62.7439638935077,-1537.323321221621,0.9560233175411004,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,55.27812170150898,0.12763264481187508,1.2912006133558245,0.8258956808257847,131.5370001746885,-1609.5501272004683,NaN,1.0324377608730053,0.011839235819185796,0.118911590486458,0.0024546355520958353,6.972242712514988,-63.41402439539898,-0.06955753726902247,0.3561377228965417,-0.0042163984855145544,-0.042348903062132986,-0.0008741883160696367,-2.4830786431170853,22.584126247904017,NaN,0.010362804075046427,0.7885828513090025
6,1848,50.226562365768864,0.10533285365612241,1.2082241403620768,0.6948052977229573,61.951893743592194,-1500.706949507503,1.0196897061802126,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,54.542000774844254,0.06178549869833913,0.7121938842826436,0.8276748548152337,128.42079988622623,-1562.224217416202,NaN,1.0383708225525616,0.005858189243751038,0.06709506119737643,0.0026882051955659132,7.101817354538944,-62.817672209491874,-0.06785383084538914,0.3540309916832508,-0.00207398054745219,-0.02375373105314047,-0.0009517079512275568,-2.514263440780227,22.239402787567627,NaN,0.008173514901255388,0.7814100154784219
7,1848,49.60507419846295,0.05117474764848841,0.6591352207267527,0.698097374261911,60.99518131851485,-1462.0210418063798,1.0838769947362494,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,53.757686920115226,0.02999844820536913,0.3880964169921608,0.8288555972225872,125.68977557012143,-1519.1525663040156,NaN,1.0397677605836906,0.002885370444376226,0.03711300585595733,0.0029151554759374097,7.199141417404021,-61.92214214092694,-0.06570658425663521,0.35353677760036306,-0.0010200845691543737,-0.013120812497571478,-0.0010306146731703988,-2.54516125819927,21.89175459461387,NaN,0.007117767266581055,0.775508391517772
8,1848,48.942039585099884,0.024837097957274998,0.3549122986719882,0.7007668420411001,59.92473128326952,-1422.6091177680612,1.1492014773258152,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,52.94975838274453,0.01458610838422697,0.20927499526290227,0.8297040120513688,123.12866533536767,-1478.4332845415909,NaN,1.0388056016761735,0.001417734050526174,0.020233445592843527,0.0031404997424795567,7.278839128603272,-60.87595147939076,-0.06324432947639835,0.3538770998558564,-0.0005017036141951004,-0.007160153046914276,-0.0011113509409609757,-2.575814481148576,21.5426051604833,NaN,0.006621511049879842,0.7702237228498767
9,1848,48.25777049168909,0.012046675431542902,0.18912183014074743,0.7030822246982453,58.76448091329969,-1383.1217813945036,1.2159743444744746,97.56472080885092,0.3288960011127665,1.0080152641454683,0.9873737878234139,-328.35077709350475,-211.28051127423794,NaN,52.13011509548016,0.0070972197174062335,0.1118372358588459,0.8303453136433593,120.63177622071585,-1439.16812192661,NaN,1.0365663543358188,0.0006956938295765211,0.010909056535984864,0.0033669660184008554,7.348285538754055,-59.753164474796435,-0.060525386634156415,0.3546704060834664,-0.00024674201303486083,-0.0038691195114336392,-0.0011941632050184961,-2.6062194160472214,21.192679109036394,NaN,0.0064023772251607,0.7652364797586307
