parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.727971784999698,2.1173573132536117,2.7226961489747152,3.4489729378835556,0,Float64,0.18686511371646602,3.1059253265519113,2.3646654937120615,2.9182330044677673,2.5391926558065556,2.8526172577136437,2.6015643394744643,0.002047481586639353,1179.7898971592435,1.004199441255603,0.020089753114083026
B,1908,2.7811033464045956,2.2015040326358055,2.778559322341841,3.620068887304357,0,Float64,0.1734837610512806,3.13164476215371,2.4489169698901474,2.959157909146764,2.604947774694284,2.894619140196043,2.662896091096109,0.0018486223996953004,1115.7750085132614,1.0035861740627936,0.018999691814507655
B,1913,2.8528651156111553,2.326288130163473,2.8487636286385785,3.5989012668373515,0,Float64,0.16177701904300004,3.1837921095820394,2.5430396410811156,3.016467244807048,2.688770415524395,2.95885290624837,2.7454997152956704,0.0015841590946021537,1125.3606976233261,1.0021769155561602,0.01916291929095346
B,1918,2.9145299465110597,2.4062782336414554,2.9141293602211937,3.676642651233208,0,Float64,0.1533898074666445,3.2219781869356696,2.6186839682978693,3.070472067995965,2.757832478026143,3.0159758532533094,2.8103460721305944,0.0013517195139334662,1118.1223330375465,1.0013352189107274,0.019039662634977528
B,1923,2.9856682934734375,2.460282592897712,2.9819912814794147,3.599227926766117,0,Float64,0.14931704016527234,3.2862981306227375,2.6943737022112098,3.1401225288284005,2.833044987126477,3.0830845523142174,2.8847325288664387,0.0012656073223244984,1087.772458348398,1.0014989094168916,0.01852285748940333
B,1928,3.056831161532977,2.5620169029375766,3.0534658415375064,3.6026498772148874,0,Float64,0.1496261681898142,3.363766818143912,2.7717030226238646,3.2080136480032744,2.9030143944992988,3.1539585883614314,2.95516962091991,0.001311753031972086,1017.198497040337,1.0028220840856399,0.01732110668413226
B,1933,3.1295620752195386,2.6391462074869283,3.122312483657676,3.757120151848399,0,Float64,0.15126903696939104,3.4358520609246455,2.845130881802662,3.2868034882141517,2.9739423914821836,3.231090708178696,3.025402089736893,0.0014391026354357095,857.7754705862055,1.0041859808085039,0.01460641210175347
B,1938,3.174224061687457,2.678113897728242,3.1671631994182974,3.7850667455561506,0,Float64,0.15301446443376593,3.487163293378624,2.888357432933397,3.3345791805507417,3.0175836948798533,3.2767032950315724,3.0724206027000474,0.0015509532547905431,743.8152932022319,1.0053704441001314,0.012665870117122354
B,1943,3.2129448017210187,2.7281953369627057,3.204610113905439,3.9293407428974176,0,Float64,0.1543364105752961,3.5294918730316946,2.9297481562154317,3.370923663061578,3.0593847859115844,3.3126143924527076,3.10794913526646,0.0017176314298623055,641.2464447610765,1.0065362585365036,0.010919302488987731
B,1948,3.2607913746332713,2.773318540429072,3.2520680739995127,4.0787257895461115,0,Float64,0.16110152278687956,3.59419091458423,2.971306724957997,3.427448610392259,3.0967232428776,3.3645233289237275,3.147114993995914,0.0018200012241953647,611.6614759574694,1.0076224815890389,0.010415522349334533
