age,year,forecast,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1948,0,57.19611526511584,4.166372925703855,15.33776306594148,0.7500568825966012,58.93663230218874,-1984.449071870629,0.3734260420920448,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,65.46008430804326,1.9354394604785807,7.1875698606569225,0.9265742041027496,109.35982799919651,-1703.0749283975108,NaN,1.0780010651127632,0.21247550878890595,0.7806908015230093,0.003318137537679228,5.710752567731446,-82.35022370427109,-0.05636212520697688,0.3402750339088262,-0.07230011095794878,-0.26564958896068536,-0.0011290793631401105,-1.943226523630164,28.02172516335985,NaN,0.0772135663871248,1.0
1,1948,0,59.348106969463025,1.943597453111554,9.585398315030794,0.7909301798668138,61.6236749826473,-2034.7879457413135,0.425410681980068,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,65.79407997588001,0.783699779842664,3.8904060613921962,0.9335476562287256,95.38730281387986,-1542.1031519751652,NaN,1.2322131421557059,0.1115275634918837,0.5492775986203298,0.004140829159175278,6.763457681941722,-94.92746045734022,-0.0610663107196875,0.29164640795187224,-0.032526613280016436,-0.16019483860614875,-0.0012076579502233007,-1.972538138271917,27.685252858373833,NaN,0.036271877624601136,0.9473922728285982
2,1948,0,59.89142250974437,0.8815436495055378,5.449710686474429,0.8107991727376391,62.60571636996923,-2027.701023272777,0.46998321840947277,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,65.38622201505738,0.3362209866508343,2.089493794824035,0.9362557993873623,88.96169828990304,-1462.807648640831,NaN,1.3075037460529624,0.05405792040004946,0.33382551764312474,0.0047232450586322606,7.394758265407747,-100.94967628272595,-0.06219644652839248,0.2704944371280351,-0.014622366750982536,-0.09029794549390709,-0.0012776115135314417,-2.000240974699456,27.306325864373207,NaN,0.017878093922268388,0.9232058013921501
3,1948,0,59.68147755539334,0.394766367018797,2.9339532108431077,0.8206519926488905,62.76356077563616,-1994.467289020865,0.5115275636570128,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,64.67821551593185,0.1476827283411635,1.1024714702683502,0.9373707549977205,85.64750137063768,-1414.0448142197472,NaN,1.3404047181475545,0.025106423959549408,0.1864251740797445,0.005138226896603223,7.7457153972937505,-102.80868637431843,-0.0615618333612835,0.26173971632823884,-0.006571348285117806,-0.048794872180090466,-0.0013448780503513694,-2.0273613508462427,26.90911640767932,NaN,0.00961964076444281,0.9110966655614462
4,1948,0,59.12870367980928,0.17574867457188947,1.5258824562473599,0.8258544913356219,62.52299253388575,-1949.8989026861507,0.5524275278575718,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,63.84163605610921,0.06552843255784481,0.5711212692055349,0.9378131526057232,83.668166556593,-1377.8708197241833,NaN,1.3524931094626083,0.011418395631132349,0.09905860520510702,0.005460534921376142,7.944238704163367,-102.49209889175914,-0.06011407186672269,0.25859475129607234,-0.0029527371784417557,-0.025616035376504254,-0.001412065669918212,-2.0543384319389837,26.503918822709338,NaN,0.00591750133969429,0.9042679929341587
5,1948,0,58.42156959604027,0.078027030296778,0.7749808324786157,0.8289090665068937,62.08016500274709,-1900.7122164657094,0.5939187805201976,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,62.94867425890057,0.029205170846262212,0.29106211948994243,0.9379483009357863,82.26673446330904,-1347.1635755304299,NaN,1.3547630833591753,0.005141949399763169,0.051035106631180924,0.005737728574227404,8.067019682745228,-101.14113752199954,-0.05825502241026083,0.2580084136981344,-0.001326666207923909,-0.01316748690501434,-0.00148038224766044,-2.0813589516154565,26.095264451681597,NaN,0.004264143629004598,0.8997755048315734
6,1948,0,57.64498262725805,0.03459413347234042,0.3868388988024985,0.8309585095463686,61.523089117658365,-1849.8959577356861,0.6366328259036764,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,62.03077309401152,0.0130419854563578,0.14628681973473695,0.9379300029154263,81.11142273928084,-1318.9373776637653,NaN,1.352432217983842,0.002304802042966371,0.025756385394019282,0.005995177466538852,8.153172881088384,-99.31997477155278,-0.0561396408024515,0.2586104979922949,-0.0005960460040859715,-0.006660871653196452,-0.0015504158301819098,-2.108496098994935,25.685188136262475,NaN,0.0035325819289749706,0.8963192082336231
7,1948,0,56.836883901002615,0.015326175457009572,0.190537965155906,0.8325187935551234,60.890316670391066,-1798.7698752983476,0.680898735735863,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,61.101846520543745,0.005829147667812037,0.0726725503651384,0.9378241116467748,80.05463314472081,-1291.9090503188515,NaN,1.3478951125492566,0.0010307871795791322,0.012807445005512166,0.006245411093739562,8.221252073825523,-97.28997276736409,-0.05382364745864815,0.25978650690902366,-0.0002677846007565087,-0.0033272014002638296,-0.001622473532260136,-2.1357703586784704,25.274622182515802,NaN,0.003216351238086217,0.8933197316168455
8,1948,0,56.014181576916954,0.006786700499819581,0.09285669651907852,0.8338205593298301,60.19806654007441,-1747.9157148559498,0.7268908334044714,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,60.16810470985456,0.0026063391735185624,0.035752686343334235,0.9376583276258575,79.0299144570309,-1265.5202214422368,NaN,1.342233047125973,0.00046047523973444054,0.006296865040228787,0.006494386715741822,8.279734808898944,-95.16900837140324,-0.05132445845049436,0.261261607223623,-0.00012030450122569649,-0.0016451290809030722,-0.0016967339112745276,-2.1631768235580773,24.86400808499759,NaN,0.003087899105229077,0.8905173668912318
9,1948,0,55.18441944462138,0.003004202902936854,0.04485906461377096,0.8349652379862829,59.4525274975458,-1697.5907488457738,0.7747086830422106,98.0626127056928,0.1348194493829315,0.5006739971901384,0.9948852828651307,-266.81197475533247,-177.718898604693,NaN,59.23234027274887,0.0011655356736238263,0.017445829313508836,0.9374434189059229,78.00681864401773,-1239.5257873727976,NaN,1.335929700831618,0.00020556850366400064,0.0030680019621534427,0.006744863617061776,8.33238487534234,-93.0098923079836,-0.048645085763558325,0.2629136307757707,-5.404676166778719e-5,-0.0008066195348783977,-0.0017733165826222777,-2.190697560599378,24.453568484778955,NaN,0.0030450436302050664,0.8877949543780784
