parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.9707716005276676,2.493136563331804,2.9697648073934895,3.5513635019127983,0,Float64,0.13147502822680002,3.2288672267388843,2.7104129636353824,3.1044725159393596,2.8359325554941752,3.0623675751012778,2.880553799998096,0.001156854052675526,1806.2080209484936,1.0025004036505154,0.044517746460371634
B,1953,3.071805044212911,2.618773104102749,3.072318967357568,3.5151751196795336,0,Float64,0.11723734815590493,3.3030464171385203,2.845159704750097,3.1916090311393135,2.9486023808695347,3.153272357908347,2.9904489095726214,0.0009795258865844623,2007.7958923482024,1.0024687006440407,0.04948629805818017
B,1958,3.212936531644819,2.829185908387178,3.2125327420148135,3.6544499901370524,0,Float64,0.10925271660505806,3.427897798536352,3.0064543176570324,3.324106780470551,3.096644247851728,3.2862132192327547,3.1384557522654144,0.0007614278147610822,1758.5423341020496,1.000350677135861,0.04334292665153524
B,1963,3.3507947422558493,2.9431927865760947,3.3494460686116625,3.7925911393190304,0,Float64,0.10942366903361622,3.5683044034561386,3.1457112300269072,3.4640140822109453,3.234596365659206,3.424310873701141,3.2754113006046492,0.0008434287036596518,1281.0457134921257,1.0000819743539189,0.03157403112817568
B,1968,3.4622914261781856,3.111053973268514,3.4587372413843083,3.897225874993622,0,Float64,0.10856295710145329,3.6863877692932494,3.2607216917062125,3.575775142430985,3.350628672522411,3.531834365179085,3.3878341126272153,0.0008409104192373912,1551.474336695416,1.0002032299113517,0.038239305971252434
B,1973,3.538969235185663,3.1850169667181416,3.5379506084729084,3.995356436995496,0,Float64,0.10557838940030208,3.7473209566224477,3.3433518512097,3.648757122832038,3.4277938730839517,3.6091211438862767,3.4640306632890394,0.0008546511921659629,1414.9768636793801,1.0006862522200566,0.03487504237274493
B,1978,3.61268925767034,3.2344615209308514,3.6144852121431224,4.016732215024749,0,Float64,0.10794551905271949,3.8268044445482436,3.401542217958063,3.722399811056548,3.4991118286375817,3.6855659328121773,3.5369432192096575,0.0008892400768697078,1336.215843263086,1.000764531773263,0.032933813512510166
B,1983,3.7171695855302853,3.3335801448676707,3.717342754046439,4.088607836837054,0,Float64,0.10928894980679,3.932314273431604,3.5067358743920045,3.831171209270173,3.6036257798935125,3.7895872590400552,3.6425784458309822,0.0007749839902073178,1907.4095793967508,1.001434215408129,0.04701206896815683
B,1988,3.8829926487286284,3.4817192574762346,3.886318670963952,4.30457937431393,0,Float64,0.1133615064263473,4.109233804836604,3.6668566714795485,3.99738025010724,3.7638535419856627,3.9574148452427544,3.804932882273649,0.0008174201768499007,1491.5938514452898,1.0010663850370065,0.03676342709718494
B,1993,4.09090695477078,3.7094777916595683,4.086222422912366,4.632700987746694,0,Float64,0.12038964935230219,4.3356182454410375,3.866227668013117,4.215441811144316,3.9649286312919427,4.169608483121766,4.008756384709054,0.0007707457104431913,1514.2552512714242,1.001430426350429,0.03732196434217359
B,1998,4.277957917487713,3.803809680825748,4.27200099192607,4.855980595252777,0,Float64,0.13233592837093347,4.552334114096311,4.0315443834373355,4.4122135243779725,4.14644705860951,4.36342691392106,4.186871716437738,0.0008209863879855328,1523.3639387429143,1.002156710348927,0.03754646685502901
B,2003,4.428202560164861,3.974046093224689,4.420776105710889,4.997557147519286,0,Float64,0.14180016845432344,4.716497413896688,4.162655004126419,4.574247079171788,4.28242215470195,4.519719112995735,4.334040763666373,0.0007769807003454089,1589.2135696255348,1.002360058404251,0.03916946771547373
B,2008,4.548105671742436,3.992090833552775,4.548467865619389,5.121857565822402,0,Float64,0.15228848738613524,4.851650518056137,4.268056691912174,4.7056849171798465,4.389221836490413,4.649141225672567,4.439226192849898,0.0007816863046383497,1842.6429902284983,1.0024389243942777,0.04541576191921502
B,2013,4.647701147330193,3.964191104991287,4.648274855943025,5.438677981730404,0,Float64,0.17353274877172534,4.98967670050806,4.312750447189308,4.826332713828651,4.465049379119757,4.761943392324756,4.529742643686313,0.0008314503744812676,1859.6170066971395,1.001919484516591,0.04583412179404734
B,2018,4.73004373367864,3.9337505112448965,4.728053848443993,5.725857576338422,0,Float64,0.21828606751720464,5.163912294101404,4.313931512643027,4.958221432703245,4.50346781733534,4.875581936319282,4.5835168416514955,0.0011204315381437922,1697.844939383102,1.0025436718782301,0.04184691334766105
b,1948,0.8005919579300514,0.7052779941724164,0.799686139821099,0.9374401157587727,0,Float64,0.029278005805638815,0.8590126131045802,0.7455401240892529,0.8322626764312562,0.7701528405879792,0.8206573107274475,0.7800320493709885,0.0010577165020354809,1197.8952600561265,1.0040998929178804,0.029524615578473443
