parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1983,2.3598676070932263,1.6805192721860722,2.3503280351338365,3.40325791020098,0,Float64,0.2376547038201472,2.8718380254932563,1.9294895030347181,2.6002915390623795,2.1156622321821876,2.5026409001216416,2.1946682673147726,0.0033106139919075765,720.8740571940062,1.0029389235502664,0.09195934115426282
B,1988,2.39018775351264,1.6934550033868188,2.366865565957781,3.594040803106785,0,Float64,0.22880471846575126,2.894139287232935,1.9855619284244226,2.6275371689365,2.163407245911926,2.5310993495569214,2.2295609289245997,0.0032831739715263285,668.9786585963332,1.005114395617145,0.08533922961556234
B,1993,2.4389002158121045,1.7165967310430958,2.415818986942876,3.440254366687635,0,Float64,0.22541188434371764,2.9281886848524525,2.054674866788992,2.6741861394410247,2.2205659750560494,2.581253092487298,2.278029831093703,0.003777008868365683,554.008533210654,1.0147870179922893,0.07067289937745713
B,1998,2.4825857763900525,1.8454351681409853,2.4623081868139582,3.5338523369836303,0,Float64,0.2275070010578671,2.977079953626142,2.0951317077823037,2.7213473277795313,2.2631868948536287,2.6280852711896214,2.313330883091818,0.00395067970524692,503.18910480529536,1.0179999286788424,0.06419004553169125
B,2003,2.523997029404092,1.8979747994076757,2.503772756816555,3.668135583626029,0,Float64,0.2423522247697795,3.045375001863179,2.115784889206824,2.7730664923552495,2.2673152292651166,2.6756062616435665,2.34375021009487,0.004642148978950181,395.9684203333956,1.0271157255202548,0.05051228392583639
B,2008,2.5667109689331737,1.8010276081177001,2.5442221352197567,3.894329094832247,0,Float64,0.2612331921162855,3.131287953536656,2.1257247824914263,2.8359599458296714,2.297095541585033,2.7371539302871817,2.366589502448288,0.00477785355408256,411.84923797022503,1.0250321784865775,0.05253814338394809
B,2013,2.5902085203419998,1.7945471500476113,2.565085562280481,3.9990637232590953,0,Float64,0.28562970367748175,3.2004239401673917,2.0938357063072965,2.888296085267373,2.306519651865252,2.775361594468187,2.376661766134057,0.004958365059674699,439.0001016150872,1.0195812854049042,0.05600168255231464
B,2018,2.607924786105827,1.7407803085612863,2.5784260765204565,4.098725442219052,0,Float64,0.3173654804457855,3.292102409784093,2.04690830877779,2.937068703230107,2.2879981668600484,2.8079853423941543,2.3950122115678663,0.004855326326674541,533.3749535085021,1.0132956596617015,0.0680407469562011
b,1983,2.3383645709141003,1.5127583382607912,2.3318183567573536,3.289030787243147,0,Float64,0.2389585003935088,2.844115151010677,1.8923553897500505,2.584115968728967,2.0953289975953764,2.4848419183544674,2.1701393593427363,0.0034724220605468065,736.8909698808507,1.0036201421650937,0.09400256177415978
b,1988,2.4178555843577554,1.653680226340971,2.4253135751576527,3.3950674259991427,0,Float64,0.2296573137253019,2.8949554406564775,1.984741611826958,2.6551280184032198,2.176121234363367,2.5543827852321903,2.2582914795043187,0.003462731986010488,677.3048948068014,1.0066045147098084,0.08640137797361229
b,1993,2.5358771009170153,1.7443807255833124,2.5368280608504508,3.396282582269257,0,Float64,0.232574677255352,2.998658493433854,2.0963688828233673,2.7689224985295167,2.287840455099001,2.6869523160090347,2.3747127724981643,0.0036151993974095167,604.9410241611919,1.0123570528083083,0.07717017621023459
b,1998,2.6367035953281293,1.8548281394726513,2.6398954044069676,3.579270535463879,0,Float64,0.24250966346100208,3.105799583376884,2.1689809744572717,2.8826909808760033,2.3789248101312963,2.8169568145263733,2.4676921798423797,0.004075004710647794,507.8319356841356,1.0179820555770376,0.06478231496412265
b,2003,2.7518250864264338,1.8875846256208793,2.7440277701714724,3.8095480682376595,0,Float64,0.2657667745006206,3.2426771282257847,2.245658077854659,3.0588679309205085,2.475078679513628,2.9398996749350137,2.5626487720976225,0.0050379545069158945,324.3857366286789,1.0315407049935974,0.041380735403806344
b,2008,2.833137304031826,1.9276129236793984,2.8231114356942477,4.089355615594465,0,Float64,0.29414648702111273,3.4154167227084513,2.285112176880261,3.137029132246556,2.5251883756341447,3.04607267459818,2.626433692477373,0.004905663902189124,425.04005684284033,1.0215679263878052,0.054220849261216834
b,2013,2.8599450639612813,1.8998194253068919,2.8501513396768283,4.241596546809198,0,Float64,0.3281035357200615,3.540905778116921,2.2598081562256898,3.188495599501137,2.515506399267311,3.0963673337615654,2.6245420380415725,0.005173291005153531,450.60793686422346,1.019706353740531,0.057482452835396866
