parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,1.6224555364886775,1.431896370189426,1.6216932603275345,1.8395315646795476,0,Float64,0.06160999387304796,1.7417780787163772,1.506831620100184,1.683859366162827,1.5564237543793675,1.6642916698952686,1.578709075475591,0.0008435796549543752,1714.421531189458,1.0009184380773204,0.05931298037027448
B,1953,1.680173532627773,1.509892266143605,1.681085855577464,1.8854862913397694,0,Float64,0.05574302112444179,1.7870074841209391,1.5724130885694085,1.737840379276181,1.6203861090952065,1.718396377813824,1.6422299068097321,0.0008247396135460827,1471.7207248443976,1.001307922392012,0.05091638250871651
B,1958,1.7928525697514843,1.6119691589714722,1.793947458758495,2.009167501616776,0,Float64,0.05218948317131829,1.8927950450592892,1.6889155245171183,1.8455719720547294,1.7386071010619797,1.8278922468811296,1.7580978995709096,0.0007317868861033274,1446.4039769991716,1.0015559399034486,0.05004051170292858
B,1963,1.9544458687860933,1.7517204818103849,1.9538676862430204,2.153584890962376,0,Float64,0.050589125439370185,2.0543398062837315,1.8536718633148963,2.0062236702241654,1.9015706150505496,1.9873726874292124,1.9212512986255423,0.0006654461813642073,1546.5734347592158,1.0009396819005634,0.05350602410681239
B,1968,2.1371109542288065,1.956027231207576,2.135840052771165,2.365410008022508,0,Float64,0.04960964838715798,2.235543686093905,2.0461843658944656,2.1879929644342213,2.0854669344836796,2.170548634495292,2.1040460445148024,0.000522213893587727,1732.239642858179,1.0029817014531928,0.05992942462766139
B,1973,2.32978376052444,2.163051295266033,2.3286542690783376,2.50051936529065,0,Float64,0.04941057590397019,2.4306511373253015,2.2379449066496533,2.3809314482484574,2.2772751477390254,2.3625325552424656,2.294992836755953,0.0005234107871930024,1782.695790902578,1.0012054847490826,0.06167503063182816
B,1978,2.530980266179564,2.3448882980493537,2.5292427891273506,2.7423949451838174,0,Float64,0.05327783539012545,2.6408857783697623,2.428384851510167,2.5852148355755418,2.476523056381473,2.565595580355887,2.4949986387966074,0.0004904803920874538,1710.8604220939058,1.000641897427999,0.05918977846803615
B,1983,2.734341629488828,2.5318260350224713,2.733378048618996,2.9829860476396974,0,Float64,0.05899923858160679,2.852415224464152,2.6187691547993412,2.7944747774763252,2.672151045043446,2.7733690095458225,2.6939818830304283,0.0005018691528869922,1953.6145182193566,1.0001450753644028,0.06758821996935292
B,1988,2.9279489483617516,2.667214375401892,2.927647260009525,3.213775134120807,0,Float64,0.06874372799264925,3.0613300994975434,2.794500561658563,2.9999227664431625,2.8579093268848235,2.9738518146972552,2.8810546975276417,0.0006716746400130915,1606.7927299082507,1.001672553377072,0.055589400806245456
B,1993,3.1099707580628237,2.8300774927991212,3.108761092060669,3.405982615565836,0,Float64,0.08257006143748742,3.270461738759907,2.9494190033919976,3.197031973945789,3.0245332950879784,3.1653425955790735,3.0537723063815454,0.0007344674801058832,1562.9322057184854,1.0011930880866733,0.054071980286863275
B,1998,3.282637772122295,2.9306348732637484,3.282433336018732,3.6897063038787,0,Float64,0.09637060435759358,3.4794868592258306,3.095375290279665,3.3813864883086633,3.182843172158296,3.344245479564038,3.219872428071098,0.0006366924538120158,1534.597363706368,1.0011065173242808,0.05309169399350721
B,2003,3.4614358118261195,3.0555306322391993,3.4610502348559242,3.8495510358547755,0,Float64,0.11246758987409483,3.684994223271864,3.243316415871603,3.5772481118287565,3.3457079504191665,3.5358089919798945,3.386676110621808,0.0007419683350464734,1430.6679391718312,1.0012032489591436,0.04949609990817506
B,2008,3.6204847942048817,3.1626097661188814,3.619448842134581,4.159624669897637,0,Float64,0.12873875792004166,3.8836327393145487,3.3748024750849694,3.747811202039354,3.48649279564448,3.70406779982284,3.5343165298171724,0.0007654550609968093,1372.9367063088828,1.0016375816516925,0.04749880144962379
B,2013,3.751843338894482,3.1178566745251333,3.751805777348335,4.315084088077143,0,Float64,0.1543467490970438,4.062021558199901,3.4566688817424005,3.907038808771471,3.590353807029346,3.854516383629608,3.6472248514037875,0.0009661680947394341,1373.8172267119148,1.001218491867206,0.04752926437162433
B,2018,3.8656509303350512,3.0936897942395567,3.860972744820494,4.611199158809505,0,Float64,0.20527384857361153,4.270406392636999,3.484241648344462,4.0748989478774265,3.652764172100551,4.00320101123965,3.720527413082173,0.0014604035961731368,1355.1433021179034,1.000903715181644,0.046883211984431
b,1948,0.88329546594432,0.8177847659495897,0.8828987132388603,0.9598244687044312,0,Float64,0.01784249874143608,0.9186754760905488,0.8485586208247586,0.901973080396263,0.8646192554063213,0.8952107974744907,0.871152864806575,0.0004205851354469325,1633.687739297823,0.9998476357022202,0.05651987393374712
b,1953,0.8836535342637674,0.8323199857061109,0.8840804684499826,0.9405533861068838,0,Float64,0.015054464926629282,0.9125966095406245,0.854799522100606,0.8993699324482771,0.8672412120666462,0.8937394729912762,0.8731095155616089,0.00030225966080162314,1770.5135976315296,1.0005064909526855,0.06125356941169796
b,1958,0.8924858010822352,0.8456186879540246,0.8924262947235166,0.949232247523374,0,Float64,0.014183460275593482,0.9206853049211363,0.8645141712505774,0.9071469933244716,0.877821079219367,0.9020276258777841,0.8829932151724256,0.0003117265612712208,2025.0023390529575,1.000442482099255,0.07005798854070443
b,1963,0.9131202261203504,0.8529297877720213,0.9129099386382968,0.9690239018857524,0,Float64,0.013682349759507387,0.9396491963342789,0.8864284282236286,0.927292422116801,0.8989672648865052,0.9224437843828379,0.9038909861118216,0.0003718517727702145,1783.4896967181232,1.0020963726659156,0.06170249699246154
b,1968,0.9300648081598185,0.8720311869603128,0.9299940523940359,0.9874502748629199,0,Float64,0.013232021887512945,0.9565065803584538,0.9044442466008721,0.9434465504240136,0.916314448679712,0.9389861220205283,0.9214422357611514,0.0003468165725669998,2124.2808515993397,1.0027056483426255,0.07349267736065188
b,1973,0.949778891176393,0.8938372098992442,0.9496591579046939,1.0019945369607457,0,Float64,0.012919084780437866,0.9748810563839451,0.9243915621260594,0.9631586424459286,0.9366300202027978,0.9586302477936299,0.9411442779040107,0.0003233031932462539,1932.7936225492742,1.0020180201896869,0.06686788990250273
b,1978,0.9757530768137629,0.927358162022685,0.9757392261426346,1.020177514116271,0,Float64,0.01413276568785084,1.0033224107171739,0.948029487248979,0.9904712084938739,0.9609623823414836,0.9857387815650394,0.9660896341315761,0.0003567557607029925,1595.9519369020372,1.0008893399491408,0.05521434733714346
b,1983,1.0165575157780227,0.9553788457587222,1.0164059419246607,1.0859519730286047,0,Float64,0.015722530417384993,1.0474777856074464,0.9858552723363616,1.0328153149050106,1.0003582995556632,1.0270402614067256,1.005566197889743,0.00033343121418768205,1941.8310384404606,1.0003076000137896,0.06718055283959266
b,1988,1.0739797964020226,0.9920936856577828,1.0738493418592001,1.1434855286403935,0,Float64,0.018538889786212435,1.1103681369275815,1.0383395251298224,1.0934297450427046,1.0549913152630186,1.086295177492683,1.0615176664599157,0.0005022853302996237,1476.9078631759328,1.0003242203543625,0.05109583932749712
b,1993,1.1404070263310064,1.058936399647819,1.1400796430045224,1.233000966485149,0,Float64,0.024115043588473394,1.1879505652855147,1.0949233389526,1.1657175187809963,1.1155410163619768,1.1564235326234045,1.123433426953816,0.0006149224129659098,1427.9075972038293,1.0021322235954047,0.04940060174393434
b,1998,1.2064164078366717,1.1120259727184583,1.2052135943140958,1.3201307319565445,0,Float64,0.029884485904059985,1.2676219744743737,1.148814106927646,1.237582458544098,1.1761102697778378,1.2259388603213515,1.185580629526752,0.0005894123403932547,1481.4682862127104,1.0006932089009786,0.051253613992093675
b,2003,1.2732744920443235,1.1701158881919336,1.2720495710320072,1.4145044424514714,0,Float64,0.03564785090185307,1.3473773717121271,1.2059479523117398,1.30977815584966,1.2367109877773879,1.2958371481055848,1.249207269142067,0.000694518033117346,1334.2899507817021,1.0013531517935004,0.04616175906520617
b,2008,1.3258250310305724,1.2001078975209407,1.3250262032139646,1.486553992283017,0,Float64,0.040992906021827924,1.4098742238628097,1.2467853714982353,1.368435752583096,1.2847851489822544,1.3529228809367646,1.2984919028467443,0.0006686650777275851,1357.9267373464947,1.0017287405110566,0.04697950909460602
b,2013,1.3638181084765968,1.2011193670725049,1.3626711914273262,1.5807613985988693,0,Float64,0.049421001729196334,1.4629955921753006,1.2707471051962207,1.4156486031557691,1.3140540874154687,1.3955265814674551,1.330609916574665,0.0008707148387469753,1346.1813479493387,1.0010688828590613,0.046573159758645795
b,2018,1.3926615264734403,1.1944470503397564,1.3899022464356279,1.6968241503250094,0,Float64,0.0651016545844006,1.5270902838823526,1.2724581344091088,1.4579508924133016,1.3255221538988065,1.435263740999659,1.3485598213031862,0.0013259375840746245,1329.633612510704,1.0014524390730657,0.04600066606944016
C,1948,81.35078632587937,80.72931071962635,81.3536912189555,81.89953064974151,0,Float64,0.16629696003738348,81.67604947985807,81.02598049449844,81.51851821877013,81.17847195412955,81.45767241096578,81.24096596363525,3.077976007323518e-5,3922.673171458365,1.0007379532769156,0.13571075291867696
