parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,1.6682814223357043,1.0187374881386362,1.6697791486613776,2.293211448511535,0,Float64,0.1797256064047388,2.0232655857857074,1.3066518792835782,1.849499735585848,1.4849784922375413,1.7902432143142657,1.5473633563634213,0.0027819268704746773,1087.9150307434784,1.0000542683607765,0.2142973984358768
B,1953,1.7088541942084186,1.0962224440691164,1.7063392562033923,2.366514670501285,0,Float64,0.16216116789844387,2.034960805355393,1.3928031498797804,1.8716943582182,1.5453040454925726,1.8160261807320186,1.6019467812213686,0.002449319827889617,1054.6172765780668,0.9998877211907891,0.2077384100132896
B,1958,1.734969547807545,1.235645142365351,1.7303380445597707,2.4222450196413186,0,Float64,0.15231422073081105,2.040902661660833,1.4492088947921615,1.8893639035000327,1.5780349409184815,1.836031778693232,1.6306271446624638,0.0023184128249341533,1026.500840523208,1.0001818870780337,0.20220003713528342
B,1963,1.7615904641994287,1.3359456128476837,1.7568096355061886,2.4504899720888558,0,Float64,0.14469412073793955,2.0587520199288503,1.4891583890845126,1.9089908830629791,1.6121681566751043,1.857428509428819,1.6586567166340498,0.002300310383394279,1020.3441347612301,1.000149420776778,0.2009872898246544
B,1968,1.781585046999686,1.32152857990674,1.7776104095810394,2.4809907089020102,0,Float64,0.14231686426542375,2.0795949818094748,1.5187718248770572,1.9287632124114107,1.6348979933319034,1.8741391530872147,1.6809711903139104,0.002208805381250574,1043.3277398026648,0.9998378095600842,0.20551459814182255
B,1973,1.800834262033854,1.362675542401006,1.7970370001621978,2.3909388370983975,0,Float64,0.14050984319873558,2.0907595671157844,1.5450730249549824,1.9418583830968361,1.6548693178957443,1.8948266315452442,1.703198180231034,0.0021618186258672754,1040.2200851897392,0.9996490832891302,0.20490245263416088
B,1978,1.8425060553024553,1.431721446193158,1.8385367560779886,2.4450292467034207,0,Float64,0.13996783291347428,2.1381268655156993,1.5810120998711372,1.9840982218976564,1.6945641392710553,1.9324695303636803,1.7477082882179453,0.002199778648749304,1062.9082402374345,0.9997095945931422,0.20937156323989287
B,1983,1.8856895781896763,1.4790268104750917,1.881307603878196,2.5910375371940177,0,Float64,0.14117419019186042,2.1861534375020377,1.6240213778166324,2.025364774374449,1.73735346569106,1.9733896623316323,1.790779156836034,0.002150797403627995,1066.3469571779196,0.9995734205803958,0.2100489213730917
B,1988,1.9261159342428882,1.4677453479806777,1.9225457018061636,2.5562240041223667,0,Float64,0.14667305838232478,2.2389110157357797,1.6472749753425433,2.0714696268820254,1.7780416769414984,2.0160339931426297,1.8269794894914249,0.002389866073270838,1048.9823377291868,0.9997409059574232,0.2066284402991705
B,1993,1.9669102159721004,1.5420087796403674,1.9590459539850347,2.599770890546124,0,Float64,0.15517877501136046,2.2964684668809485,1.678674774784682,2.1230304545757757,1.8096298258176933,2.065492371168437,1.8606425764898515,0.002472469675287504,1012.8024670083381,1.0000498352242877,0.1995017328338589
