parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.10674429198345,1.5953103072877508,2.097956808870899,2.7126071839355057,0,Float64,0.16540050650755436,2.4360641810983044,1.79688583923915,2.280132101881628,1.936789374400701,2.2124446283384387,1.9920780892417844,0.0036562709527347675,440.7249466800212,1.0055702811713367,0.014807584920825944
B,1908,2.0872888827867175,1.6240593003782393,2.08160124579537,2.579763562146025,0,Float64,0.1499349998853641,2.411187740458165,1.8060228087067514,2.242994554998067,1.9345964372175073,2.1839869900763267,1.9828133431197434,0.003551882855454691,379.6347010483246,1.0069078548332022,0.012755059855385914
B,1913,2.067878225404876,1.638943510960531,2.061416377153332,2.584425356833205,0,Float64,0.13929952653173172,2.376881030997418,1.803732710589616,2.2109187464214495,1.9243260205574966,2.156337246360497,1.9740778998341881,0.003425879664227415,350.1914137070206,1.0080606078577965,0.011765817061350988
B,1918,2.049169827793494,1.6725190277102158,2.0428630435498345,2.463462222607865,0,Float64,0.12924875166295408,2.338977944476999,1.8052764284997942,2.180258402934567,1.9150361549668486,2.1309090696908517,1.9620807099033375,0.003308317740748361,303.26102801554106,1.0096485963909545,0.010189038445280876
B,1923,2.0424290242193037,1.6817746719970015,2.0379508222441496,2.5083631896117593,0,Float64,0.12276319765117542,2.3187570257698265,1.807545477072899,2.165925618535487,1.916388323315255,2.1190177163629627,1.9630612976023523,0.0032541665212644563,292.23231750207054,1.0088984442102966,0.009818493122794314
B,1928,2.0254184755908833,1.6495631419537609,2.021353695844777,2.399869541646859,0,Float64,0.11556301112585193,2.289858147509794,1.8082834009888749,2.1406524735881303,1.911243394239345,2.0980780477040013,1.9504735793942922,0.003173332815815266,275.2286543106013,1.0095391081277023,0.009247199873865512
B,1933,2.013455647241866,1.6328756272792746,2.009894635819781,2.4229495634509295,0,Float64,0.11011945326013918,2.26160950737672,1.8014738911878372,2.1220717002780627,1.903723970481449,2.0792938071586797,1.9420546365210922,0.0030900561211619805,264.92040008188724,1.0097406434419018,0.00890086061844785
B,1938,1.99775662706164,1.6064196704735143,1.9957920273926333,2.397788081235521,0,Float64,0.10643843578277275,2.242293621706083,1.7933151731536185,2.1016753901277445,1.8938240743188475,2.061060317880265,1.9292842392472025,0.003047163657530046,263.1288709463863,1.0107303933740108,0.008840668382878022
B,1943,1.984340735139011,1.5587084857088505,1.9841180212530403,2.352196672272512,0,Float64,0.10407534919584387,2.223210809114249,1.7823802859002817,2.0870986677876333,1.8817953672823684,2.047738893878844,1.9177094893207722,0.0029068950510389574,287.4885437083777,1.011029031070843,0.009659110646661657
B,1948,1.9915270983453306,1.5853503022053663,1.9907924378682647,2.4263956776618056,0,Float64,0.10240245793187709,2.2249249705056604,1.799348101346243,2.093194433692936,1.889373722126465,2.052521139282345,1.9254467393827903,0.002893382929808896,290.0811874700043,1.0112468457647734,0.009746218928048797
B,1953,2.0008133307676768,1.5700385444828617,1.997213053158459,2.4270064593678304,0,Float64,0.10226270572902393,2.214185881957023,1.809134019566728,2.1038836927368623,1.8987400074597665,2.0634232033593705,1.9325623269624292,0.002795726384179029,318.5752367736854,1.0109082701351768,0.01070356898953463
B,1958,2.005232402967256,1.5735517378565727,2.0000308809621545,2.4591422670833,0,Float64,0.1026576184154199,2.215287802010548,1.8190165782870018,2.110582850207488,1.9025474512992058,2.070662445689066,1.9351643416423534,0.0027664809688990677,337.17772343572756,1.0088514434330458,0.011328579901809382
B,1963,2.0054651829307764,1.5722956719860135,2.000984948922588,2.521044894477821,0,Float64,0.10403873411806185,2.221674686616246,1.820898870372292,2.110823322641834,1.8994216381882536,2.0690701872910107,1.9352721270696909,0.0028058465544388233,339.93492254528053,1.0106129156838488,0.01142121695416116
B,1968,1.9975496180965164,1.6212880645686374,1.9922737587501242,2.3806761858275056,0,Float64,0.10595200975497271,2.233125560104549,1.8085399104635855,2.106893990972276,1.8907693917607837,2.062723082562491,1.9255927097915198,0.002959375948880867,280.064635300384,1.0142815259105562,0.009409680350001793
B,1973,1.9925353669662476,1.634387754813335,1.985311441614614,2.4133615692886607,0,Float64,0.10800551223465504,2.2242408919764998,1.7984031990024756,2.1062799137417305,1.8861128171139048,2.056573732158502,1.9180281651574083,0.0029941259152572726,280.81146727409754,1.0151027951496556,0.009434772593941368
B,1978,1.9907540104902837,1.6161035791312743,1.9831665695331644,2.495055474843299,0,Float64,0.11286153729285348,2.237490836026122,1.7923123354784884,2.108016968231458,1.8769968085851698,2.056624239939372,1.9117766713346342,0.003165956793556329,237.68499424280424,1.0191129394390002,0.00798579876898059
B,1983,1.9886523649686714,1.623978796972858,1.9813385009187658,2.4367003363957482,0,Float64,0.11684792654370246,2.236100996548557,1.7812454250692589,2.112284909593657,1.8717822648131308,2.0592862219078096,1.9078239070209062,0.003222568076989602,271.78856373212204,1.0196370178225294,0.009131618866346215
B,1988,1.9848651686430658,1.6373800116735984,1.9756277012569308,2.437672450750589,0,Float64,0.12193204354630906,2.237158131806647,1.7685315415206915,2.1167923982951145,1.8585556831872285,2.0586056913454707,1.8999645081394565,0.0033300521395996452,267.279157310045,1.0194562642072407,0.008980110722683307
B,1993,1.9810842600832015,1.628571004157878,1.971408731481969,2.4558313302694064,0,Float64,0.12850063114600715,2.243561442734302,1.7521328305340726,2.1191738153045727,1.850065334388855,2.0605574015378476,1.8915372476925019,0.0033578284359403487,365.49423319174355,1.0197950663104043,0.012279964946001188
B,1998,1.9795822943617518,1.5805080213467297,1.9668768052518462,2.503120131731365,0,Float64,0.13681498580217866,2.262542176749875,1.7384706556974798,2.127880975941262,1.8427286815311414,2.0658842225555794,1.883855772348152,0.0034693963134808953,432.8776392457688,1.0193082958944322,0.014543929159771679
B,2003,1.9690991647353462,1.5470337104212057,1.9558764324251852,2.618244510205404,0,Float64,0.1441145203835852,2.2585367905428395,1.7169256317860877,2.12516132573532,1.8224952717360663,2.061548852747771,1.8688448093193573,0.0035466717787527016,459.2926862941779,1.0177290778244141,0.015431428393258253
B,2008,1.9529046114573256,1.5032700319337926,1.9381205467822569,2.618773742209729,0,Float64,0.15194879578820628,2.2614592058532694,1.684779038285165,2.1180724400192728,1.7999936808875021,2.0489928869093053,1.8482051416200282,0.003550907335899656,505.6612418067603,1.015277386916901,0.016989330501093986
B,2013,1.9327927868985981,1.4216872634131659,1.9173441615817532,2.688546920397446,0,Float64,0.16145631970095953,2.2674645342593474,1.6436066636245799,2.1082939179429427,1.766764877581325,2.036469454251744,1.8225000086169738,0.0036689776472185725,521.5655658259122,1.015892888388575,0.017523687882712566
