parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,1.9197073376832503,1.3994977347123851,1.9078819702689058,2.7563675819496583,0,Float64,0.18912904529207158,2.3125641459887714,1.5754864459207403,2.1172722392743526,1.7263586348016613,2.0430738880342707,1.7876425946048513,0.006216406356712276,229.96051031863374,1.0153144586451506,0.011399848312289008
B,1908,1.9340429137430801,1.451572719650055,1.9260327802409627,2.647082603790279,0,Float64,0.17560106261492642,2.307399893815731,1.6120380923601,2.1173425215270854,1.7528141773443513,2.048600128603883,1.8125485713630751,0.005853114058955285,219.90295572536186,1.0156126285407183,0.01090126446153568
B,1913,1.9610917933166334,1.4701824682327418,1.9534122022086595,2.5961670539118664,0,Float64,0.16465409684693794,2.3000112907823644,1.6574737884105335,2.132241396826149,1.7886648412781894,2.0706161547831408,1.8458732693452689,0.005548890151281467,211.3894395951916,1.01626047964137,0.010479223336502124
B,1918,1.9785557770808768,1.5641011502269924,1.9705919219731909,2.5882934797965285,0,Float64,0.15395714521771214,2.2937114994254184,1.6910178073657949,2.1351420461865587,1.819559785246197,2.079922127188797,1.8724744945831475,0.005209467712567594,204.90931352232118,1.0164963386604733,0.01015798359767534
B,1923,1.995884059516575,1.5931606210634608,1.989781557100163,2.6143204070034805,0,Float64,0.14474596533683268,2.2949884639939477,1.7249569550200654,2.144513187398665,1.8474345760036595,2.0930436576274785,1.894971607900199,0.004960507267731033,192.12634814437186,1.0191921167108136,0.009524292769245933
B,1928,2.009324109774624,1.5850060918324855,2.0042339691843263,2.62675971561412,0,Float64,0.13643300079659682,2.2957282120760802,1.7541962721947708,2.1532534752001586,1.8696079030476012,2.097618800429937,1.9140531193853796,0.004783517601624665,173.18643565021944,1.0211098424753988,0.0085853831748021
B,1933,2.0215802749036387,1.5206412462306285,2.016677298173885,2.573439520684037,0,Float64,0.12892579503879442,2.283754031032108,1.778843073938064,2.160682739270298,1.8887568895107194,2.104775686643564,1.9329460323138092,0.004571273433668544,161.58783506930118,1.0228722517014255,0.008010404944522093
B,1938,2.041869438772739,1.6592592910637036,2.0369946635472536,2.5090694727878966,0,Float64,0.1255810930492908,2.293626427728249,1.8060511580532927,2.1740741843333202,1.910519244634898,2.1270256652039143,1.9530893273921817,0.004358569631709798,167.6952976894138,1.0232264495749035,0.008313170612182978
B,1943,2.061548788338031,1.6985421224249337,2.056067815206572,2.490231218634018,0,Float64,0.12264422544175294,2.3082971920940176,1.8362654709766286,2.1918860437305727,1.9337012741564135,2.143302800796866,1.975549019316885,0.004243360107364054,167.50403502600506,1.0256083950352597,0.008303689134916978
B,1948,2.087791507444573,1.728699449124147,2.082384116196708,2.5624852574576633,0,Float64,0.12351860739896722,2.342961068922144,1.8624730244965872,2.2140040619715116,1.9605949277411463,2.1696491865134906,1.998618309797973,0.00417187832557217,174.1388031274813,1.0259996709585246,0.008632594953743187
