parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.3611392298444853,1.3725795422267926,2.3179813579594217,4.117188647840338,0,Float64,0.40595774596338613,3.301169582961258,1.6827264512394553,2.7752573188578538,1.9647842718802142,2.595363692720302,2.086883838864415,0.008602801914479222,319.7708914023244,1.0109339774740114,0.05778666528162258
B,1963,2.3337503479107222,1.4158928952300927,2.2944510329661103,3.8700213229118803,0,Float64,0.35804139045142636,3.1276118167753464,1.7265620163970576,2.6961503532988793,1.984195274790717,2.5459774785429032,2.092964422282536,0.007936315305439572,308.4085470073403,1.0120570386634358,0.055733345201461296
B,1968,2.321418059251433,1.4640321394812745,2.2884021077048127,3.7068949906283257,0,Float64,0.31794262687843183,3.0392792485137305,1.7672171276876691,2.639060854296485,2.009867174379841,2.507039242364277,2.1075443365104194,0.007339753471045774,293.89462637584626,1.012642448445541,0.053110495229789084
B,1973,2.283523060713403,1.5055665318056852,2.2599334128739414,3.5368926649870844,0,Float64,0.27778384624023467,2.9214157451469394,1.796264061616853,2.5519301972462536,2.0111061794642437,2.446800709251572,2.0930149703020047,0.00675402288734575,286.43456465366654,1.0147945211894613,0.05176236723780917
B,1978,2.2605392836772027,1.5479477486118915,2.2469555714571596,3.3640835255708357,0,Float64,0.25014152208679263,2.8210743386510737,1.8148015409156835,2.5057307020333663,2.0161526514233934,2.4076223325453086,2.084148069002893,0.006532459978119634,256.6248580941003,1.0175239903983948,0.04637537429562256
B,1983,2.231480866836746,1.5680743087654212,2.2158611825332315,3.297242622813802,0,Float64,0.23376789933573894,2.7589944078248556,1.8062505847336603,2.456547541763199,2.0012844476202685,2.3776364638399987,2.070863865523526,0.006480698285650336,239.68241447580033,1.0201256911230892,0.04331365934674167
B,1988,2.2149036097283226,1.553158649554928,2.197463331878219,3.4060192502156417,0,Float64,0.2295867552478413,2.719369766955054,1.8040040078875004,2.4412526405550334,1.987855231779867,2.359289009264116,2.0563968538816284,0.006424643198970311,231.78125236613099,1.020961044528622,0.041885818907091255
B,1993,2.1929767812231815,1.5300250011536758,2.1702517039036255,3.2537894087620214,0,Float64,0.23301581591286763,2.6901371314690365,1.7795123524314977,2.439836302207471,1.9610426989318686,2.3397205133544032,2.0327373520964094,0.006585281131445834,221.800315595006,1.0223696068777062,0.04008213674621447
B,1998,2.1707876716298506,1.503897954107319,2.1479808133306912,3.184834288142585,0,Float64,0.24659625234720545,2.708084860369203,1.7471904199066615,2.429238711636596,1.9204250224504325,2.321637090370251,2.001665409075596,0.007057843809510334,217.55344581976348,1.0226975573311003,0.03931467338793209
B,2003,2.1385544161065377,1.460944253992937,2.110242095200639,3.3118301311097613,0,Float64,0.2665518106786571,2.71097631814133,1.6876400049864186,2.4177494094768184,1.8692534736861386,2.303775308157773,1.9518284365428262,0.007696541408175607,215.66799755207586,1.022528740968414,0.038973948916505456
B,2008,2.1159248685190417,1.3999568041670771,2.0840641814347594,3.675914237174581,0,Float64,0.2931694745321003,2.7234683685092627,1.6398916133261223,2.419193324585173,1.8201739439954476,2.299881537415256,1.9083181211116462,0.008353026681003328,236.64212923001736,1.0200946321174138,0.04276424115208282
B,2013,2.0710887291347366,1.2753611475714364,2.0323263466411876,3.5733874502668916,0,Float64,0.3223423735462527,2.764647822973429,1.544946116423589,2.395915892649189,1.7489487956101288,2.2732236344368335,1.8363710672202809,0.009266335977614677,236.59067481397514,1.019020549607401,0.04275494268497078
B,2018,2.029243203924184,1.2088160815707425,1.9831084405337078,3.7258822162153664,0,Float64,0.35406313813690665,2.8236527606483937,1.4553152619666019,2.384919872924341,1.6758279711549142,2.241706566717612,1.77099572335145,0.010263425383738482,244.4886988863413,1.0177303039375967,0.04418221604138706
b,1958,1.630485941542628,1.0211079260326545,1.622476042462213,2.5342845122863347,0,Float64,0.22612300782169586,2.1001758528038006,1.2163828953597056,1.8526267933513256,1.3969921955402989,1.7784848401564624,1.47022244868921,0.006985039991989001,333.1827227574869,1.0078230829932455,0.06021035371034587
b,1963,1.7257895509382877,1.1285029379178297,1.7204150296750766,2.5566618942016657,0,Float64,0.21033655034071794,2.1771345972843577,1.342097166730931,1.9350379330419463,1.5082761899429056,1.8644208634386386,1.5812171264235753,0.006230239394480321,318.3044159776161,1.0090216883439829,0.05752165452926888
b,1968,1.8397854479018885,1.233030842928406,1.836475322692893,2.676639483674726,0,Float64,0.1987644161831377,2.2560372053377113,1.4668007823208853,2.0417159215646095,1.6307225384224224,1.9651583432354027,1.7065757566054773,0.005868711032639525,299.2216525420014,1.0119966568296168,0.0540731565797953
b,1973,1.922160733105266,1.3379895605418615,1.9196157330451213,2.6956263458151546,0,Float64,0.19076153098244397,2.327600370346737,1.556625255439809,2.112492531867025,1.7287132997040773,2.044234730414768,1.7941872228263327,0.0055579943666369,286.9174590794769,1.0133422654801458,0.05184963239952633
