parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1908,2.8562596317215654,2.011597352994074,2.83824589365258,4.043414827908481,0,Float64,0.25094993778204727,3.393012125267613,2.4149829144561927,3.1153696468178675,2.604492426453152,3.015290929505995,2.6824909437372435,0.003815577306311134,494.7493015745939,1.0013827288468264,0.03430415214123345
B,1913,2.7989068419483565,2.0063620975544163,2.7881257021141663,3.936196780823551,0,Float64,0.22573003986901488,3.2788587918598724,2.393074367158656,3.0359117937824927,2.571260312132532,2.9344478743284803,2.64487865735651,0.0036093789302078434,472.44009997205217,1.0016338668598075,0.032757311663667556
B,1918,2.739625130248912,2.011000590750792,2.7321972333320907,3.613142372682375,0,Float64,0.20297955695382766,3.1773874699144264,2.364188143225912,2.947257215357373,2.5389380033820337,2.864751106834393,2.5976874450236913,0.003419721614581463,441.0469011425279,1.0022582801265545,0.030580619214743244
B,1923,2.692991487222951,2.008234395438918,2.6841626333324005,3.443322847501554,0,Float64,0.18466103978347503,3.074519573885806,2.34838589970158,2.884513996554101,2.50937792637919,2.8082655825994824,2.565900748316746,0.0031788149812981593,425.7698112068649,1.0033615321371463,0.029521360281460497
B,1928,2.651249996711799,2.030113426518615,2.642540515104436,3.2744355483068013,0,Float64,0.16894639983342413,3.002491251061458,2.3336068866581674,2.8286644700287753,2.482643596162258,2.7588376285249,2.533237808438582,0.002915409724598829,400.44901373080654,1.0040147462791054,0.027765706486312887
B,1933,2.6084676780108618,1.9567301309698224,2.602092308892904,3.1957580283076945,0,Float64,0.15530045244504792,2.930017459683994,2.322550519138836,2.7727162808041297,2.4494193990004285,2.7099777937531653,2.501906492014934,0.002819623768080558,395.6250260677903,1.0044112151445113,0.027431228385600314
B,1938,2.5606095852128536,2.032932682163797,2.5564649368219055,3.190304724156424,0,Float64,0.14450168627559937,2.8537648227159633,2.29187643563163,2.7120169898006896,2.414024682370501,2.6508561697844044,2.4614035355928143,0.0027213980388099543,384.82893859204256,1.0055480097584748,0.026682666182239065
B,1943,2.5252232516354516,2.076718096804022,2.5245702820374967,3.008546471111893,0,Float64,0.1348975176768883,2.796321147673112,2.2659280523658727,2.6633258586307456,2.3881687720951352,2.609729302458801,2.4339707517840603,0.0026532117734138112,375.6768789882061,1.0070068758763624,0.026048095008401224
B,1948,2.501249321589651,2.0351800467380783,2.500376334458785,2.8986433556364366,0,Float64,0.12760028171002066,2.75652985005867,2.25879427087146,2.6309087512859843,2.370182108917696,2.5807443739065823,2.4139047260043274,0.0024311084843862364,377.27637980680163,1.0073701624450027,0.02615899869084504
B,1953,2.4720836552597487,2.0652673314274015,2.472768110382775,2.9157500969542354,0,Float64,0.12248972485039221,2.7221542940773706,2.237055000299991,2.59406360124769,2.3474994998200724,2.547446538276341,2.388635587578482,0.002326348413622353,375.6720798192034,1.0073172916169864,0.026047762251137908
B,1958,2.4421424435600683,2.004724767079199,2.441006447518591,2.947430132101057,0,Float64,0.12018028074497797,2.6899912923304825,2.2149751991167936,2.5635610360695993,2.3185583253724547,2.5167392408627975,2.3605279219513617,0.0023064873921790643,370.3252496815786,1.0063883332786345,0.025677032117854923
B,1963,2.4027403620349452,2.0199503574765987,2.4031474227936434,2.914928647947804,0,Float64,0.11929185153437037,2.6436689810944514,2.1748150003957765,2.5212922662114363,2.2821496824826912,2.4780087150835794,2.3186979967832655,0.002348760544466922,357.6438262195262,1.0051094001790621,0.024797747440898053
B,1968,2.3624777949571683,1.9800898776984557,2.3613029855046372,2.9400728166651366,0,Float64,0.11907523489591089,2.6056485807925327,2.137057173006106,2.4820732882567027,2.239802841098222,2.440043791874374,2.280472035378626,0.002504438697897855,344.40877242388063,1.0051067732619448,0.023880076011027863
B,1973,2.317881225897927,1.931182630872174,2.3139792353923787,2.779240345598696,0,Float64,0.1166375501337687,2.548397302600904,2.0881929675339057,2.4381053403155724,2.201216535635082,2.3951049243346887,2.2395239044194897,0.0025130321713087,342.4320440151462,1.0056262153702145,0.023743016712794773
B,1978,2.2805338311386385,1.9188873367745052,2.2765629546667063,2.708661500734412,0,Float64,0.11596867380923842,2.5145447914060934,2.056536681062892,2.402023529220424,2.1621217260025873,2.358421182023753,2.2017429335908787,0.0025647223767202377,334.08475098507256,1.0055372170194155,0.023164245183133644
B,1983,2.2473068796562163,1.8474351144840504,2.242850715612244,2.68984907578077,0,Float64,0.11582058418067488,2.480920545924451,2.0296860377790016,2.367389011780137,2.130456938925681,2.3226682837093087,2.169222924630992,0.0026778757222221707,319.69384771622754,1.0056374122607445,0.022166431272910667
