parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1988,3.0192451790762966,2.1140219246227554,3.0037686383562696,4.573531073499093,0,Float64,0.3134600007184215,3.674751315897226,2.458001508384867,3.3357765693922343,2.699359446591761,3.213991392305046,2.801978674180035,0.003134451663515933,1166.1147099554285,1.0010192227127561,0.34082511018891676
B,1993,3.081501106222147,2.276263362826486,3.069778975534273,4.293511761601705,0,Float64,0.2670005599725496,3.650866730656576,2.5939434419487064,3.35646135447702,2.805088046097596,3.2486463501265717,2.8993717324947275,0.00278526293054007,1056.334509507839,1.0016654551339974,0.3087392025207584
B,1998,3.130748159206994,2.391663816020309,3.122395306853896,4.2524756774148065,0,Float64,0.2365613815709259,3.6426840829955536,2.7003341686943925,3.363311394986099,2.890984100349667,3.281574160637203,2.9692090348684674,0.002513519021401686,941.3276042941628,1.0021973111114624,0.27512566449804055
B,2003,3.164937763300909,2.4571680278187586,3.1543427032254145,4.121495616300503,0,Float64,0.23116211275561063,3.6505273328445775,2.730849379211626,3.4044274973210866,2.930314217541766,3.3159534612465387,3.007085515859268,0.0025483419318089932,826.0937493498907,1.0040809990140689,0.24144579495040713
B,2008,3.1865637239057847,2.4187788696003065,3.1739462575542756,4.189417740473073,0,Float64,0.25106796531943926,3.7089489998742797,2.722598065967011,3.454400679410876,2.9275131092597535,3.3471729004570996,3.009446453763422,0.0028054002251642336,794.5835365039633,1.0060990365473426,0.23223617631374668
B,2013,3.2433024991159503,2.3471894400885276,3.2240556013013357,4.423765094315621,0,Float64,0.29942773326062905,3.8808447187819555,2.712706531808773,3.5535967136317383,2.9405690099228514,3.4357964384435933,3.0319837723529184,0.003137973341475654,813.4073372567859,1.006465065898082,0.23773788546035388
B,2018,3.3197000999923176,2.1915532232806245,3.295526037988273,4.814028842395916,0,Float64,0.36926512658638344,4.096532515918476,2.668631426202245,3.7013339554939213,2.94373033826396,3.5478904733985526,3.0598692762642306,0.003570865234254706,875.7687581821615,1.0055263280189053,0.255964512718354
b,1988,1.7846286179915183,1.2340802923294965,1.7780592560847568,2.418468084786713,0,Float64,0.15699673246910534,2.1082636226985474,1.499018759083292,1.9439281541199211,1.624391463621326,1.8855733827385543,1.6775938571681015,0.002684259271469293,1181.8834064844918,1.0016350343875817,0.3454338915430762
b,1993,1.8324207633125917,1.3577085072022559,1.8275564158433253,2.3763698466379015,0,Float64,0.13520367578951226,2.1141556565240016,1.575578851314898,1.9723492341285171,1.6957273143251967,1.9179426035190823,1.7422015641352278,0.0024255372379045443,1062.029959929777,1.0019525046179554,0.31040383508311314
b,1998,1.8648179075699403,1.4502536782519146,1.860311075977044,2.378465542181966,0,Float64,0.12178066059876413,2.113212899049557,1.6301845877077665,1.9924843889345363,1.7454632828358334,1.94337747811128,1.7838043335712004,0.002270829419836668,921.1413566936646,1.002803344660845,0.26922574744528033
b,2003,1.889143285322104,1.5254354887459585,1.8865312771233373,2.3377012398191033,0,Float64,0.12014463304308601,2.133562482464435,1.6605782842760612,2.012667091686882,1.767581611114141,1.9678445096497228,1.8072915591933358,0.002272568321833731,835.0963414555857,1.0051859286617184,0.2440770193232878
b,2008,1.904277660510938,1.5095352838898386,1.9000481473873974,2.3715216732485587,0,Float64,0.13406517216263364,2.175298603642903,1.6495747455702559,2.0465130559210376,1.7623396600158756,1.9944444108333275,1.812166295757674,0.002482782833503163,784.9144132426779,1.0057576850814822,0.2294101421570523
b,2013,1.9492955150005455,1.4519227208870662,1.9463437323037724,2.5880131781851166,0,Float64,0.16053067611121338,2.2784474383813524,1.6468311424591118,2.1182699192071786,1.7831230365676503,2.05635300849836,1.8369632445723478,0.002799223605487996,814.3820416643622,1.005670637100296,0.23802276629950092
b,2018,2.0178356949019696,1.442771620858861,2.015130845975083,2.8405963477372853,0,Float64,0.1991099661158371,2.426007581676677,1.6537342263741213,2.2192006522021095,1.8112854780023273,2.144085592767997,1.878623559321185,0.003238360791073713,874.1527601019432,1.0052942786810721,0.25549219835763687
C,1988,110.31326749112034,108.68557821597754,110.30738713048476,111.93923714236307,0,Float64,0.4169103456902832,111.12219290882719,109.49235783671786,110.74098529798388,109.8821471116668,110.59753813626482,110.04333407278594,6.991211224203276e-5,3126.2605572507505,0.9999384889196751,0.9137249447311898
C,1993,111.7492902843117,110.33626306563629,111.73769117018753,113.1529235421699,0,Float64,0.39610008230703153,112.53122709046849,111.00071869478707,112.17077610091657,111.34389160194644,112.0106985121104,111.48318823273121,7.251138324092705e-5,2740.5195225345515,1.0001917176228408,0.8009828366528513
C,1998,112.23292723201821,110.94597179760207,112.23477842848288,113.66992814871469,0,Float64,0.36882732772102467,112.96807598118686,111.53921428292686,112.62003445150457,111.85611912514867,112.47468510609184,111.9797041052557,5.083495192282263e-5,3904.2099948693103,0.9999108290822988,1.141099405008675
C,2003,112.20103021779703,110.89797295178319,112.19679357483788,113.77631429515912,0,Float64,0.3471792481655045,112.87852416113675,111.53060662239345,112.56500906543134,111.84003445345245,112.43682934874384,111.96354775759437,5.829746002818881e-5,3597.3203032550277,0.9992603527869576,1.051403501108896
C,2008,111.95174561351884,110.76279221757069,111.966383117509,113.22162999340316,0,Float64,0.3576183458025924,112.65049193330016,111.26301227812428,112.31776132934513,111.58192274924406,112.19523185544656,111.70255573539336,5.828376391336792e-5,3107.047947301812,1.0003333121564464,0.9081095967324377
C,2013,112.6308344316587,111.30242522473084,112.61877485055476,113.87828338779372,0,Float64,0.35405590506632173,113.32412218568975,111.94163788051692,112.99942696308415,112.27045894153675,112.86576715049706,112.39539627138339,6.057762035071229e-5,3196.916245360618,1.0013183926793547,0.9343757713436419
C,2018,114.24030183019352,112.52986751421493,114.23122488704138,115.60722104250333,0,Float64,0.39018701728113103,114.9950715710492,113.46734549509729,114.64561971158672,113.84124012869097,114.50692525326025,113.98351912414945,6.713394267260292e-5,2784.8126340755184,1.0004381381009952,0.8139285653128877
c,1988,0.0920307283859957,0.0891120004012919,0.09201890130434207,0.09536909484607695,0,Float64,0.0008056501640516108,0.09364918649574562,0.09048319417531839,0.09286163898900093,0.09120119386071161,0.0925600268705144,0.0914940443602576,0.000181680536404969,2518.9682998749586,1.0000835146828098,0.7362291557063764
c,1993,0.09164419361499143,0.0893350331352172,0.09165235626162008,0.09417913905529249,0,Float64,0.0007099808050652841,0.09297671113354522,0.09023539652069311,0.09240074637247539,0.09089196104469513,0.09212140879634743,0.09117309165082585,0.0001668901435221989,2517.055997931857,1.000710844044814,0.7356702394051687
c,1998,0.09369052089986349,0.09139446501511624,0.09368988830915666,0.09664984756453601,0,Float64,0.0006772702692503663,0.09502112234061172,0.09236476307436974,0.09438577821827922,0.09296345909929622,0.0941475420943431,0.09322131004688336,0.0001296942899765864,3119.8314634785606,1.00086698547515,0.9118458872297154
c,2003,0.09559027461925304,0.09310803698798889,0.095605625963626,0.09786811583158078,0,Float64,0.0006606293408344272,0.09683066257765399,0.09426068592407005,0.09625341716740768,0.09490702883234235,0.09602786679554837,0.09513652252432053,0.00015594146905731278,2599.9882064394765,1.000130201938012,0.7599091747873491
c,2008,0.09816274640154374,0.09584620920286845,0.09814265154930735,0.10065161347427735,0,Float64,0.0007121405528645628,0.09962504369743541,0.09681980291735309,0.09890355657157349,0.09743603615759171,0.09863922917062669,0.0976838341595333,0.00015394384747550297,2338.012994103598,1.0010567591183785,0.6833406092346914
c,2013,0.09918449159707067,0.09677668323691908,0.09918324475883197,0.10178424919894925,0,Float64,0.0007053056935879201,0.10057992373485455,0.09782387346344819,0.09990920531612626,0.0984445210105858,0.09965892951848311,0.09870438354718505,0.0001443768450303608,2401.2591514069622,1.001182338031948,0.701825822008286
