parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,1.423166985955425,1.034650401315981,1.4159191264319722,1.9324595454522655,0,Float64,0.12876111976341303,1.6982527766606668,1.191580620446029,1.5557882553978035,1.2922884708865225,1.5039354860129501,1.3354154224929995,0.002950400657884252,911.110563724328,1.0042308181788597,0.1749045271017917
B,1963,1.471629531630236,1.0809122286014214,1.4647919859883718,1.9084511882774893,0,Float64,0.11657452051251349,1.7234504862391729,1.258622046088684,1.5921037730477638,1.3535921236616426,1.5464634432190154,1.391692321279918,0.0026194314318175775,876.6026107826658,1.004393576219043,0.16828008718108575
B,1968,1.522953447638207,1.199086722811888,1.5156292075290667,1.8754329606609075,0,Float64,0.10690250196582542,1.7502777317000804,1.324152553090539,1.6325008222481383,1.4138017060767925,1.590843179702388,1.4490775341740263,0.002241961796063596,860.4568937756884,1.0030314795521666,0.16518061812622012
B,1973,1.5669002391146494,1.2568064988174736,1.5600863940859435,1.9407067002573324,0,Float64,0.09827273714915974,1.7785143074731666,1.3851775461785194,1.6680515165045247,1.4676346806900236,1.631440160092353,1.4993244743469796,0.0020011246149837076,831.2715625179931,1.0031198764515947,0.15957795389953155
B,1978,1.606231481755139,1.3209459478343257,1.6011050582111304,1.9108287088175646,0,Float64,0.09092229352742556,1.7967935833223818,1.4325497457993583,1.701333711830453,1.5130408966435378,1.6640917171512595,1.544545232981771,0.0018797589015828614,789.186030140359,1.0035517357492474,0.15149885743044
B,1983,1.6415180394524382,1.3620196703256229,1.6408994560915044,1.9442291454711458,0,Float64,0.08704708014860765,1.824867055953432,1.4760685451124549,1.731308862516399,1.5515898109755037,1.6968148163102392,1.5815457847238017,0.0018105090232934885,751.4129621937439,1.0034908917097005,0.14424761828402888
B,1988,1.6781581319602692,1.3880806169272206,1.6769211464991924,2.010331950306695,0,Float64,0.08636799429612514,1.8575736925652069,1.5155597826821154,1.7650659940990316,1.5887511957391691,1.733491120088139,1.6191728904374902,0.0018110283459980504,701.1224770007655,1.0029500171455816,0.13459342934076587
B,1993,1.7288731402365236,1.463235612189174,1.7254697613851144,2.084674410516567,0,Float64,0.09106086525500261,1.918383113020062,1.5546745066774224,1.8251033596870856,1.6372740868272104,1.7859791230105841,1.6664031572042566,0.001806042229273947,708.1345614073914,1.0018156593044243,0.1359395286573246
B,1998,1.7933816644374998,1.5103757788551873,1.786845373135598,2.2408906278284446,0,Float64,0.10023541867552739,2.0046620813406735,1.604575368566745,1.8966920515613892,1.6918032658701363,1.8567505005852936,1.7261501334623404,0.001981702704536707,708.4822453663252,1.0028115273545777,0.13600627302495613
B,2003,1.8515833968546918,1.5396233370392722,1.8417226437939007,2.3746814930205136,0,Float64,0.11503266675042882,2.097513056529074,1.6427521393691396,1.971205592395931,1.7362551675250437,1.9211450791991558,1.7737525159281673,0.002220830210264573,748.6881260093752,1.002542190197838,0.14372453557241074
