parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.489824039613837,1.8058439178292627,2.4769796216292495,3.3194241724318108,0,Float64,0.23806365400006757,2.984168156644781,2.0387260501219377,2.7358984223634115,2.2453476781190775,2.6473164031487295,2.3260061794213853,0.002917141920474878,774.512392030207,1.003723234584748,0.14687975908505654
B,1963,2.496074271489667,1.8930240172237156,2.4879072941544615,3.1894795423855165,0,Float64,0.20772038561625333,2.9331039079013923,2.098224008932676,2.712178195851724,2.2822892676766333,2.6301988183162646,2.351992404721493,0.0025599027085265445,740.1650870927658,1.0047950471701503,0.14036608167157033
B,1968,2.494057840213269,1.9310737371930664,2.4876572207394396,3.1408424724487016,0,Float64,0.1831138021695846,2.8731399071371646,2.1498985156866515,2.6839457771210795,2.309400301665665,2.6095940906265054,2.366776630729251,0.0023063221769485135,713.0824538052908,1.005772190011846,0.13523008811796672
B,1973,2.4673342255407706,1.9147261165904599,2.4584150257487765,3.036527375728093,0,Float64,0.1609788704806361,2.806667541199902,2.1620897118908213,2.632681439015929,2.307495743259489,2.570820127801161,2.356869996875094,0.0021506596765931683,666.2324626568401,1.006245464272379,0.12634538145112606
B,1978,2.418103613956722,2.01632939969881,2.4077585495163296,2.9898047123725164,0,Float64,0.14419713998087397,2.725580193563154,2.1551767563805893,2.5669130508244162,2.273619279385393,2.5110134054235522,2.3195184977485517,0.002035543901450692,623.5794793691246,1.007014178737878,0.11825660201515513
B,1983,2.381135413509733,1.954294302555566,2.3735755469567623,2.9407982188128705,0,Float64,0.13991901102280505,2.682541117576264,2.123735767688366,2.5271476444092564,2.237429218565814,2.4699086605752854,2.2815133646813393,0.0020622333870014904,609.6630371767827,1.0063976735337394,0.11561746583403569
B,1988,2.3596057103022057,1.9190708410027462,2.3508861495801225,2.937276474942284,0,Float64,0.1467299827538993,2.664423244201446,2.0900097223853855,2.515219659288835,2.2090586748235364,2.454661543551947,2.255750985445864,0.0022941705610828042,652.288980921991,1.0065857342868374,0.12370111744825696
B,1993,2.3331505864610755,1.8649933204089535,2.3232622302890453,2.9668331536073578,0,Float64,0.16155936532281293,2.6778193625601605,2.0353716493389897,2.5045994294319858,2.1661008850962746,2.4363631522134845,2.220479962552194,0.002572013755622888,651.0852766227292,1.0058255073075848,0.12347284505480723
B,1998,2.3108332732689725,1.758273204633832,2.2998600544667376,2.9946752414270863,0,Float64,0.18309989372393157,2.7060968321788335,1.9781554181232275,2.5003828686717955,2.1265670265437073,2.4265850472028476,2.181290632763355,0.0029191886186123632,727.4384054094731,1.004655156194594,0.13795257356139753
B,2003,2.3116122888487345,1.7158209157356474,2.298825570663186,3.1466727222069633,0,Float64,0.2098181372183569,2.7550042081823394,1.9365123932270198,2.5301782300985654,2.097053148179809,2.443657963414306,2.1588280246975318,0.00351221039312857,692.9971726212171,1.0050338066434277,0.13142108352123033
B,2008,2.3155076724151,1.6620867874316132,2.3012046435288496,3.3320356257178347,0,Float64,0.24015569860193892,2.8294205819839124,1.8996876345290679,2.5643580968697495,2.0687049634654735,2.4692683251957086,2.140868222472848,0.0040272556271245775,700.2060441796789,1.0050192704765744,0.1327881853632118
B,2013,2.307324003370641,1.5950971852939229,2.28493643051264,3.4059497552593063,0,Float64,0.2721602785725924,2.8831786509205526,1.8393038377553754,2.5933738569649827,2.0327544439141505,2.4810063937820512,2.1090930587982624,0.0044811477229866675,698.4907117179022,1.004046575295574,0.13246288699312875
b,1958,1.4414355596139776,1.1346373393882214,1.4362973247473239,1.8538365762688773,0,Float64,0.10832546572717837,1.6770330739022157,1.2475511099916845,1.5527795080880336,1.3287578051523767,1.5119709078625334,1.3648368879411121,0.002270539034930489,756.6982152826839,1.0035800060160758,0.14350145033764433
b,1963,1.5148127905352864,1.2293815994341877,1.511857597034414,1.937931621747164,0,Float64,0.09829516818259214,1.7256312287308457,1.3365152122508144,1.6137922652737287,1.412492068084618,1.5777126791777145,1.4470808096057282,0.001963381453446797,732.2791585933411,1.004434510108658,0.13887058167689456
b,1968,1.5828600075409385,1.3076908422900613,1.5809965381809832,1.9307751850268262,0,Float64,0.09173895839365098,1.7753159850929126,1.410244240639275,1.6733574637600526,1.4886363803113696,1.644161477495586,1.5217173037396328,0.0018371662128001231,666.3681764902844,1.0058769983690368,0.12637111843786242
b,1973,1.6316447006621517,1.3460068540543375,1.62974763175056,1.9555354288101134,0,Float64,0.08489526320232253,1.8070374763407488,1.4683203846141335,1.7212163853493798,1.5453177528241613,1.6862799263850479,1.5746407413417516,0.0017806824615252991,574.3469243387453,1.0087040667356975,0.10892006215289576
b,1978,1.6643108044728976,1.377406406173437,1.6617563263382644,1.922226990855109,0,Float64,0.07942700957578999,1.8204158683288534,1.5097004980568034,1.7480690485404686,1.583630273768164,1.717812071029189,1.610912681405841,0.0016734248374636993,621.1091320959829,1.0071469327708804,0.11778812143812477
b,1983,1.7067299395895894,1.4221376728466748,1.7077352206682388,1.9764870603207882,0,Float64,0.08031348696903233,1.8665738530451141,1.551912232139924,1.7890691007322628,1.6236941292000837,1.7593490312991718,1.651952402080235,0.0016619046547412845,668.8087552214266,1.0048898232083374,0.1268339536613488
b,1988,1.7697575814349318,1.4366618169001473,1.7710712721912523,2.0773550293705605,0,Float64,0.0886088612058317,1.9446706523586004,1.5939996885996661,1.8574526117828438,1.678009237109294,1.8291944928491017,1.7093168141462534,0.0018431784035200214,658.6549862303955,1.0058696184366869,0.12490837679704757
b,1993,1.8322003215621916,1.518615005650006,1.829761880898677,2.19123298158761,0,Float64,0.10312321344378834,2.035873784016216,1.6288401496280294,1.9349907532274733,1.7243130375395626,1.902543431359557,1.7629823970297047,0.0020727578422230003,678.5825282615485,1.0039441532446924,0.12868746749051055
b,1998,1.899525525322489,1.5013986417236798,1.8977776692045127,2.3361302912230975,0,Float64,0.12309495985339357,2.142306419871505,1.6619063533144327,2.028081826675179,1.77158909473071,1.9783924134075428,1.8153275012132977,0.0024547785224472763,709.0639175298018,1.0045942802977292,0.1344680065217366
b,2003,1.9938275776224288,1.544596569262129,1.9910883688084635,2.509709962107619,0,Float64,0.1486225492942365,2.2954559713925504,1.7108953391002868,2.1462979003940035,1.8389013330070765,2.0973673276892946,1.8887304964909548,0.0029110333664760005,690.6405240792144,1.0052403388913993,0.1309741649519997
b,2008,2.0937926556718,1.5463223641325492,2.0870784554514716,2.7760552395073153,0,Float64,0.1801076634312735,2.4655601631216024,1.7557166297945845,2.279757399226267,1.9067421552501125,2.2161562668160624,1.9675874171897298,0.0033008443031325397,735.7411293042155,1.0047625169235732,0.1395271152962468
b,2013,2.182557272060494,1.57919423343589,2.17488173583035,2.9874964223606164,0,Float64,0.21362493800100107,2.622561710481138,1.7931365703679834,2.400739956733428,1.9636644826710938,2.325173567700471,2.0314790870120705,0.0035875777625395764,761.2613590047192,1.003783383124445,0.14436681215426572
C,1958,115.13364574707846,113.25767376629298,115.129946479442,117.23692984813336,0,Float64,0.6061616416237792,116.32816106438537,113.94664064717298,115.76136626122998,114.51678728663543,115.5054654653693,114.71908377852326,0.00012486996756143638,2315.788958767669,1.0001764711574346,0.4391698930265317
C,1963,114.08067333347704,112.54816021899451,114.07912560930214,115.85529702719568,0,Float64,0.49548248286647883,115.0632978478284,113.10250153128743,114.58568756914357,113.57551604753253,114.40724882531627,113.74021255364659,8.290266939229729e-5,3387.9681966336716,0.9999979282335076,0.6424996651183074
C,1968,113.46972923480354,111.73652283421485,113.45925062769561,115.29386035065326,0,Float64,0.47470455931209266,114.39787716169444,112.53813718798816,113.97443049966385,112.98478464285769,113.79417894562788,113.14928209012774,9.439114851521042e-5,2782.0343718071804,1.0016975377255788,0.5275894130322041
C,1973,113.24009996227856,111.65640520189204,113.24088559067567,115.16327094512641,0,Float64,0.46906590721350605,114.16138512709634,112.33872202147043,113.72590728910947,112.73190410700757,113.56140524330897,112.91800412697249,8.67972549746518e-5,2428.4071531839895,1.000161318092859,0.46052698612752635
C,1978,113.04859446215133,111.47213247192096,113.03878407039869,114.63681993200406,0,Float64,0.4733969072176808,114.01046489081473,112.14544013547042,113.53128951643097,112.5495925200037,113.3757278287684,112.72643457227288,8.300616994461702e-5,2067.9192433717935,0.9993638699741957,0.39216348685865227
C,1983,112.39427313547111,110.57408870226122,112.38902796797866,113.96368651744255,0,Float64,0.449756068143662,113.28390093268476,111.5047145446947,112.85775016498748,111.93919666276501,112.68826408137483,112.11355755355957,8.348765393364466e-5,3471.8335379231044,1.0006249197557435,0.6584040215249088
C,1988,111.6582599418825,109.93670972110175,111.64308130648867,113.5483976270681,0,Float64,0.4788702022020988,112.61680964736085,110.74665434320664,112.14811773453977,111.1658400658567,111.97620772202555,111.32263732098426,9.279896711486587e-5,2975.312936621861,1.0000120805556956,0.5642430667741039
C,1993,110.85581951784613,109.25317953584243,110.86041556325353,112.50016471095034,0,Float64,0.4447671369198378,111.7403148352145,110.0001442929868,111.31578077359485,110.38907370703971,111.15443046490206,110.56176032261274,7.024000700771047e-5,3792.596645971561,1.0003467015665768,0.7192340463486999
C,1998,110.47417357923965,108.32827353573289,110.47888907798597,112.18710468497342,0,Float64,0.48957163103417084,111.45530603395176,109.534764332548,110.97011789122112,109.96153420569188,110.80386548163166,110.14200603276514,6.612892585254315e-5,3270.539037946535,0.9999119668682387,0.6202302131185582
C,2003,110.1198143676878,108.06809296555289,110.1335825516756,111.85274408900202,0,Float64,0.5240848230058398,111.10917509340527,109.07287732739566,110.65970370139765,109.58348720417936,110.48614313102071,109.78882360034547,0.00011324192834843897,2111.3916953089215,1.0020689235917002,0.4004076716296986
C,2008,110.73967495591502,108.94172939780657,110.73728355248986,112.86051415795482,0,Float64,0.5254585729202955,111.73285485652215,109.70259419896124,111.28214647944084,110.20078478933783,111.10362016389222,110.39759702283685,8.333619097309578e-5,4163.603810640212,0.9999618759989802,0.7895924338013774
C,2013,111.40319137435564,109.39362754871738,111.40368725626442,113.69633838183661,0,Float64,0.6283197351262588,112.63587048571337,110.22320058781047,112.04304142874862,110.73016636425876,111.82404040206387,110.97491416649461,0.0001204320545285814,1820.2977789822746,1.0007568391552304,0.34520415940556365
c,1958,0.07519386235478592,0.07144782190920287,0.07517023000321657,0.07854956567416917,0,Float64,0.0010157436745279736,0.07719042730488185,0.07318529727229015,0.07624403997498487,0.07416697859291645,0.07588550582709937,0.07450185910591088,0.00031720218123158355,2280.659345535075,1.0003737949208689,0.432507857426521
c,1963,0.07582422344719993,0.07260477592396335,0.07583121057845937,0.07879390422644547,0,Float64,0.0008600895075184036,0.07755274423446513,0.07412720326821036,0.07672126762440927,0.07493586313646511,0.07639391143149382,0.07524934462468981,0.00027161001307365613,1877.0354113303358,1.0016718304585717,0.3559639740400269
c,1968,0.07486244815539664,0.07176348248271722,0.07486094369000988,0.07816153512868877,0,Float64,0.0008015412666891729,0.07645646076732492,0.07333509091298544,0.07570839466319865,0.07401801594229115,0.07539000008125829,0.0743210579693563,0.0002617863055149882,2114.871614252469,1.002253211237568,0.4010676089803767
c,1973,0.07392169739759546,0.07115022440115322,0.07391132252538962,0.0763337466677175,0,Float64,0.0007451072386966735,0.07535015468084233,0.07248030022564733,0.07472977030267479,0.07315261750950847,0.07442628434844452,0.07340267711065646,0.000275065689943705,1747.7592909052191,1.000976374540936,0.33144784541654665
c,1978,0.0725536082373663,0.07006301949649392,0.07255403091101754,0.07481169191772422,0,Float64,0.0007234446022161019,0.07395908874530786,0.07111368832403463,0.0733168150187782,0.07182587042907035,0.07304437616996987,0.07205576302994567,0.00018506381946864137,1703.898451098483,0.9997244804214411,0.32313000615358184
c,1983,0.07341234907168513,0.07109029115130738,0.07340562486582085,0.07628485035815005,0,Float64,0.0006894242247078642,0.07478709797514288,0.072051297123734,0.0741184366127128,0.07271336486779438,0.0738696484746294,0.0729409718604932,0.0002178215572994531,2625.087824920976,0.999953207231095,0.4978258208249174
c,1988,0.07651186794799276,0.07322744169377207,0.07652002703577612,0.07943808907292017,0,Float64,0.000870120144792656,0.07817666085733337,0.07478815068023122,0.07740951315896866,0.07560199241958589,0.07712333462710999,0.07592539258585362,0.00025343262783016627,2134.728130211864,1.000585980353407,0.4048332301768814
c,1993,0.07189534636586652,0.06998575409051105,0.07187724015736346,0.07406286125596216,0,Float64,0.0005897194791352971,0.07307255894886275,0.07077025859067389,0.07252449892498418,0.07130170592298765,0.07230869080595764,0.07147802990921451,0.00014172492118193767,2639.8194634101073,1.0007542293373246,0.5006195521253811
