parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.5221064085583818,1.253507342331942,2.479771796403389,4.593379130634471,0,Float64,0.45547653417150613,3.551097078927121,1.7833509131292038,2.9988814448083985,2.051254819310587,2.8034890398288193,2.191886444572183,0.005755698412274212,763.5665958226534,1.0056970678778392,0.017502929125569493
B,1908,1.7663763647359638,1.1802455505129803,1.765758594627473,2.407215494569108,0,Float64,0.18025203386755448,2.1369630433997755,1.4276526078584983,1.9490919771301551,1.583548033796467,1.8813896015686442,1.6367968256100462,0.002979821051464153,1154.0631510232715,1.0013482705123216,0.02645412417109361
B,1913,1.759941025826462,1.2820163929618615,1.752209546538484,2.377143646898049,0,Float64,0.14453186040286903,2.059254582723905,1.4865803334014907,1.9109465379733448,1.6172746007018217,1.8526374610505891,1.6643513037844673,0.003019622960583851,710.2899885938294,1.00357370256818,0.01628169094480249
B,1918,1.7325730480337633,1.2882377558353357,1.7250931005541985,2.260768216430468,0,Float64,0.13256156305830324,2.004702830092474,1.483223348711865,1.8710681172844643,1.599231555126819,1.8189754910166245,1.6426887054747863,0.0029633971515906988,650.5791151772381,1.004066348984207,0.014912962675187106
B,1923,1.732901227175434,1.297692376426578,1.7275642697528972,2.2267496315687163,0,Float64,0.1254657540394163,1.983788852668414,1.4898643611726954,1.8658400625769413,1.6057808319741582,1.815925204839636,1.6512698134741701,0.0027769483277270885,685.3892875516226,1.0043474106605017,0.01571090221739728
B,1928,1.728397427128985,1.3470088017961255,1.7256634115957308,2.1984033991243748,0,Float64,0.11713726294945141,1.9585002753492702,1.4979040684740728,1.8509588991679786,1.608434454853237,1.8057662294267782,1.6523011527267817,0.002658617996160852,657.5352045193928,1.0050231539784857,0.015072414305749453
B,1933,1.7303580402117977,1.3643133982147915,1.7275047270276176,2.169665754168346,0,Float64,0.1096752042006252,1.9456711112172538,1.5133875656469116,1.8436819897321044,1.6174203151616335,1.8035936772548986,1.65845314580356,0.002496754539190709,644.1501913551632,1.0042208510207893,0.014765595047232887
B,1938,1.7353915140906653,1.3714841871462764,1.7332592168307164,2.1409208717128028,0,Float64,0.10248845591884366,1.937249172310038,1.5324888385859794,1.8417784144475693,1.6303379997448089,1.8036743297272695,1.6687468746426424,0.002293563142971553,659.4231036711309,1.0036249250866225,0.015115689856604967
B,1943,1.7466528508420098,1.3909209498193118,1.744956966281567,2.0945945707640616,0,Float64,0.09760606546542154,1.9381021283160713,1.553979334117359,1.8457645991358966,1.6481575968860656,1.8119161204606722,1.6828088140554032,0.0021925497371272818,643.2361429755795,1.0039368528510881,0.014744642684868267
B,1948,1.7586626502290172,1.4029775224109602,1.7564691145314293,2.101305484923318,0,Float64,0.0944818850629322,1.9434369559504983,1.5721726417394288,1.856969028902639,1.6630990968905768,1.8221001418823275,1.696529013301123,0.0020806568372659104,645.8404636783376,1.0027701996068823,0.014804340478001188
B,1953,1.762959898123159,1.444756888814694,1.762438402596714,2.0978285813205373,0,Float64,0.090989057599934,1.9455530626585698,1.5835068400389265,1.8574356311099844,1.6694708102527314,1.8232877414916437,1.7044568140283252,0.0019445360109192906,681.3643487016627,1.0030681356394218,0.015618640167418915
B,1958,1.762013348247712,1.4642331641832618,1.759813689426353,2.0784290258333513,0,Float64,0.08922132175755253,1.9389771632750394,1.5893524826571495,1.8567104447374634,1.6713891230777294,1.8215643307023637,1.7003758119120262,0.0018490710622978072,702.6050016461129,1.0018865313846368,0.016105531088396133
B,1963,1.7642616526593393,1.4559702115220514,1.7627154102686908,2.07089404317316,0,Float64,0.08786754591956865,1.9365950560394447,1.5970475096970893,1.856282983629874,1.673067334268346,1.8231941373088394,1.7058317800235923,0.001835519038793742,695.0408606186453,1.002297678560703,0.01593214133428184
B,1968,1.7669135208800653,1.4626798724400347,1.7642303347635937,2.1273269702542295,0,Float64,0.08752204832507962,1.9395481665396739,1.5983316215732013,1.8585986151631217,1.674429999943712,1.827085626702247,1.7080040863675556,0.001791600688400062,702.9720180324771,1.0020062348263035,0.016113944057001096
B,1973,1.7671951887647874,1.4756555350335498,1.7630558050091951,2.121939006794894,0,Float64,0.08836273138311992,1.9427522743264305,1.600544427263869,1.859370051302478,1.6749762771444536,1.8285490898924166,1.708024773018236,0.001814354858882525,704.2385868091632,1.0021005564349257,0.01614297710225514
B,1978,1.767572929507583,1.475155267067326,1.767297564530778,2.1270536585637956,0,Float64,0.09019823146180443,1.9467997158530699,1.597285171274289,1.8638510937581645,1.672808069508798,1.8282433994934395,1.7038248916975027,0.00176364450702036,752.2770566649017,1.0014752289110813,0.017244143572587595
B,1983,1.767241072155683,1.4632527729968052,1.7665235692942174,2.139347885342319,0,Float64,0.09552438927615974,1.956905496189762,1.590200748767414,1.8702584669083702,1.665836125906278,1.8312655219057221,1.6987266200349893,0.0020060948320465596,673.3440692156485,1.002648306583251,0.015434794535382426
B,1988,1.7633020330332592,1.4383151814717692,1.763373088445815,2.153051893090771,0,Float64,0.1013216104216036,1.9665053761536289,1.5744360246003843,1.8706566968134575,1.6560328938214675,1.8296107225487583,1.691601664454424,0.002187158768048084,611.87699204577,1.0038505584363768,0.014025809515416765
B,1993,1.7666291527418139,1.3781326105898295,1.767985948018363,2.2501828357306364,0,Float64,0.10864193833055442,1.985103772714063,1.5638424291822408,1.877123922892538,1.651117961978774,1.8381783753068692,1.6880856818390957,0.002236379991464877,743.3934744228479,1.0038829505553615,0.01704050879964901
