parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1933,2.478638806372558,1.4692890649456969,2.4534327583451203,3.884008149083527,0,Float64,0.3233769399888161,3.1819783772915917,1.9143198838645723,2.8110509071216034,2.155543145009884,2.6845208390684654,2.253396855724569,0.002264084548774649,3831.800940356389,1.0002925690579625,0.10508495952500636
B,1938,1.8869241794881337,1.317731258413973,1.8821920242072618,2.548020106532346,0,Float64,0.15127067518257378,2.1887385647619424,1.6053888867301105,2.043254061166475,1.730661960997352,1.986143166500013,1.7841632754618075,0.001745360052971224,2031.108742620134,1.0006649354261556,0.055702001051566044
B,1943,1.8883415713312655,1.4315519851056924,1.8855132615193833,2.4568545122048326,0,Float64,0.13672084050459193,2.163409475346708,1.6282560246307864,2.0319587828168895,1.7470949157438078,1.9802149438378984,1.7941792639979706,0.0017219479569705206,1660.8509729273878,1.00087190838959,0.04554789248809705
B,1948,1.882136289612502,1.4215937216807926,1.8790726894667955,2.438099293105405,0,Float64,0.12634622830051537,2.1350000619164895,1.641659415029298,2.015497425397156,1.7524537885456546,1.9672955675022754,1.7955410937290726,0.001724349446774718,1473.1276916015684,1.0006376527838887,0.04039968835978177
B,1953,1.8825178170818284,1.4000371427679885,1.8807607021866881,2.3612914585648426,0,Float64,0.11897770809246051,2.125001588683701,1.655446724834323,2.0052977680898882,1.7595903344169845,1.9602435046083382,1.8023392292111862,0.0016604057544894377,1426.2716603024858,1.0012397677566929,0.03911468837434188
B,1958,1.8780500053663371,1.4205804645688558,1.8766203946377957,2.300533004938085,0,Float64,0.110630975459995,2.0975505495352964,1.6657109128958734,1.9910266410876873,1.7634365789733217,1.9522080529687988,1.8029357159915653,0.001576112805058162,1386.636520933234,1.001213292963946,0.03802771723956304
B,1963,1.8748761008717956,1.4958150994170691,1.8732383388303513,2.2654504512548836,0,Float64,0.10552093801213414,2.088627997053663,1.6721079116338466,1.983482598620641,1.7672844870742463,1.945804534963659,1.8036909404310022,0.0014984384477505102,1352.9078686098758,1.0013089834871174,0.03710272814973223
B,1968,1.8767487474872604,1.4975686191305626,1.8754014869799125,2.2717642530372664,0,Float64,0.1028295706518127,2.081768300318164,1.6764060202345836,1.9829852929301843,1.770308539422258,1.9447749958772191,1.8090368832653527,0.0014647833905892483,1358.1487253683504,1.001781272293529,0.03724645566295984
B,1973,1.8848941006208206,1.4943370682520996,1.883164741452549,2.3432567686269548,0,Float64,0.10342334229287055,2.0934944568878255,1.6881326423318956,1.9900073303651502,1.7770362450608044,1.954179488489634,1.8152331152680254,0.0014760802784099338,1312.481807597481,1.0020880498380356,0.03599406643912473
B,1978,1.8929074008201436,1.5119298164790118,1.8922990384266674,2.339923162326101,0,Float64,0.10744346879879228,2.111109214596773,1.6888853067881484,2.002466822134031,1.7822437802540518,1.965475646207325,1.8185254426209936,0.0015200061554162536,1318.1873134302277,1.0020292302485159,0.03615053668871136
B,1983,1.8986371224938021,1.5585815427032255,1.899362439148684,2.3661767416669335,0,Float64,0.11372080049502789,2.131214941935698,1.6810136876911772,2.0119614022347267,1.779075859257667,1.9735598968610977,1.8204724901285045,0.001572009910813828,1388.144307194654,1.0016854580531196,0.038069067419470595
B,1988,1.9011645060767473,1.5558210258192517,1.9014952090012915,2.3678782403566156,0,Float64,0.12227275559044479,2.1507657493549495,1.6682818200145635,2.0246989549519125,1.7706903596670671,1.9790538984438628,1.8167174996992672,0.001639858905275205,1442.445994164346,1.0016437575356998,0.039558260273214955
B,1993,1.9038134113972631,1.492232991488264,1.9021067335476298,2.4454107902637228,0,Float64,0.13345584811094702,2.181431206409016,1.6516582166817257,2.0400564990868992,1.7638365303602348,1.9894943665813538,1.8107070859933723,0.001731773676774916,1510.8155800818386,1.001608042613877,0.04143325724740875
B,1998,1.90506538067664,1.4986508212632221,1.9007355838843885,2.503696152682028,0,Float64,0.14719222960939715,2.2117804454500503,1.632947176663533,2.0533346285645564,1.7506654820007945,2.0009020524936423,1.801967307306698,0.0018709249657533342,1519.4378239323705,1.0020621911961682,0.04166971737677121
B,2003,1.9021668488750088,1.4531433768175452,1.8973511946701374,2.5495990567773608,0,Float64,0.16138467059048542,2.249493087893818,1.6055130279114567,2.0653258888543924,1.7363808768846338,2.005599409153098,1.789661428049448,0.0020315990569260327,1566.3481686274695,1.0015897913950864,0.042956206876178786
B,2008,1.8968578960232967,1.3637089582125184,1.8908279358018683,2.6735246675717623,0,Float64,0.17710503136492317,2.2794080587055907,1.5794491885314492,2.0766367422899243,1.7158947565440485,2.01197592659531,1.7733079066747437,0.002253528025535725,1606.7769969957453,1.0018428906658237,0.044064944479946
B,2013,1.8942252885242092,1.3195463553483222,1.8854288616430175,2.7747292025224444,0,Float64,0.19387841424263907,2.3146970244323484,1.5508501801609094,2.09165001665709,1.6934775790659566,2.0179543179529045,1.7572322078992753,0.002407482190603055,1637.862533140576,1.001603414516896,0.044917447613182566
B,2018,1.8927260966125958,1.2678095238358014,1.8797652691527924,2.924608108431749,0,Float64,0.21243587058694136,2.352218113292813,1.5208822963621518,2.107446152366541,1.6712363696366235,2.027533492336702,1.7424377356605278,0.0025881549459086752,1689.5969614154928,1.0013746404787196,0.04633623485864249
b,1933,1.263542504932031,0.9126340566631145,1.2599895267647367,1.7957109487513438,0,Float64,0.1178456760733424,1.5038339213866654,1.0401671708175428,1.3843077023884067,1.1425784228366571,1.3412867791460812,1.182318378641264,0.0016542357857044165,3811.923737076488,1.0003801626136952,0.10453983854021312
b,1938,1.610667001185534,1.277204212646325,1.6067858070209557,2.0409731266833093,0,Float64,0.09131556247728581,1.7964408401089542,1.4437787756325062,1.705072806130253,1.5159065042968007,1.6696513604576984,1.5474277607151323,0.001142700053949448,2363.3331241995193,1.0002642804408002,0.06481306559664726
b,1943,1.7891327742611838,1.459319486849394,1.787277903313689,2.1875805626729456,0,Float64,0.09850558334456493,1.987932666740461,1.6099831638825866,1.890607706651488,1.6843472059136984,1.854173151558327,1.719351575540431,0.0012887305165717375,1706.060899035096,1.0006917189459579,0.046787748975713854
b,1948,1.9138139967478895,1.5765306372060446,1.91061586261721,2.3255288826905263,0,Float64,0.1021367199376998,2.124562526523801,1.726416586364102,2.0183464676021567,1.8068866392580905,1.980830193827952,1.8429378016678932,0.0013406257216841719,1544.4151968378264,1.0009186465337458,0.042354707610258314
b,1953,2.0012077676921516,1.6627261102398188,1.9973424524504488,2.4582357827627197,0,Float64,0.1020198938934208,2.2142814449132917,1.8117846916856026,2.1066265447960486,1.8944358497421956,2.0673911931541387,1.9298035081560048,0.0013493229126803111,1447.2146581286281,1.001009027918939,0.039689038167859014
b,1958,2.070705760557479,1.6904627609888558,2.0662638732347385,2.5376352976828955,0,Float64,0.09990174946699033,2.2768031925531034,1.8840955378070903,2.1762251785745486,1.966481117850869,2.1345579356925475,2.0008840827250998,0.0012980681070565241,1334.0082468329397,1.000902626758451,0.03658441678116658
b,1963,2.133440173227801,1.798931891071024,2.129883710218302,2.6105513849658406,0,Float64,0.09899222277813112,2.33951166181118,1.9503968252510453,2.234430184485742,2.0329271362747185,2.1965610082858005,2.0653092687104646,0.0012246772796519582,1343.2227521932061,1.0009272289939222,0.036837119345286856
b,1968,2.2010353211948592,1.882424364122544,2.1965726296543924,2.597125210933543,0,Float64,0.10077696502939618,2.4093615663186267,2.013094232920242,2.305592988184988,2.0990478825647823,2.266759702944218,2.1314935666549526,0.0012540189901561207,1316.9524589301,1.0014538109084332,0.036116671506990015
b,1973,2.2754211715323303,1.933670054830109,2.270818095600947,2.676995964752792,0,Float64,0.10526158813169811,2.4900877193154303,2.0785877700220223,2.3859371536060476,2.1677221920188496,2.3454475567339337,2.2023894093362197,0.0012439617621091104,1348.2846062291433,1.0017362217432153,0.03697593781074672
