parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,1.955759609271858,1.2916924361203785,1.9527913509587043,2.844417536093596,0,Float64,0.2079885391932025,2.370151862436192,1.5590182966517634,2.1712758302964947,1.7418893386668455,2.0951393127748137,1.8138546895117986,0.0029151603022290816,1180.4542041337108,1.00086317543957,0.27797657326802716
B,1963,2.0220930419540855,1.4259409620119747,2.0196377380949952,2.846760943994021,0,Float64,0.18817077969651141,2.402441886841918,1.6665699124066329,2.2182172322880285,1.8264365047205018,2.1480657114831185,1.8940418632193847,0.0026865860344842066,1069.2150229876777,1.0013390355415248,0.25178166771401794
B,1968,2.0996174389805025,1.5022530915791905,2.096961025745001,2.7609071193007226,0,Float64,0.17051161628425826,2.4572261122950163,1.7826466078674432,2.275018034956379,1.9228410607111137,2.210324996127832,1.982285917511049,0.0025078745416785347,1012.7972074876931,1.0009840545953688,0.23849624675568223
B,1973,2.1664896222439864,1.6514007115602543,2.1636807328601533,2.7495920805146943,0,Float64,0.16135463885628495,2.4913744262821225,1.8572921643736522,2.337097171659744,2.002994522660398,2.2697283608632173,2.0557616645133288,0.0024122341303020518,919.8617143025081,1.0014624299157773,0.2166115435286305
B,1978,2.2185215003291594,1.6617366932185853,2.214643879924779,2.792603238861348,0,Float64,0.16043500554811316,2.5397812162122393,1.9079729157404643,2.3858004746150847,2.0541926605363074,2.3261097051504365,2.1084473646779105,0.0024995886404712143,878.9893412157021,1.0014222339343508,0.206986805718204
B,1983,2.266642397931636,1.675235125031114,2.260889350803964,2.880112358509075,0,Float64,0.1639319443434403,2.586901084810594,1.9561327915102307,2.4414517833432385,2.09930216813534,2.3747644503959693,2.155917502339374,0.00251671142095783,886.8570011705954,1.0014158308064438,0.2088395037273608
B,1988,2.3375491737970164,1.8067744992631511,2.329656542988268,3.06546804555346,0,Float64,0.16735414427892023,2.6764551582808505,2.019329276141361,2.5132898294691457,2.164364331758804,2.4485521017492458,2.2244097544618935,0.0024442946383663906,889.7650711137715,1.0013813786985069,0.20952430396340305
B,1993,2.412190556937031,1.8042144294920792,2.4061964348835145,3.140498519511405,0,Float64,0.17891796619694927,2.7870190747458556,2.0719274350895964,2.5936465446522416,2.2300966404211784,2.531196751436947,2.292133811475966,0.0026276383384037905,867.5125183282104,1.0020657707495715,0.2042842121850561
B,1998,2.483854190459878,1.934674612204985,2.4765944939744626,3.285744773162435,0,Float64,0.19135028057697973,2.877594202144963,2.128608159547486,2.6795355864781816,2.2848044705090005,2.6095330261005767,2.3498745763664948,0.002718805671819327,884.2729696277918,1.0019876589487693,0.2082310089369914
B,2003,2.5567471876209162,1.9452536536899174,2.5470949719445097,3.4502054827841686,0,Float64,0.21146683344839096,2.9882410875224874,2.1729266170054777,2.780211487353393,2.338137880910894,2.698661434570393,2.405342772806397,0.0027392219651714883,921.5658251997286,1.002017419174434,0.21701283220719106
B,2008,2.6073164882077333,1.9541305630506287,2.591024889313696,3.6414585263438397,0,Float64,0.22896732629261835,3.071857139443705,2.195186841168954,2.8525096067187663,2.373192641578893,2.7600288589576105,2.4459805677385917,0.002953385923918178,903.6159751684312,1.0021206807259813,0.2127859526002547
B,2013,2.6305979889737987,1.9470556545729616,2.619436225141054,3.6796559776999946,0,Float64,0.23969514174944104,3.128543260759836,2.201034655813711,2.8847130549357076,2.379557044745986,2.7866805948823994,2.4577221471731527,0.0028773114170314983,947.0514738667671,1.0017284745688646,0.22301426221537607
B,2018,2.6361615279229547,1.9101050473496373,2.620819502809544,3.9628120103303663,0,Float64,0.2544104099336717,3.1548596107520686,2.181597099494326,2.9083604440551745,2.3693166406408066,2.808409680535253,2.4516301952258903,0.003151967226062016,973.8353704832149,1.0017723682120963,0.22932140718900856
b,1958,1.8004001386231967,1.3788132910255615,1.791992330563915,2.376607641807293,0,Float64,0.14854593969221064,2.1205246331920713,1.535874500964781,1.9537149424071723,1.649013418339027,1.8934403541186322,1.693983400255909,0.0021219617671963133,1173.5429507664214,1.00079006841255,0.2763490924887655
b,1963,1.8737210504471415,1.4379485604671753,1.8684205811008465,2.3944212572357597,0,Float64,0.13547651545841843,2.155540620133824,1.6258393176881647,2.0106704177939045,1.733632204690774,1.9600476973706786,1.7798988096147235,0.0020584652541275686,1095.9353679655492,1.0013291378238387,0.25807384737459116
b,1968,1.9668948091594078,1.569368888589686,1.9627535197215118,2.440926270713742,0,Float64,0.12730436031151324,2.230484924371311,1.7268660844943686,2.096694963987843,1.8381400756520758,2.0501837262759266,1.879220109663993,0.0019827613305065397,987.9948414827371,1.0012694847828567,0.23265571801102275
b,1973,2.0440770470171357,1.6555430336576995,2.0380417239280293,2.608017261011268,0,Float64,0.12525750514899195,2.303073434066323,1.8130290124755595,2.176448165197664,1.9188358514940411,2.122614677138339,1.9575070721024073,0.0019373004818115662,924.4423637707986,1.002008858201316,0.21769020734979233
b,1978,2.0890882327074216,1.714257320316091,2.0849969705681457,2.7203888086491923,0,Float64,0.12646914882228774,2.354757876888825,1.8567532360729762,2.2184440289754512,1.9613567329029293,2.1687017223561784,2.002684805568188,0.002131588682029707,867.2463726746581,1.001806659256727,0.20422153948118874
b,1983,2.098948917653288,1.698298946333709,2.093387721304576,2.629879419325592,0,Float64,0.1270980807117305,2.367500882696781,1.8697413927631124,2.230844389330403,1.9695846006189448,2.1797026306198286,2.0110123105488587,0.0021326387948411647,917.3776065361662,1.001271191291972,0.21602657906148037
b,1988,2.1240665520767448,1.7340827040996554,2.1191978107314906,2.7189094003320613,0,Float64,0.13012219271103262,2.399382728264838,1.887067521187327,2.255691740671111,1.9908398902643947,2.2068099918577433,2.0351887380721045,0.0021685634443040403,881.2083127306125,1.0019037048106447,0.20750933517824927
b,1993,2.1576480129773477,1.729002411244993,2.1502200544788104,2.710562548018172,0,Float64,0.13780084031792697,2.4449958272510295,1.9082656723939853,2.3004204376147905,2.0148557613747102,2.244947161572924,2.061625284442119,0.0021853191810514024,870.0225141039176,1.0024155686993528,0.20487527283120827
b,1998,2.1967633559989364,1.7156277861212963,2.192064447490921,2.715466554195609,0,Float64,0.14707852443169514,2.500399008070481,1.928233105515402,2.3509699012560383,2.045901380037737,2.29250998701482,2.091984001405996,0.002316121665879832,886.136828501555,1.0028612289955812,0.20866991550445466
b,2003,2.2509412472124994,1.711422524666393,2.244833527310137,2.877641342899355,0,Float64,0.16105249627869545,2.5800651775035277,1.9542373976870748,2.4159639583661066,2.0826662596470054,2.35772085086775,2.1377832719176,0.0024465000691940896,903.4293708834477,1.0026365460141227,0.21274201051464464
b,2008,2.2817731590278463,1.703378989674888,2.2734116932230313,3.046641801545785,0,Float64,0.17412097851207933,2.6498434541885145,1.9625157572470349,2.463348700021268,2.101794792502596,2.3963592209170925,2.1599530251431687,0.002630557592449732,889.4778245388823,1.0019693500212612,0.2094566623570696
b,2013,2.2904951157667472,1.6529069593882346,2.2829854083413155,2.9701617292788494,0,Float64,0.1812947624925056,2.661723999188541,1.9637918241094103,2.481740567075072,2.1049199027974637,2.4088255790767734,2.16113533968253,0.0025991995708606135,936.2735273600366,1.0022472756078404,0.22047624199712823
b,2018,2.3028275598934984,1.618308990339392,2.2949613903297514,3.042514166518076,0,Float64,0.19043997135766194,2.7011714172900643,1.962892363752075,2.503540765102377,2.1041020863854736,2.4276618111965904,2.1703127553827857,0.0027179446805708895,966.5639747118777,1.0023580997046826,0.22760911909488865
C,1958,105.01409741120744,103.59753359800526,105.00559905566459,107.21317322644802,0,Float64,0.4325113847847612,105.8650176141959,104.18985793969686,105.4615996411046,104.57552697477949,105.30520153665498,104.72472348518235,5.668019652486202e-5,4859.6697307236,0.9998279843252285,1.1443682730176359
C,1963,105.03589475508569,103.48393338168432,105.03052384408545,106.60979816657496,0,Float64,0.3990370616308292,105.82525563299819,104.25922599027919,105.45697079150145,104.63074945483014,105.3059987518301,104.7678311521401,5.352713513192996e-5,4856.583143840959,1.0001232476860196,1.143641435126148
C,1968,104.95234569548492,103.52307815852849,104.94497920530682,106.4189272417017,0,Float64,0.39928295112077195,105.74503366469956,104.2181155398406,105.3716394128932,104.52821687462551,105.22755335248311,104.67112971970653,5.4566277831428605e-5,5516.078321094633,0.9999008963799739,1.298941156892399
C,1973,105.25078050895657,103.70544664087285,105.24716298570144,106.88568088155742,0,Float64,0.40718328742409365,106.05116463165261,104.464743148953,105.66615511068031,104.83029139638613,105.51241753728866,104.97268835652787,4.59458577067035e-5,4933.931302948205,0.9997579525393778,1.1618555904418986
C,1978,105.55564256777998,104.07135271771858,105.5493922395474,107.01594284829869,0,Float64,0.39789347203098163,106.33488223697252,104.77782567026084,105.97318012783676,105.1535462652435,105.82349377294031,105.28839622198662,4.883194487735833e-5,5269.304902485986,0.9995878136582009,1.240830279707791
C,1983,105.99103337389296,104.59261218658821,105.99311588762114,107.64438418195208,0,Float64,0.41488564032212816,106.78072111928687,105.16417768597081,106.42561658892605,105.55260723122619,106.28033257520893,105.71859778468553,5.3024850116168534e-5,5473.707272864602,1.0000939390169656,1.2889635069746692
C,1988,106.77630297974012,105.35558601614615,106.77374125640765,108.0994440259633,0,Float64,0.4189290438634016,107.59553685408918,105.97625383062193,107.2112831663736,106.34622047964147,107.0586610089322,106.49529115082404,5.655729573058981e-5,4816.022752452247,1.000199767947857,1.1340901636162817
C,1993,108.35742817390236,106.86460926853835,108.35470990585651,109.81127670602662,0,Float64,0.45354614257501247,109.29567659076545,107.47498124601206,108.8190163461056,107.89810190935239,108.66114049381659,108.05110926059723,7.261700289937544e-5,4337.15852959777,1.0007348544730226,1.0213259112940742
