parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.842214734771481,2.0597674247683733,2.810055254455116,4.340754405435097,0,Float64,0.3039366594505731,3.5209167717994703,2.3464807515260047,3.1563464753286237,2.5312004705075988,3.0302421683768173,2.6241993469382026,0.004149376174316195,809.2608566195009,0.9995826065577764,0.0729846545898864
B,1908,2.791029074741146,2.025523779129033,2.7668613132360287,3.89883459501846,0,Float64,0.266780002030555,3.3676257654105446,2.342489216959151,3.0629880757284815,2.519375768163646,2.95930984484922,2.598468627629587,0.003808996463614037,750.225945806024,1.0001271387318125,0.0676604843433917
B,1913,2.6858025459738,2.0568973377823894,2.670401125646479,3.774690583576323,0,Float64,0.22217189663607143,3.1484090349841103,2.2933346541522246,2.917994398343043,2.4567977687122586,2.826756331681518,2.527039698515474,0.003140851650294675,867.0524594396763,1.0001214708797457,0.07819669485542662
B,1918,2.5342697801844385,1.9936124616055644,2.5206937083561223,3.3840164074302868,0,Float64,0.18884301607623874,2.9377665051690496,2.2012538042994287,2.7255960406844584,2.3407000738279784,2.652213230068549,2.402654451527684,0.0025553034459719,1009.7560193456518,1.0012418685201157,0.09106667360614949
B,1923,2.43979649255195,1.9178567842217311,2.429499060262601,3.1761078707738055,0,Float64,0.17250390910541677,2.7990511146295685,2.119598910768426,2.619225917621741,2.266269610984335,2.550919092360433,2.320680296278947,0.0023882147097162246,1077.9925947531501,1.0015686711960694,0.09722071262308246
B,1928,2.3558795633504124,1.7300229803068097,2.353097605982419,3.0161931655048058,0,Float64,0.1678485695124866,2.6921138321255564,2.041677158819073,2.526550310243564,2.185495150332795,2.467037043293289,2.2442765528820114,0.0023412436889645254,1088.8908824063963,1.0018606893192339,0.09820359441390085
B,1933,2.3060277426775304,1.704127479609753,2.3065407919810594,3.0187366115937,0,Float64,0.16591842591454,2.6427354081869203,1.9789227441528843,2.4713882756540095,2.136983131405469,2.4137087437224656,2.1986249323878253,0.00233293637616121,1063.5778268204588,1.0020005089976232,0.09592069069572078
B,1938,2.2643412058526615,1.5680059109507907,2.261479510997372,3.308618719422388,0,Float64,0.16903739522917446,2.6033109615052705,1.9283212829223264,2.4318710499360208,2.0964647467315514,2.3720916475490963,2.1552594683596666,0.002372418897606107,1027.7281551474111,1.0018429966310065,0.09268752319130455
B,1943,2.237839934102183,1.4363104072860504,2.235809173804129,2.9779837627619115,0,Float64,0.17136868302202726,2.580052767137617,1.9018484800039297,2.4083102528576608,2.067070309907301,2.34807413522202,2.129084674013791,0.0024653148294815244,1024.9210324487406,1.001376228152352,0.09243435775165913
B,1948,2.222611591862075,1.4773733069997477,2.2199098174051954,3.00222129563456,0,Float64,0.16422218601694974,2.553659917751724,1.9127880662475403,2.388163884945521,2.0575432731911016,2.327444188849661,2.1118364305153903,0.0023695817379572907,987.8137892833903,1.0019254401549826,0.08908777388682335
B,1953,2.2393039404418693,1.5744460738988435,2.235288651086036,2.9202684346504633,0,Float64,0.16017990995693454,2.5661843582360087,1.940357291320467,2.4021265250418704,2.0755673674536763,2.3407825933309763,2.131951077719747,0.002046671893779199,1109.3769392796476,1.0007608753210095,0.10005116651945001
B,1958,2.2188173907784754,1.6337085617495033,2.2145189726865193,2.8555472526187122,0,Float64,0.15499458891974235,2.5367920850809726,1.9278797982614944,2.3748140989861355,2.0620046686216607,2.3203628222919064,2.1137989664435803,0.001962958332548135,1179.07936379431,1.0010266685476974,0.1063374057903458
B,1963,2.1747892342606554,1.5889780243731406,2.1712978260343094,2.8401763146755026,0,Float64,0.15431004671892662,2.4822727968670906,1.884255247191842,2.3350431845628448,2.018287323619221,2.277220335255072,2.07173752397336,0.002076711588528197,1053.3989828255271,1.0010541513767925,0.09500269323295245
B,1968,2.1125136398676423,1.5618593584228304,2.1124572636870322,2.698912668812861,0,Float64,0.14979013012616116,2.4044888913483615,1.81812952106774,2.2659836926494554,1.9608052439108579,2.2138509583063968,2.015734161171099,0.0022144777041297834,1013.8891249817298,1.0015729592388238,0.09143942521617145
B,1973,2.058001467924057,1.4539214514936631,2.0606059181593857,2.5558538214835105,0,Float64,0.1507668224816471,2.347889007218579,1.7609352003919498,2.2148143951751216,1.9016919899677318,2.1596512315331333,1.9553144428445954,0.002633565281965581,840.9411703231714,1.0015822599855968,0.07584180100200895
B,1978,2.033931703154443,1.5212286262713728,2.0337177523237466,2.5835058619719162,0,Float64,0.1490440311062285,2.3243259833518772,1.746815568272268,2.1887660127270214,1.8783918432212936,2.1313553212212577,1.93588936782221,0.0028034233663230303,738.3831603777028,1.0026475132025965,0.06659242131180167
B,1983,2.0340325403455095,1.492139565324369,2.0342398134322606,2.5876548436981035,0,Float64,0.14554232676931264,2.322528426107237,1.7566768734570721,2.1830343899218576,1.884239643024176,2.1308194006241736,1.9361597682627825,0.002630141585648648,859.7961713703731,1.0031189631488955,0.07754227338673593
B,1988,2.0361929649812662,1.5401730839404664,2.037256004056538,2.663883034449941,0,Float64,0.14591081162489888,2.3252349612818493,1.7540277395186996,2.181103254655455,1.8835494671412407,2.130160933476654,1.938611916952586,0.0027352682004701504,862.585996527164,1.0043265495167488,0.07779387881626963
B,1993,2.0538146203321013,1.5572742379315834,2.0517288239521103,2.6455371215183163,0,Float64,0.15029120453072656,2.3520475745898284,1.7694681491719333,2.2086466702172474,1.893531627475127,2.154565236916374,1.9511496130434745,0.0029385519036701237,712.2040754196627,1.0050807415959409,0.06423141316774879
B,1998,2.077176687687206,1.5856510585527817,2.0762156437311434,2.783218799033405,0,Float64,0.15948816147105307,2.4000352846808557,1.7711288325797485,2.2407879402612396,1.9107004792507798,2.183447629227187,1.9691646697958296,0.003037405536133746,866.4481793234633,1.0047722930030067,0.07814219675979206
B,2003,2.107202920291221,1.5088231320476904,2.1037323143587336,2.7613125876037103,0,Float64,0.17087043604835328,2.452280415658993,1.7841420141376831,2.2802486696096578,1.9337669212986937,2.21771541851761,1.9905331448151198,0.002894857235912492,1097.7771994083216,1.0039402507867883,0.09900502299117195
B,2008,2.1386316353530437,1.4601288624849278,2.1333513133066626,2.906013506748188,0,Float64,0.18555936423768052,2.519021326684679,1.7941222966337107,2.326134840574942,1.951207471225017,2.2585879581808785,2.0120491262258184,0.0027484868632341422,1333.5637832196173,1.0026725412057511,0.1202698626725109
B,2013,2.1691155514207776,1.5969868862093852,2.1603862494098722,3.004005542014066,0,Float64,0.20161876962732342,2.6067408732900064,1.7986059589818435,2.3681766361704604,1.9658627969623983,2.2935261075199547,2.029789981083295,0.0027736542656651014,1467.4974721765975,1.0028662938841895,0.13234891474393778
B,2018,2.1893459919893985,1.5158725821060657,2.1803778983038278,3.2135723122138966,0,Float64,0.22265704997801958,2.6664799810439552,1.7927414042376584,2.409055230495587,1.9666331571564766,2.3194895234191018,2.0368322396052223,0.0026909197755928048,1693.2137728360192,1.0032081854703845,0.15270554771856407
b,1903,0.73723074043528,0.5676518904583381,0.7380963621781259,0.9001567485873391,0,Float64,0.051456033484842956,0.838477077547045,0.6368346406384149,0.7902411780111327,0.6811584816101721,0.7718961234083701,0.70246799213876,0.002633157347296683,889.4234169133073,0.9993418023524405,0.08021426013206481
b,1908,0.7893286282605829,0.6267026236840322,0.7890567701307953,0.9703426611556714,0,Float64,0.05035558896412094,0.8869128004639985,0.6922261371362481,0.8428066452276042,0.7373319539186308,0.8242355566268462,0.754899467025914,0.0023704055278474193,907.1434564800786,1.0001178316887662,0.0818123739621373
b,1913,0.8703388452597335,0.699176892819896,0.8699285025897971,1.0333136059231685,0,Float64,0.04865791153867655,0.9675900024065659,0.7793414520843566,0.9205391356630258,0.8188513100185372,0.904258388295761,0.8357566558122327,0.002002114403660769,992.6433470142816,1.0000087557094741,0.08952333628914122
b,1918,0.907352944462261,0.7118117837722774,0.9071999366407242,1.0911863471425083,0,Float64,0.05477721843148849,1.019791743618746,0.8035905490377706,0.9645047628075087,0.8504393416220069,0.9435367005890447,0.8708362364797324,0.0019883725971531125,1196.0788180305399,1.000403695462717,0.10787053232859274
b,1923,1.0500648915011213,0.8735324400353706,1.04918502553104,1.2649467261069456,0,Float64,0.05590586014184097,1.1639208325592745,0.9432612798700072,1.1080678490748253,0.9918561029778505,1.0866141954809905,1.0117570408795227,0.0015987799783148153,1256.7942968722336,1.0005317330814298,0.11334626764344696
b,1928,1.1505363096998076,0.9484401533521902,1.1480347352122862,1.4428705194277784,0,Float64,0.06307963738670501,1.279677589163695,1.0356607112155025,1.2157778045098233,1.0845774232920151,1.190420846780472,1.1072076599662877,0.0016569303403508701,1296.6718767873228,1.000739940722439,0.11694269934056513
b,1933,1.2276690477922854,0.9740777283157886,1.223463225190504,1.5394811985613714,0,Float64,0.0705704400469577,1.3773890307395655,1.0993081070362274,1.2984633897073004,1.157658386118952,1.2720540229363997,1.180117467169672,0.0015964909682771161,1281.2275133692522,1.0005266896003586,0.11554982148145652
b,1938,1.3139547764860355,1.0523147033576326,1.3074660245266858,1.6644444663723736,0,Float64,0.08657781756787701,1.4970804834119993,1.1582403538723671,1.4034902075347777,1.2290589722082488,1.3669986881992795,1.2539349108786995,0.0017757037309030022,1314.3781462155707,1.0018254985216983,0.11853957128577988
b,1943,1.413004954674921,1.0754910664269461,1.4064110083657893,1.8775337266931622,0,Float64,0.10302185323367527,1.6344349591389102,1.2262527476119771,1.5166631641668569,1.309158410136676,1.4785857669048128,1.3439155887543495,0.0017765039972553768,1515.7184178722632,1.000258299602148,0.13669780798004125
b,1948,1.517700469376715,1.19058530959245,1.5127865452698954,1.9732376713459752,0,Float64,0.09614607651785836,1.7243335463776313,1.3456141592642583,1.613508833655542,1.4209626553456198,1.574590968813597,1.4521989242099687,0.00169048550025524,1194.0120643819419,1.0012465500528491,0.10768413841131443
b,1953,1.6431771252926337,1.3133510666286912,1.63993334105573,2.0825413736726874,0,Float64,0.09640292278130012,1.8414126613904551,1.4645734382824933,1.740634339089823,1.5445311259546683,1.703535433211581,1.577577510561929,0.0016606494139122,1146.8734726511773,1.0005344107073906,0.1034328592258921
b,1958,1.7281171461507667,1.4040869706452113,1.7251029543976986,2.179526602168438,0,Float64,0.100291063487656,1.9284305338281988,1.5422785802987578,1.829921011990876,1.625102574150372,1.795464560327691,1.6599277439606697,0.0015640250786434333,1207.7166153501353,1.0003562862600925,0.10892010813670222
b,1963,1.9369015697901646,1.5863700119715651,1.9303429216421906,2.488461039419188,0,Float64,0.11874195770053095,2.1906354667689003,1.7173228876505968,2.0567314778287105,1.8189663426802185,2.012457583248881,1.857064446796436,0.001634350730566524,1132.3831964810522,1.00086604960099,0.10212602745151668
b,1968,2.1161212212579104,1.7256949157863517,2.1069842332935704,2.6797722406338447,0,Float64,0.1340016117181513,2.402450862727645,1.8840786716329894,2.251237410969001,1.9798985100132018,2.2007360397593145,2.023206856431197,0.001992485082011502,1009.6867980819527,1.0008857227710448,0.09106043076123735
