parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.16165677603101,1.5037535394460297,2.1548404752469543,3.14660901667536,0,Float64,0.1960719579278552,2.5651335018329906,1.785852944318733,2.3591732048813254,1.9646483929677598,2.284585533744221,2.03063831339775,0.003506469417965732,642.5881170627863,1.0055289606772724,0.13431093767380403
B,1953,2.167266860866831,1.5206503362824655,2.161563443092139,3.011889810582262,0,Float64,0.18626194209817967,2.5509757730016727,1.8136863260549878,2.353141856911748,1.9760741409558586,2.2860496391262304,2.0422266404147416,0.0034123462123528394,604.4584839111307,1.0065489669511012,0.12634124971074973
B,1958,2.1854438259718947,1.522222440873704,2.180320456459942,3.026964816441189,0,Float64,0.1798444344949469,2.55485888035129,1.8456986354325275,2.363325871080706,2.0030054189255773,2.2971408267347213,2.06438484725117,0.0034292506528411284,555.2146154361388,1.007087849999575,0.11604851323782271
B,1963,2.1982634532632694,1.6415925824415682,2.192088677744497,3.108898339606573,0,Float64,0.1754718087145846,2.5645945747065215,1.8694568810505503,2.374317988169399,2.0221677798136515,2.3105506027701534,2.079309562643891,0.0033855548452018983,541.4994173822193,1.0075224054095153,0.11318182295505816
B,1968,2.2029935287965756,1.616685712643733,2.200657825087815,3.1133324277830114,0,Float64,0.17461292937800463,2.5638429746313878,1.8726362886018586,2.3750881140126157,2.0247728112552585,2.3155021128563518,2.0845938424735913,0.003523375162317443,511.04368008494345,1.0089283405867315,0.10681609890052433
B,1973,2.205690990399581,1.6798222853908624,2.2019955103327,2.9826794621769404,0,Float64,0.1698015542261775,2.5591933953393107,1.8829701099694236,2.374533556181508,2.034804690825239,2.3147585746618144,2.092576954152481,0.0035154214838360267,510.4939157153836,1.010836381178271,0.10670118957367164
B,1978,2.210236852145676,1.6909054202833531,2.2071534441122806,3.0510809135172257,0,Float64,0.1697159461610672,2.5586173735924245,1.8845441514371175,2.3812439262425396,2.0406359398840026,2.317451199781264,2.0966397818580114,0.00353826517640421,488.64322877740483,1.0098344759257358,0.10213405524060722
B,1983,2.2192811181099343,1.6929475279536197,2.2175244648326187,2.984750792353625,0,Float64,0.17099342685624006,2.5647745095614765,1.8884376375477638,2.3938020294256406,2.044674334169098,2.3315039552909758,2.1021802116612784,0.0035949344767717186,510.2201892234557,1.0101438218487393,0.10664397646807447
B,1988,2.2220610894488697,1.6801123522139814,2.218876429302465,2.994551910232741,0,Float64,0.1739416553099919,2.567428672046658,1.889381025352258,2.39824766777666,2.046531156830161,2.334898639608091,2.10479458263659,0.00370905491300926,517.5754903910612,1.0105037172183173,0.1081813491185522
B,1993,2.2309763367308286,1.7023156233150627,2.2300716997621493,3.0974571368809927,0,Float64,0.17677197457465055,2.5868137550869883,1.8995633743898144,2.4064433451390337,2.0496717726997336,2.3434991841524497,2.111809259690112,0.003698007268105101,525.0950993568072,1.0083868848649398,0.10975306466123319
B,1998,2.2244579924497248,1.6316200028589256,2.222562654556648,3.064828143094874,0,Float64,0.17858349020842998,2.582128913421978,1.8865635234428502,2.403343560454359,2.041105193050223,2.337159610877055,2.103327754380816,0.0038266537070352313,504.5179974830818,1.008867754005874,0.10545212946824797
B,2003,2.2301576580087374,1.6388265233465524,2.2243713785173616,3.0675372674546946,0,Float64,0.18265659755894673,2.6057602683507888,1.8848409110477549,2.4171124822782697,2.0450604462077044,2.3467440544283797,2.1076065873105656,0.003920632324910799,505.3417421620037,1.0086213949469882,0.10562430495249989
B,2008,2.2393975272010365,1.6827860539614146,2.2300601950630936,3.0740208916297296,0,Float64,0.1890164923054608,2.6287244300041617,1.8811480435504082,2.4286747298892966,2.0510227274251536,2.360997366207861,2.1154852501941583,0.004062430465431726,515.2272486745932,1.0074803421873013,0.10769052997881275
B,2013,2.249356925120681,1.5907021004385224,2.2377897245504457,3.1607648280543397,0,Float64,0.1981908640281326,2.65945134238756,1.8800668015142754,2.450316443825513,2.052271946465515,2.3725982116497746,2.119446784768586,0.004068212927351175,581.5538957832914,1.0066285351684894,0.12155383359333996
B,2018,2.2591710456165797,1.6464519348707067,2.2487136271347183,3.2762777615614413,0,Float64,0.2104072673621899,2.707378470377116,1.8736053570317104,2.470187771065541,2.0500684749170084,2.3891446473186173,2.1183928704121806,0.004203179502256808,607.6369742835219,1.0066368779197545,0.12700560376736436
b,1948,1.6323533779969073,1.211513409106268,1.6250543959219292,2.170192761342483,0,Float64,0.12234743974886902,1.8903757937587837,1.4073943052432587,1.7575297505877194,1.510800581693696,1.7085430162052875,1.5504022475679937,0.0027760058851408736,675.4294032715914,1.006147168012474,0.14117527865365348
b,1953,1.6357090350548147,1.2575966726841243,1.6319821506680552,2.1302093365910575,0,Float64,0.11429507621897816,1.8735745071518959,1.4241749411758893,1.7545574444720675,1.520367838599568,1.7078526162574303,1.5586734464849312,0.002647870050559536,650.9900025591238,1.0069865230790043,0.1360670627705443
b,1958,1.707934295884094,1.315678058273068,1.7014616322503633,2.222756445720474,0,Float64,0.11453466344116167,1.9513137867329626,1.499347651912137,1.8242850248466553,1.5923519470997667,1.7809148634140415,1.6311691996326974,0.0026871102613720845,576.7585353264978,1.0059645956587333,0.12055152847388054
b,1963,1.7993230129408557,1.3435143571855772,1.7927736527234006,2.2449482852102465,0,Float64,0.11797949232577111,2.04696458132404,1.584349468544849,1.9204480294071853,1.6803613574272265,1.871952657459001,1.7185637374878031,0.0027840637338354484,545.9140126995767,1.007638022097623,0.11410454222231581
b,1968,1.8916872016744106,1.4210870491995515,1.8856609875298251,2.3997625949459653,0,Float64,0.12347412455083769,2.1483705418153987,1.661482254164637,2.0170116570968575,1.768231223720559,1.9669958200345201,1.8094384408364734,0.0027606061945429222,549.366323792509,1.0085457562806601,0.11482612907977727
