parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.264536651286537,1.6233235077894195,2.2453292297735157,3.297795287389043,0,Float64,0.20740119451230013,2.708908960849753,1.9050918289285286,2.4843679538085137,2.0548992883582744,2.3948915600759735,2.116603320774333,0.0015836135033410025,3230.4207887780303,1.0010891008986136,0.18610630590508848
B,1908,2.2534956541424633,1.6862312529672685,2.238387046212362,3.181214326113815,0,Float64,0.18934252529152384,2.6599984115445805,1.9254036852207876,2.4514342614794122,2.0649451278549917,2.374159075536424,2.1179011144641047,0.0015667847306724333,2786.373739769439,1.0009348578382145,0.16052451289963146
B,1913,2.230415886960305,1.6963789617621845,2.2178696506282938,2.9901385073812086,0,Float64,0.18167472863628462,2.6302802820115097,1.9130802753005947,2.4184781481464492,2.0461161297404984,2.3446668069303764,2.099410872654495,0.0016197252481135456,2316.6244817491834,1.0010760341490337,0.13346200159599553
B,1918,2.1946750843518297,1.69015355851447,2.1828969665665365,3.2533323348191567,0,Float64,0.1688198910788385,2.5526000496963674,1.8940592353368546,2.369436215654601,2.0218647056199575,2.30356143325368,2.0750475215253417,0.0014995378239093622,2384.386907043506,1.0015837315910399,0.13736583192500548
B,1923,2.177344101089898,1.6953632797215277,2.166439143734868,3.0287087665146912,0,Float64,0.15998275360065412,2.518724601242513,1.8953736750980383,2.3451016337285706,2.0160320871607356,2.2793814144099613,2.0638844818408737,0.0014372032414681146,2763.3720911953487,1.0007960435201195,0.15919937536314654
B,1928,2.1468651098022677,1.6628865018242083,2.1374416102452543,2.846492511163017,0,Float64,0.1491331330591862,2.4625491068856293,1.879200917574275,2.2993092743912626,1.996947753541541,2.241513157588641,2.0439030285698694,0.0013078949266090063,3099.0211192621427,1.0009841566769972,0.17853629918159855
B,1933,2.114452346789463,1.6891357736865034,2.104450247119166,2.706156069331909,0,Float64,0.14200288618000434,2.4181026153754064,1.862674153479254,2.2621496640516283,1.971447377194501,2.204091024265982,2.016460844572346,0.0012895762811653637,3193.1908569302186,1.0008654410577196,0.1839614691985629
B,1938,2.063748955640407,1.6140043689818109,2.055840610410666,2.7211359474165904,0,Float64,0.13490899952594596,2.351772794674435,1.8167721815661744,2.2002225896359984,1.9278728462340828,2.1488560588464045,1.9716402530740682,0.001192079253409993,3371.0597919407605,1.0007117083084274,0.1942085956859472
B,1943,2.031513054752618,1.5386231383351983,2.023409500409239,2.7836550008986674,0,Float64,0.1353312198578384,2.31610892934944,1.7813791374330121,2.1697177806418937,1.897521494870674,2.1149718093262475,1.9411082910327653,0.0012437937099473416,3518.929325375254,1.0002830704798622,0.2027274402646475
B,1948,2.014472719042737,1.5257220997291563,2.00583635106568,2.643618425802347,0,Float64,0.1277532040701255,2.283779875198898,1.7820984481959834,2.1475325728382737,1.88631054044578,2.0964717286783436,1.9303531653873214,0.0012544567783824977,3435.359082218002,1.0005869459158572,0.19791291291526486
