parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.1034476567019174,1.138034253749755,2.0876938382397694,3.2694980913258958,0,Float64,0.2817023886542837,2.7259639871613706,1.5961551510883702,2.391496535751846,1.8198202947258078,2.2742178731941958,1.9084737976236983,0.0068733490710153255,306.5836127980107,1.0160074856907386,0.0884182136253263
B,1963,2.1176230451635156,1.2601082324643638,2.0978013546125776,3.254281670784723,0,Float64,0.27036797099341825,2.7208197966040135,1.6361212235522564,2.3940418427085732,1.849716742915094,2.2797918471395344,1.9288370839909956,0.006707132114587805,289.96557989143696,1.0185533144031087,0.08362560005359508
B,1968,2.1500208116602906,1.3460731723333001,2.1298108040396233,3.3414220323637243,0,Float64,0.26442646175115725,2.746452630975771,1.6936619205107164,2.4232904247139175,1.8845183565367576,2.3059202404345926,1.9629484833687125,0.0065453557399655525,272.8478584568646,1.0223881142784539,0.07868887712581743
B,1973,2.162715470867585,1.4502222064036876,2.1384597316892,3.3479657036329717,0,Float64,0.25906501974174256,2.7385559635581016,1.7130994887215685,2.4270052763850973,1.9064836411752886,2.318672779612702,1.9811847113913645,0.006600098450403223,263.4389086618549,1.025167343763449,0.07597535135915082
B,1978,2.187527330139771,1.4978067348254362,2.1654691988071173,3.3212132726824857,0,Float64,0.25714856040262113,2.752811672446407,1.737735133693289,2.4538289498410224,1.9271811216105408,2.3363890188144456,2.0031313569138347,0.006712352302621636,247.35081437304453,1.0303407972062864,0.07133557121998985
B,1983,2.1976158315686245,1.4757593875198545,2.176661470753273,3.369639443759896,0,Float64,0.2576815831489795,2.7682922074679075,1.750120011410236,2.4630791076923617,1.9377326467715694,2.351474598000968,2.0145543407333037,0.006724598406639825,247.06483399064797,1.030246109554421,0.07125309494439044
B,1988,2.223031941060485,1.547161755183615,2.200687190712603,3.3241860502439002,0,Float64,0.26250513006549486,2.8062414105946383,1.7728473565488887,2.493919138365738,1.9585640771115171,2.386774055572001,2.035053471625031,0.0069358478051731115,245.00200669089003,1.0340871407252423,0.0706581789174131
B,1993,2.2439350906422297,1.5573702687325064,2.2189561731767284,3.316069152945333,0,Float64,0.26855231739191426,2.860851546325625,1.7854664331181997,2.517833727722579,1.9790265510936693,2.4122184419785717,2.0536889197796557,0.00701040027684414,253.56483129602734,1.0351549018902841,0.07312768356008963
B,1998,2.2672468167751068,1.5202314221805902,2.2380848092208954,3.4243003660328486,0,Float64,0.2753048857984768,2.8945346580643627,1.7959459747733433,2.5457409952028565,1.9915359231945227,2.435926586021379,2.0686961044091507,0.007057263967402921,262.22460026324717,1.0348483237663353,0.07562514679858984
B,2003,2.278936466997468,1.523296443629076,2.2479353912540776,3.6752079844560193,0,Float64,0.2837920334984535,2.94775142020434,1.8066081688642497,2.569059403369775,1.994679279721923,2.449288074815226,2.078495505779225,0.0071880773697423125,263.30285894335066,1.037131922752929,0.0759361148423501
B,2008,2.308472085780637,1.5070200318571976,2.2749429270200046,3.65343009017523,0,Float64,0.29972664960362216,2.9967806989264067,1.817097979094038,2.620708889924768,2.0065928376977062,2.478089326533149,2.0982505745945765,0.0072795720342079375,281.3983560528405,1.034509610514979,0.08115482667916792
B,2013,2.299947146821608,1.4882661507730108,2.2661167864733986,3.680447260794866,0,Float64,0.30515090899542174,2.994721244017924,1.797086550912702,2.6180024022555513,1.9994958325719654,2.4753155304050924,2.08577555382631,0.007163003465859693,307.8214953081348,1.0336322463158223,0.08877521692117865
B,2018,2.2883383752023065,1.3824495864571757,2.2585107341583956,3.719737142892309,0,Float64,0.3073042060277103,2.978588547008261,1.7768500297934904,2.6049739182980423,1.9847304272939033,2.466714526893701,2.0729071334997053,0.007044738672769446,316.28477092145494,1.0300628183447833,0.09121601179706645
b,1958,1.7625525581019723,1.2003244633220038,1.7515131080742172,2.5928685627560855,0,Float64,0.2167847675442309,2.2110724309664915,1.355768196836072,1.989885483822383,1.5386211773450114,1.9053067138043467,1.6126818246403127,0.005949598934523474,357.89887271184085,1.012822994058603,0.10321745084447105
b,1963,1.8424994409635247,1.3009554311126574,1.8335135977342185,2.6177096484835087,0,Float64,0.19385844408193534,2.2540851656927847,1.483982803062453,2.0483830044102436,1.6428451465259357,1.9630194955408458,1.7088274622241835,0.005385155351392722,308.21421531697706,1.0153800801319826,0.08888847673085945
b,1968,1.981213730586467,1.4027881750816826,1.9775151267253697,2.7189341415976505,0,Float64,0.19182882775222038,2.372717785423828,1.6218654720412815,2.1776204855056056,1.7836172813978515,2.1043532419498656,1.852517073318162,0.005268625866548537,268.09545104155103,1.021424652948969,0.07731829058256788
b,1973,2.000652794003409,1.3675800313567816,1.9941030784002662,2.786755190114087,0,Float64,0.19852269494864744,2.4032429962548374,1.6278394063694557,2.2097181896515656,1.7944917528255944,2.128372105610432,1.8626276826735686,0.005449291855421988,275.33002380914763,1.0248827431271672,0.07940472956283642
b,1978,2.0933320056279827,1.4054109823738825,2.084637582552152,2.93379059061735,0,Float64,0.20998141836556403,2.51743845226185,1.7057665071969448,2.314325720800393,1.8734347445360875,2.233038246963947,1.9497061470965156,0.005641881140233772,270.5043832923794,1.027052162798458,0.0780130227126345
b,1983,2.154378896339737,1.4242084845457335,2.1464715556309457,2.9995776545492534,0,Float64,0.21576015523563905,2.5949340896256405,1.7445713361508417,2.3772497609914174,1.9339568318497589,2.2945318187600505,2.0092689874219816,0.005700236174907779,263.6996774638916,1.028817397009932,0.07605055665611656
b,1988,2.279164358157772,1.5346540655776257,2.270500443247015,3.2570915490419745,0,Float64,0.2260201490414836,2.7367370981289545,1.859799399956987,2.5149009126557913,2.0422764195787972,2.42589665811439,2.127195159380275,0.005583528599817771,266.33579649851237,1.0298368065511816,0.07681080908388885
b,1993,2.3640108646484626,1.6508875960955145,2.357593612001025,3.309705056130614,0,Float64,0.24819152453711515,2.86384206697535,1.8883562481053984,2.6173666258538244,2.1095597878261834,2.530692381635196,2.1905768393480614,0.006082101952467254,267.28208187441913,1.034732166259176,0.07708371624208249
b,1998,2.4499991488026907,1.654153961454314,2.4467380741540365,3.5029062283528813,0,Float64,0.2630113837485095,2.990076504484202,1.9433159350884317,2.72101661970925,2.176926665007431,2.6184152690307485,2.26831303446133,0.0062481428599109505,269.1264943042427,1.0352786757952803,0.07761564177699617
b,2003,2.496708871371239,1.659803222519279,2.483730056701686,3.7725302428955336,0,Float64,0.27108829469108214,3.044157458332264,1.9991479711684628,2.7873385481289876,2.2138729582683156,2.677823400813298,2.3114957408091565,0.0063451331436565105,274.72942791579953,1.0360846834316577,0.07923151868729125
