parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.2024702507935223,1.5393706562949807,2.199576138648986,3.0166654575566922,0,Float64,0.19003275925533622,2.583123685510691,1.8460351115340095,2.4004573790071033,2.007691897507677,2.328043351134191,2.0692503601239385,0.0031000027196549,760.0549037282243,1.007405067961032,0.1605257479966301
B,1963,2.232198055836159,1.5973054419450878,2.2295413617144573,3.0365925145921406,0,Float64,0.17986500716561754,2.5937375941011935,1.8845814353323722,2.418680081808853,2.0466140106746247,2.3551033311133143,2.10972036982633,0.003068275444537001,701.3210828455666,1.0085548128458894,0.14812099870333428
B,1968,2.2835185057443175,1.7099020976573835,2.281126359027149,3.0159632815305315,0,Float64,0.17086166931295724,2.635868346542955,1.9569268754434757,2.45792549727494,2.103113459922417,2.3984756711561683,2.1657960149103666,0.00292162282767106,634.5171696312701,1.0105855947620628,0.1340118230566478
B,1973,2.3134960773626108,1.7735274664664373,2.3109590699000204,3.000649112173113,0,Float64,0.16565652133649547,2.6496446857847866,2.0031216488451755,2.481180647470459,2.138238503703321,2.4253294473639286,2.195729233848689,0.002792957386051708,642.7694910045109,1.0113692232606142,0.13575473669966237
B,1978,2.3183869455544692,1.7601323219023275,2.3142760302118646,2.9126345051983358,0,Float64,0.16394897473476225,2.6552408500271456,2.01670923997612,2.484283007537195,2.1479958723649775,2.4261099952396363,2.205269710022722,0.002743837440251258,635.5557728874068,1.0112560814667608,0.1342311790054684
B,1983,2.3553417742549683,1.8193052388415423,2.351572146566764,3.0136886608210145,0,Float64,0.1648369694689718,2.701518702400427,2.0424588215983763,2.5236629231569725,2.186256408953903,2.4600562174629004,2.2420705725437395,0.002684662554828426,655.2362930378277,1.0107636156352737,0.13838776059268326
B,1988,2.3973317677914094,1.8873361820773538,2.389342877473629,3.1446504301936926,0,Float64,0.1691551495799886,2.7524118459164426,2.093423518730998,2.570444425328779,2.219791554991383,2.5030223942319116,2.282406421204853,0.0026332631864951174,668.3854311962345,1.010692783207877,0.14116489580756772
B,1993,2.3791097018606697,1.8560265468562955,2.375865038908314,3.001379422498901,0,Float64,0.16902887409891953,2.727220963566114,2.067661117628571,2.549114086478548,2.2030688805705756,2.4871803027585466,2.2629423684761267,0.0027316769258815777,649.5462904048791,1.0098966979227098,0.13718601592361196
B,1998,2.396999307528827,1.877732194590675,2.3913414591237276,3.0613522842861496,0,Float64,0.17182775758748706,2.7503671763818147,2.0789641611258283,2.572589174176339,2.217538526075339,2.511917633372869,2.2788897584924106,0.0026841869463605675,643.6445501328687,1.0107037069093403,0.13593955166557062
B,2003,2.427940090100431,1.850825705504707,2.4204781903711465,3.1161085872406717,0,Float64,0.17701966242744394,2.793485464833781,2.1047318921279268,2.613711625644105,2.2472464928544302,2.5433643711874847,2.3034962218838366,0.0025600839471949803,701.1085083562134,1.010021931277965,0.14807610236921284
B,2008,2.4700209759395255,1.9178477897780755,2.458348640260721,3.2481526241650553,0,Float64,0.18946978102256903,2.8780632106907,2.134526167022806,2.6689780628987214,2.2782950366688124,2.595029782287038,2.337882067796971,0.002494435158397207,762.2628653228219,1.0071282581292553,0.16099207573793148
B,2013,2.5191085082344418,1.91079721297794,2.502468972369045,3.433214716950781,0,Float64,0.21092895420572014,2.9596230618233186,2.1532180022248495,2.7404365468893253,2.3048110171273746,2.653212249841663,2.376703607042309,0.002521213686262075,865.3511724642315,1.0058155978264227,0.1827646181324456
B,2018,2.5565985504091286,1.8090664753885233,2.5366728580187337,3.628991685734832,0,Float64,0.2352038942445642,3.0646086440891427,2.146141829661312,2.7970907344475475,2.3189259128307347,2.7007615075034406,2.390747499804729,0.00257452859708431,1005.3005144176782,1.0041714560714012,0.21232231546261937
b,1958,1.8132654886532646,1.3744672757013525,1.8047398334212315,2.4007723238630123,0,Float64,0.1297127318686614,2.0810942404246333,1.5763436709555987,1.9494465870758646,1.683410562946674,1.8978947458043154,1.7251356680760845,0.0024990186200790263,825.4019235277018,1.00896029131445,0.17432722362846503
b,1963,1.8206022799179642,1.423972560968018,1.814863119227161,2.3940946172945576,0,Float64,0.12173254618693433,2.0697003342904514,1.5929344802423548,1.9446472276875784,1.6971739272079562,1.8976961488570154,1.7371655765643639,0.0023998143445512865,756.0365763642545,1.0074680384868653,0.15967706587822986
b,1968,1.8509143691322512,1.4671983654857257,1.845380955941514,2.3763924499986127,0,Float64,0.1179914181207784,2.1030976567160007,1.639347888503898,1.9751882346128493,1.726841707073973,1.926106541754547,1.76862315847745,0.0024183252206756247,647.8508686636874,1.0105096972423913,0.13682793805076415
b,1973,1.849872522451135,1.4819632218549368,1.841954341948355,2.3837016441511256,0,Float64,0.11371411012169338,2.0862369931949014,1.6420857989424407,1.9671362759944437,1.7346905262200611,1.922279899515308,1.7693821697119025,0.002397935337009013,640.4521228561086,1.0119775270265303,0.13526530198437917
b,1978,1.8170116356873363,1.4924911331722766,1.81256309688394,2.2258571735918307,0,Float64,0.10922465478532299,2.04075900304204,1.6103320461288229,1.9305356354350938,1.7057872261778657,1.889157692517952,1.7410747827503372,0.0022721810985267127,681.9015079459964,1.013037294719508,0.14401952949204588
b,1983,1.838690729600134,1.4886180867083987,1.8345927161662114,2.265712185261106,0,Float64,0.11028292246536774,2.0635063320591227,1.627162360657329,1.9536244583001703,1.7269031161537944,1.910181845300544,1.7650911546931076,0.0023072183305678636,685.952385742725,1.011559309162839,0.14487508635402135
b,1988,1.8890078901541845,1.515886869572291,1.8863345667277087,2.3302350858624186,0,Float64,0.1127464862407726,2.1092382393200206,1.6740919340159042,2.006801222979046,1.771337209998142,1.9632193422427386,1.8090718502700551,0.0022722456075528604,667.8053866432872,1.0110134057447664,0.1410423887554107
b,1993,1.8794838593433028,1.5360852392128213,1.8776119683221708,2.316497147629692,0,Float64,0.11522922600705973,2.109480526115905,1.662745716649437,2.002082940800546,1.7608013985876507,1.9557649902826748,1.799880869729923,0.002339249492083653,671.1888156822197,1.0100506699683565,0.1417569785496532
b,1998,1.9123046107050148,1.5457058990123465,1.9097523310907447,2.3584812424287973,0,Float64,0.11822704608145264,2.153539981647191,1.6899005549632098,2.0356963861493598,1.7895479217800276,1.992084137241882,1.8299636450599714,0.0022127014784400828,685.6108003308059,1.0092403152950342,0.1448029425477199
b,2003,1.9743725943792834,1.5749548248224718,1.9710172301788695,2.416066424657685,0,Float64,0.125090176615423,2.2256931024745477,1.7389619954133222,2.1066104213313768,1.8444463911017952,2.058949545517797,1.8869505546890317,0.0022075463684279218,720.0483998991316,1.0094543736318677,0.1520762610972054
b,2008,2.091351535050388,1.6653240033865788,2.0905728962382555,2.5929770045739007,0,Float64,0.13381622562512505,2.3567727367816453,1.833451645365059,2.2306158606247415,1.95187598361787,2.1811437619565264,1.9973191836377857,0.0020014256782507444,800.806212845006,1.006241838476361,0.16913253988196
b,2013,2.1921410463112996,1.6917564742081375,2.1931431440970823,2.8226297132912057,0,Float64,0.1568193731819128,2.5036323979939983,1.9010848268003935,2.3531811260938706,2.0278800719386987,2.2940761674244454,2.081309778252469,0.0020286760441339266,911.5408942091474,1.0043469213184308,0.1925200181653755
b,2018,2.268169362940902,1.7451336211408697,2.269154204622617,3.010144510526397,0,Float64,0.1783877500755391,2.6259236426239356,1.9314869327318234,2.4511691151959907,2.0797506005208355,2.3849979646652657,2.147219634485783,0.0020867961477647186,1020.9954389535051,1.0029687500121756,0.21563712796959209
C,1958,107.04308928954464,105.4169607091629,107.03936924949487,108.93589710390727,0,Float64,0.49021836670522845,108.01462427868394,106.04732074565929,107.54945473615135,106.54561369303248,107.36987541640025,106.71843480776869,6.855894823992243e-5,5181.488366592963,1.0003041089627154,1.0943450160024084
