parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.300528679295831,1.7595388595897152,2.2951344634728423,3.0630072718372854,0,Float64,0.18450939471068778,2.679053527079247,1.961886774797956,2.4936392946211305,2.1147772672243716,2.419045682445153,2.1740546346776224,0.0022650224516461274,1218.0377019267594,1.0010704259750003,0.2706553772485331
B,1953,2.309635137034733,1.7941614248795503,2.302977636915423,3.0378790807343945,0,Float64,0.17613093241863698,2.670162949359648,1.99233947989744,2.489881698649748,2.1252173977240014,2.4245345669941756,2.185926608243479,0.0020673108891512766,1114.2703460283878,1.00151632332081,0.24759764035555368
B,1958,2.3168172060692123,1.786105564058028,2.3104915329480855,3.0391727190009115,0,Float64,0.17144402795901964,2.6775827405285635,2.003878849166205,2.490517053068227,2.1386888523298504,2.426496457177924,2.1980311061649744,0.0021422414599144555,1030.7983680598647,1.0014443328317737,0.22904965973802896
B,1963,2.3231100917024086,1.8090880647133039,2.316190421427418,3.030754646281912,0,Float64,0.1669976100125252,2.664370204277459,2.01688372860526,2.49424834687505,2.1481833971513127,2.4329932493933795,2.2064052857088594,0.002161554769903464,987.1484884315523,1.0020399348435405,0.2193503913007993
B,1968,2.325221118883639,1.7997674012268476,2.3192972230792233,3.0582055780069948,0,Float64,0.1667443024629926,2.674158469338514,2.0178188011262437,2.4927440473487223,2.151009723631197,2.4318028514423737,2.2064949265799934,0.0022696881200774937,955.4140210449768,1.0014798170565946,0.2122987998527611
B,1973,2.3202951432657164,1.8114892950412065,2.3126307174530782,3.0441082822997183,0,Float64,0.16645927077144657,2.6545297075991807,2.002863042966555,2.4953664802636686,2.1507976723672306,2.429229734506559,2.202783896789034,0.0025352347744988404,829.6106150578458,1.0027905054344737,0.18434451875560282
B,1978,2.32689123235549,1.8350984135388242,2.318111299481914,3.103665787083002,0,Float64,0.17142594574552805,2.679597469741064,2.012089982421624,2.508407192612653,2.15296548647784,2.442097270218124,2.20397210865029,0.002646249690414955,806.6459258608571,1.002002918714291,0.17924162529986312
B,1983,2.3274253643056975,1.837723392273374,2.317729888980471,3.1559151044326317,0,Float64,0.1741323620263555,2.689039432949036,2.01431969287383,2.5100739365918576,2.1485934423104953,2.4441172133570035,2.204539714719618,0.00282418959794222,788.9539033636652,1.000910281437961,0.175310350417573
B,1988,2.3334400146553853,1.8055136018991054,2.3275514761841185,3.108558071277005,0,Float64,0.1790915404765912,2.703573868125029,2.0167539255283358,2.5174111400731447,2.14575832125354,2.4531003510656277,2.204009404439661,0.002933859730496836,770.393046153811,1.0012277263673193,0.17118601518374355
B,1993,2.3522882026758505,1.808853503412592,2.344856768718164,3.1152935387174843,0,Float64,0.18673241588917502,2.747987916284925,2.021784625418386,2.5454917769908683,2.1578777846481696,2.4769286055441,2.2155464191689367,0.0028954490239902105,802.0876042965104,1.0011268686730097,0.17822873855533397
B,1998,2.364030114085018,1.7593158344231248,2.353309183967545,3.1974312368237374,0,Float64,0.19543066932748845,2.7670069238341144,2.0173795098122933,2.568111434804765,2.1626511200393903,2.491627297773137,2.223271061185584,0.003024108543455557,846.9042080797695,1.0019743090376576,0.18818726018793067
