parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,1.4390031441412425,0.9564392368772974,1.438876130669629,2.0028325816301895,0,Float64,0.13864353261978954,1.7099108944718817,1.1749508855639113,1.583353841627042,1.2906321087688222,1.5317644616345125,1.342674158048344,0.002768964953838508,1334.1049841713789,1.0021675789054134,0.2803894340953579
B,1963,1.4838013993735137,1.070123505014669,1.4813855830758387,1.9792096720574834,0,Float64,0.12190656584125997,1.7236728186631334,1.2544321126931952,1.611984123272841,1.3576694279324482,1.567556177580785,1.3973414654243614,0.002410877681247476,1287.9091421399896,1.0017758678275581,0.2706804335606025
B,1968,1.53371126416859,1.1449930882063655,1.531090180793862,2.0544584307869256,0,Float64,0.10964955580029377,1.7465313338713777,1.322834048816996,1.6479361573237745,1.4207680858407141,1.6097640870022625,1.4589387003624164,0.001865915774794504,1426.654552033876,1.0008435692421225,0.2998406176728281
B,1973,1.5655609747927308,1.1986052084443999,1.565141937518745,2.0453022350955417,0,Float64,0.1037170274524758,1.769070383502255,1.371718087621648,1.6744161943673268,1.457994887935933,1.6355085976673012,1.4944190555762544,0.00174223158724058,1381.9129795493716,1.0014251004717454,0.2904372616114171
B,1978,1.5927258223025798,1.2302891243899126,1.590952925050987,2.06388638062844,0,Float64,0.10328631372008977,1.7992103167443874,1.3929819065636448,1.7007743072733124,1.4891906981238088,1.6588881452759854,1.5211004535340125,0.0017255641140089847,1540.6785354161755,1.0002509506910828,0.32380508865013946
B,1983,1.622720506968741,1.216446039889827,1.6214689131317483,2.0512692790301075,0,Float64,0.10401316629333086,1.8359844811145096,1.4229061199045605,1.727716289129341,1.5172058017532408,1.6888875939766446,1.5531604101185938,0.0016917922637533643,1516.9487802561955,0.999898751020017,0.3188177955214351
B,1988,1.657790636774111,1.2594192937596174,1.6576127273241923,2.0364157826412863,0,Float64,0.1046852233868769,1.8679887974056568,1.4588888686335975,1.763784633459743,1.5498394492115666,1.7259783087322065,1.586511449265235,0.001618808205699541,1581.515726236489,0.9995333353563237,0.33238785909175034
B,1993,1.7206827532635793,1.2616313609169767,1.717894583631987,2.2015857135410406,0,Float64,0.10651059836710572,1.9398448518782074,1.5257231413990822,1.8291411805337188,1.6102519664889843,1.7874587304018081,1.6472158018254452,0.0014527608484388175,1621.8017031225513,0.999736957429715,0.34085478065720537
B,1998,1.8111080233137746,1.4288584211157629,1.8049271510961344,2.2767543398930083,0,Float64,0.11926549173768956,2.066974852250112,1.600246141493189,1.9348093474750139,1.6876685212169793,1.8867026109555904,1.7280116487819899,0.00165955590457591,1413.2748703885334,0.999695640563896,0.2970286040686336
B,2003,1.878778071745804,1.4460602766427948,1.8723222631740655,2.387192409055036,0,Float64,0.1321357659350461,2.1494933440727295,1.6371732429165713,2.016566458596329,1.743194792980248,1.9670248927765612,1.7856403231822786,0.001986614298704181,1347.518769982481,1.0013703941362087,0.28320861538714154
B,2008,1.9306277125590325,1.4727202451339398,1.9263690747809437,2.5036387867557877,0,Float64,0.14259229320419384,2.2193985085300754,1.6709928253390025,2.0811369591285502,1.7809100011889534,2.0296161962334933,1.8288469390250348,0.0019375348032155376,1386.1085829369076,1.0012024686256469,0.29131905342951037
B,2013,1.9733579844847535,1.544426451526755,1.9665978897224945,2.5784145218502874,0,Float64,0.1596864301181613,2.3109397617448404,1.6931071530178483,2.1391500702912065,1.8051950603399294,2.079790644027109,1.8610558670086887,0.0022199226339416605,1250.8866114720238,1.0028246992397045,0.2628993919289977
B,2018,1.9944679123959408,1.5403357578857964,1.986621548369039,2.7064292721061283,0,Float64,0.17241203690157705,2.351978398181835,1.6847852271499288,2.1747183695847614,1.815093053111859,2.1072146117791526,1.8708756906429431,0.0023921784668601833,1213.4174801189458,1.0036223528744361,0.2550244880340396
b,1958,2.0997863974591904,1.6214780240897755,2.090336662319136,2.7225110765478497,0,Float64,0.14530472026942326,2.398208782382038,1.8394169706936294,2.2534121107177527,1.950442901874366,2.194739583710466,1.9970400024854937,0.0018891934636244842,1302.0066037769925,1.0014971795032377,0.273643303302848
b,1963,2.1873632604533015,1.7586867231448677,2.1825140964429997,2.701441302868812,0,Float64,0.13114092354002796,2.451542713299969,1.9467341512820162,2.3250045735009444,2.0489229804269025,2.2775387110320446,2.094251960997009,0.0016826790095047978,1383.1919037447192,1.0017491202423456,0.2907060536747397
b,1968,2.291780326338143,1.8440196434321698,2.288972188513741,2.8199497936183047,0,Float64,0.12440669044023048,2.5492306201808437,2.064581546177345,2.420497615838612,2.161571332370171,2.3701285902966682,2.2055709978447924,0.001421148743793113,1436.722943459045,1.0006868372364737,0.3019566959481125
b,1973,2.380716810361881,1.9756118792021342,2.376229579112502,2.893141354410035,0,Float64,0.12262284301748383,2.6379856170547056,2.1569052410773697,2.5025073068976478,2.255596192714248,2.459071064772073,2.2983571618345082,0.0012872441625701142,1468.030909487197,1.0008046917543614,0.30853670500396846
b,1978,2.450293000319906,2.016427244718995,2.4483124887664114,2.986025663068912,0,Float64,0.12613804081209476,2.7129472908206327,2.217088109586887,2.577147896917061,2.321198760810885,2.533017270719009,2.3648153178939437,0.0012550328737684442,1462.994536950313,1.0000623580745136,0.30747820836220124
b,1983,2.481127270775486,2.0710289631502365,2.475992751463103,3.0019834319307295,0,Float64,0.12719310092712,2.739868796448329,2.2458650317375057,2.6131226856487437,2.351045384035205,2.562761459853699,2.394502000740132,0.001259154435345354,1593.6284191796353,0.9994185756968634,0.3349335891204925
b,1988,2.4874798178704753,2.0459883301893327,2.480941621586567,3.2060619315524206,0,Float64,0.1258193897977251,2.745903454096206,2.2552637538855294,2.61743906939006,2.360517346782787,2.564927315664474,2.402672636231173,0.0011689605060628855,1643.1749138324465,0.9993574207292943,0.34534679779742355
b,1993,2.5408168995406166,2.075506570535079,2.5390047829914812,3.2843192532874133,0,Float64,0.12943218961258315,2.802037344857374,2.29054583359565,2.674402569222656,2.407430509211019,2.62485533936528,2.455587783032384,0.0012384335666677125,1561.3714157556403,0.9993048249567822,0.3281541204557505
b,1998,2.626766023310214,2.1866801380447307,2.622716066974582,3.219000246350127,0,Float64,0.14251003903884846,2.9097021015030187,2.3604476831599803,2.7751164412889002,2.4782428615897087,2.7226032393327864,2.53026863240682,0.0013788167606299108,1440.737915925655,0.9999963874441979,0.30280052448572975
b,2003,2.690795703268648,2.187838269606981,2.6858724520548947,3.375037302594255,0,Float64,0.1565659673139927,3.0087754066458485,2.3929406754669587,2.85299890638216,2.5272887416321925,2.7929588382182398,2.582270275272918,0.0015988209358024405,1282.1663272194394,1.0012134949393625,0.26947346361086677
b,2008,2.7395135820816994,2.1917269736784273,2.731609880395137,3.5995346912485786,0,Float64,0.17058089805779547,3.083551226200487,2.4229803304826874,2.921234632596094,2.5591311336927522,2.8517121629867397,2.6213816781747004,0.0016266119310645202,1304.2874647613644,1.0015344127478867,0.27412267286389896
