parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,1.684434341962487,1.0989629926881832,1.6767071677087713,2.441330833897366,0,Float64,0.18994100685595364,2.0600478372468545,1.3363847780297267,1.8839258515720025,1.4845098637772547,1.8144073050493121,1.5518102448976885,0.005084216996462379,832.6909114361282,1.0044439049509841,0.020198345489208763
B,1953,1.7226516453402874,1.1921354027987505,1.7149640151818357,2.3861554422216007,0,Float64,0.17337653191556002,2.0706719899989885,1.402220708347062,1.9028339751261272,1.5391587619889726,1.8424435375566077,1.6025174642446043,0.004622783684539715,790.1982445705155,1.0053562480475937,0.01916761301174094
B,1958,1.7566125009165972,1.266312153750052,1.7507705566086988,2.3585253968647906,0,Float64,0.16026970033183907,2.0801900259672474,1.4583288447678755,1.9209008021883998,1.5889961375621144,1.8664848890865375,1.6459548961120423,0.004152305872120569,770.5083627156336,1.00660493722739,0.01869000117416162
B,1963,1.788972671457945,1.357750821128601,1.7848729922189817,2.354798198964834,0,Float64,0.1465153537490292,2.0888256028514522,1.5152962904584166,1.9388230849081383,1.6360572858184996,1.8860224088532533,1.6864420010019934,0.0036013273458560943,753.5830063229159,1.006778297808125,0.01827944764072808
B,1968,1.8167353801113955,1.392278388916766,1.81383893504741,2.38462991511298,0,Float64,0.1366971140333104,2.098314625019666,1.5668189944364945,1.9514359705004347,1.6730044672380033,1.9074747838770372,1.7216167917347938,0.0033853148474687128,710.6232412312416,1.008654303382017,0.017237384895068528
B,1973,1.8419645034189662,1.4110803502407858,1.839070545748676,2.3882687753394647,0,Float64,0.12990077018358057,2.1067700558360656,1.6033849066840655,1.9703192702002552,1.7027003635704336,1.9300632961705462,1.7491667058091442,0.003149969541878702,668.1079517400802,1.0104726599955458,0.016206103667037404
B,1978,1.8751962548395282,1.444554567223935,1.874763526625852,2.4012869144311195,0,Float64,0.126675981994179,2.1353060318914188,1.6338553640487932,2.000117002698509,1.7399538463859974,1.9580942981640759,1.786043583486859,0.002888337467268077,662.6641412619338,1.012043670098722,0.016074054711890603
B,1983,1.9073590052594571,1.4523367902200972,1.905649155182476,2.466929299956695,0,Float64,0.12727770707416367,2.1651664228592633,1.664328656303135,2.03798615526108,1.7743727186904448,1.9878713369058736,1.81940949662957,0.002743597731468915,683.5282258772054,1.0120110519165275,0.01658014885028888
B,1988,1.9371936844060698,1.5229287182629418,1.9327392880767378,2.4737374901833333,0,Float64,0.13188675270417832,2.2115837158413503,1.6875706091240466,2.0720997863843484,1.79771489828237,2.022700161859712,1.8488823205511589,0.002790132433313363,642.5347799574962,1.0110077780709088,0.015585782546888924
B,1993,1.9649895051755852,1.5094555057755363,1.964983982010247,2.5011602541725746,0,Float64,0.1402404254223525,2.255933946033795,1.7018996820222938,2.107014492142643,1.8176528554705844,2.0507078343737435,1.8694220447159273,0.002867849492354165,649.6272390427731,1.0100026363695778,0.015757822300181572
