parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,1.570687137991511,1.0167092822545658,1.5626854564586128,2.1756880334196125,0,Float64,0.16436950763381236,1.8988551516124625,1.2580589496432473,1.7437258781870544,1.4044124395935276,1.6813569310157024,1.4588249607857324,0.003579115545300897,790.1833459116107,1.003191474230565,0.0943039146630176
B,1953,1.6292873002888981,1.1001488886557345,1.6240897502813105,2.257133801798056,0,Float64,0.15184682013179032,1.9313804848721734,1.3402585732097405,1.7854882208122744,1.4752579081305446,1.7292734903058404,1.5269120993420375,0.0032398879725855675,790.8096949765597,1.003539434432074,0.09437866588256155
B,1958,1.6947257971046894,1.1670556058485695,1.6934189920690494,2.273607889167671,0,Float64,0.14296373481102267,1.9907092152865045,1.422493297914031,1.8418715916908086,1.5495091017605955,1.7878985783555823,1.598753372110227,0.0028932517753687647,776.6910460093163,1.0035797124685217,0.09269368495471375
B,1963,1.7355723984281057,1.238228945199656,1.7342109636855367,2.2322881378574047,0,Float64,0.13258836649411845,2.0039440671473145,1.4784028816898496,1.870402152658684,1.601312126249166,1.822883605053556,1.6457970311904688,0.0025938707289952846,792.4163722264417,1.0035370642189911,0.09457041372823284
B,1968,1.7632552439132283,1.3169473224720767,1.762485775926812,2.2025690100648183,0,Float64,0.12244736408766288,2.005429303423533,1.5267608899156582,1.8885116058538833,1.6360316978015375,1.8460074941714508,1.6794211407377946,0.0023681581977643947,796.6438823963415,1.0040500076746885,0.0950749431648022
B,1973,1.7926809650226174,1.4384376204312286,1.7908855123835854,2.219966616077814,0,Float64,0.11614283161319576,2.0259625373687986,1.573466810322739,1.9143119751619406,1.670515509572999,1.8698275881732713,1.713971969492645,0.0022228609041033648,778.6675056940524,1.0038220129108357,0.09292956424324673
B,1978,1.8267833731470633,1.4568353945010175,1.8239918603585021,2.2768467992881036,0,Float64,0.11058654152651091,2.0498572239265256,1.6179095880512941,1.9429390286692796,1.7140874495773464,1.898669880644783,1.7510456214154004,0.0019909279454948074,825.6187091316715,1.004263968792405,0.09853292491291402
B,1983,1.8637435729793848,1.531781012575897,1.8598843272392611,2.4061243833273696,0,Float64,0.1093024245851813,2.094033868656353,1.657743823473604,1.9757407382053416,1.7526584963624283,1.9339015469519505,1.7897844114481551,0.001842847134608533,873.0002857329849,1.0034775438331325,0.10418764818635201
B,1988,1.9076963522673582,1.5873850474333435,1.902905552436485,2.401927257763057,0,Float64,0.11262430767007539,2.1465792315403522,1.6942048492999031,2.0216321341411065,1.793048025430821,1.977805172994008,1.8340121294521143,0.0018701784677848036,860.2300757023028,1.0030313637709787,0.10266359582155189
B,1993,1.9581856134872901,1.6214400444751766,1.954267999464324,2.438077209620212,0,Float64,0.1194297293676135,2.2100320169647243,1.7308568655417138,2.0787553326438997,1.8348238264761452,2.033244643842424,1.877884113657975,0.0016971743486657563,881.8513992134824,1.0014243122551794,0.10524397853633498
B,1998,2.030488576848172,1.65620720413475,2.023730888874427,2.651091979784246,0,Float64,0.13317993758240126,2.3079467092934394,1.784324952911758,2.168689610932058,1.894772611616017,2.1143933736378915,1.9397886256434667,0.0018480686285425904,827.3006549460365,1.001431936273218,0.09873365563619028
B,2003,2.0920391050517484,1.6613282416291653,2.0852648331811547,2.7259015317673025,0,Float64,0.14979006645280515,2.4087185946541263,1.816797818884031,2.2457162934162858,1.9371951391336717,2.1867169987695303,1.9876373912987289,0.0019547084436335378,803.3392032293033,1.001372418357937,0.0958739918510849
B,2008,2.1500372493838715,1.6420615470074849,2.138478173284924,2.874341408088422,0,Float64,0.1697050635152985,2.4992159158601894,1.8408659652295152,2.3231557994203107,1.976988533467852,2.2572699982931606,2.034171286148558,0.0022208769703021746,765.0108437650118,1.0009546919801828,0.09129971885634841
B,2013,2.1911665817354007,1.6297008981510666,2.181768261472541,2.9844089353376653,0,Float64,0.1916225240870835,2.593863406220914,1.844096894204498,2.3869264303586317,1.9916102809027316,2.311871287332461,2.0590507651613628,0.0024678722930532838,788.9144596893456,1.0007471864037025,0.09415248026663264
B,2018,2.2176459845264604,1.6199344464580188,2.2082246273577004,3.1440210283256524,0,Float64,0.21492349306121844,2.6754204992090944,1.834153761553249,2.435816506904837,1.9968820216001144,2.35439073711639,2.0656037206895057,0.0027693882170738344,826.0343557578152,1.0005031642839104,0.09858252998769144
