parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1923,2.8532000293332067,2.1815823902528955,2.8468118075049444,3.5728601083899,0,Float64,0.2274677968416563,3.272125499519773,2.411917862883358,3.1139020576788026,2.6131397532985106,3.014637491609886,2.69320275093893,0.005316906004410356,229.80567163147032,1.010793567607812,0.006906644031530135
B,1928,2.7865626760766853,2.059053425797123,2.779746958414342,3.420506720224884,0,Float64,0.20687624145543437,3.1654118024333697,2.398008899909121,3.0206943825108805,2.5716478612781914,2.9288903577869445,2.638491985991125,0.005207306602216468,196.01231771682654,1.011929772462469,0.00589100910632145
B,1933,2.7241375344275323,2.0858833936150294,2.720312433766752,3.3403589008364625,0,Float64,0.1885435385080725,3.06394574641452,2.3689739832405716,2.933715964348242,2.526218551189862,2.8509614137882444,2.592883374333262,0.0050374883442166705,172.15894617044958,1.0131010868990311,0.005174113195732905
B,1938,2.6644393317308297,2.1040972879796116,2.658183698346273,3.279949602111689,0,Float64,0.17123207626703765,2.981824738374161,2.3459796577030554,2.849634860019422,2.486215835468622,2.7752959690479195,2.5466664080318338,0.0047144603977179005,162.9237175513332,1.012390717808094,0.004896555047715022
B,1943,2.612732267718894,2.0973136581101586,2.608012390791301,3.1074935724705166,0,Float64,0.1589126920962849,2.9100922944656773,2.3162492622621267,2.7856289762079482,2.44878987182044,2.7167124823985573,2.501165230995922,0.004536449805840417,152.42110763474568,1.0130878463529231,0.004580906667146704
B,1948,2.5698968275421388,2.0097961345618423,2.5685174227251166,3.004087139842237,0,Float64,0.14838970682224706,2.8471172355830467,2.2985524871300282,2.7351965913935277,2.4123914618630176,2.6712041742721455,2.4612914561024954,0.00420877821318795,160.81377747610915,1.0104785351452255,0.004833142317628874
B,1953,2.520673277153049,2.000303333769172,2.513832535005675,3.004729536603083,0,Float64,0.13999402733864943,2.7753345799380753,2.2622823177362474,2.6813328850123517,2.373430972034079,2.6215940695310382,2.419491698186263,0.003878927688320682,172.88608785803117,1.010177576504794,0.005195966915708388
B,1958,2.4628660552078325,2.001766859676992,2.457441453878757,2.9632497604021997,0,Float64,0.13371891117536977,2.705515006306528,2.214021307704232,2.615723416466283,2.320126706933085,2.555659690052968,2.370065810396531,0.0037273486387705023,177.6088644606381,1.00853240670434,0.00533790656673212
B,1963,2.3991242887635846,2.0189387162575576,2.395883862528933,2.810566190257315,0,Float64,0.12854130141350636,2.62944082857269,2.1564141531572902,2.5442681958550843,2.2643607242017114,2.4876290208019975,2.3085857508547556,0.0038041759677890233,164.6166499285526,1.0076867755584855,0.004947434911627421
B,1968,2.3414769206062234,1.9074118615205493,2.335973982680569,2.7494633714626397,0,Float64,0.12566804569511922,2.5760519495459144,2.1023524912868914,2.479363420936306,2.213014637046455,2.423509661413849,2.2546704934061417,0.003977037432492993,143.79292599269888,1.011102350029997,0.004321592879032
B,1973,2.2852288160218603,1.8222247173935568,2.2816531423154434,2.672341146261845,0,Float64,0.12160765786549643,2.4987182680866784,2.062155884065255,2.418437544525647,2.157055153271421,2.3695920330738307,2.1986004586868093,0.0037603656071057007,162.38229922481432,1.0111279085331826,0.004880283109660294
