parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1983,1.2471585019748905,0.8504840233432401,1.237783087660544,1.7971501169610937,0,Float64,0.13732741452262867,1.5455324515196578,1.0115709990670536,1.3876082095069389,1.1068130623006855,1.332912092806973,1.1488710363749886,0.0034609392184446345,1066.230673349034,1.0016328683843316,0.3087299476370139
B,1988,1.3194226213751294,0.9620085834512139,1.3101669689257647,1.811805377182926,0,Float64,0.1237910203740549,1.5839108406742528,1.103361603014928,1.4486413276646601,1.1932121377738703,1.4001166741464472,1.231138838974905,0.003131047604584963,1003.3279605625852,1.0016041631499357,0.29051629864885603
B,1993,1.4047208271243785,1.0299854556991632,1.3988051833897939,1.8586516689518662,0,Float64,0.11565225265799134,1.647875109267694,1.1984492985109532,1.5239687827994641,1.286836212699401,1.478643270727884,1.3226005444374467,0.002864576506082081,883.8499000420542,1.000498256837469,0.25592110617290237
B,1998,1.4886243533406924,1.1181031994404709,1.482660823173653,1.886264611155836,0,Float64,0.11487785516517142,1.7264060295377328,1.270701653575104,1.6064117411797905,1.3718394861367682,1.5618020302032785,1.408285303075266,0.002848662114568359,762.6527997811731,1.0001158496705755,0.2208281611352472
B,2003,1.5819314544052094,1.1907043742283407,1.5774829768953564,2.0465430963576203,0,Float64,0.1255911279542561,1.8350065771987507,1.3463862715536923,1.7125154802812326,1.4516642666124184,1.6663565505054445,1.4926019066441307,0.0029311703781371434,750.7327430634073,0.9997188374808975,0.2173766767817283
B,2008,1.6683623733208561,1.2286113467621518,1.665097152626191,2.288408545906151,0,Float64,0.14628853407914133,1.9728902369339252,1.3984397927269492,1.8227084592598044,1.5159576178370482,1.7636853922469355,1.5674774379743606,0.0032176709862796918,817.9103949295294,0.999351637079877,0.23682814583191217
B,2013,1.74922480673746,1.2277204526246848,1.741621889479486,2.5353878057712413,0,Float64,0.17743075115913765,2.120723154929217,1.4244340582814456,1.9312886705953871,1.5655123021772275,1.8631821647104099,1.6237613412449723,0.0036546398332506736,880.9740679180786,0.9994168612691925,0.25508840127776083
B,2018,1.8266113535047113,1.1598321497894932,1.8226101936522812,2.7967048414375824,0,Float64,0.21781661686085105,2.2932251494963376,1.4351091820194812,2.0419166343742647,1.6018748406268395,1.9647752870302233,1.6712504492159876,0.004055697544194407,1002.1290222180738,0.9994946772787706,0.29016914283954287
b,1983,3.579878030331498,2.54694875123986,3.5722300245942153,4.932108502865243,0,Float64,0.3282581969307465,4.2405691661942155,2.980146942135939,3.9183462126846322,3.234086445381955,3.799127964545327,3.345144520250922,0.0029728636041334014,1011.2165111273105,1.001993850062074,0.2928004495963521
b,1988,3.535916409934645,2.672973717345402,3.5263564846240203,4.645060780151686,0,Float64,0.2767223543830196,4.091868517907769,3.0365736764751556,3.8262554822229045,3.2455959600224666,3.718672346057168,3.339364855974177,0.0026919912591557974,889.7870012867554,1.0014822717900072,0.2576402097423344
b,1993,3.512922941679027,2.7387063338954016,3.511477509750701,4.497810705002686,0,Float64,0.24339184050647505,4.025198372403653,3.070614136291993,3.7634462736942784,3.2538030423907904,3.6698269343525265,3.342272568461201,0.002486285867826275,858.1610188901002,1.001095566396445,0.24848282182118217
b,1998,3.454721661017985,2.7832082559110023,3.445667413575274,4.351812238134872,0,Float64,0.22879824296632842,3.938961422122029,3.0299652243232926,3.689513254724819,3.216800351252656,3.6069568421682057,3.295010928916705,0.002461611464862033,805.0800938340824,1.000168778244876,0.2331130977805157
b,2003,3.4065204658714068,2.7276447415800673,3.3933380057854423,4.4229929739538685,0,Float64,0.2359368133331961,3.9014539483062887,2.9727953255791566,3.6504601614322647,3.1627463902252937,3.562223593380992,3.242448723269848,0.0025820602894106653,767.939033147378,0.9995776391017397,0.22235880416694623
b,2008,3.337279245458796,2.6092419771108335,3.318680360759166,4.506889145611748,0,Float64,0.2569744137473274,3.876724618717166,2.877927433600336,3.6061073795612004,3.0745268333469267,3.5101150167487205,3.1589645409757976,0.0028524880170597397,795.7655980252986,0.9993450676990797,0.23041606056784714
b,2013,3.2559306448616403,2.4174760961241986,3.2304437294733557,4.483233337666833,0,Float64,0.28896996574008227,3.8687821184781277,2.7373053893775143,3.558313551649692,2.965590976913511,3.4421198768959216,3.0552175504983863,0.003189963854373601,851.2317514035294,0.9992960859009319,0.24647643385864831
b,2018,3.1657568933617624,2.1877303016660394,3.136682377749156,4.562590724316235,0,Float64,0.33420965263429064,3.865149383825855,2.573991388255884,3.5077788263770553,2.8324747804270176,3.375345058704239,2.9323689404379696,0.0036491520555210454,973.0059888795278,0.9992938375288355,0.28173649052294886
C,1983,109.00838967644937,107.21986941597245,108.99480446591701,110.8672066356383,0,Float64,0.510125464684893,110.01924146239224,108.01339884848454,109.54385685798755,108.48910946925953,109.34914170030457,108.66948566528077,7.641803210596433e-5,3339.0166024852497,0.9993799397225568,0.9668212016509279
C,1988,109.11670933548811,107.68180858009394,109.12747236499027,110.65203200326042,0,Float64,0.44234608236508594,109.98250380667173,108.25972027992971,109.57309210154038,108.64557746435379,109.4133598931364,108.81457161700118,7.220163496013636e-5,3007.7407059997,1.0000173054813835,0.8708993784171776
C,1993,109.25919088391785,107.84535184224798,109.26098762056739,110.70573381385597,0,Float64,0.4249021799138788,110.11469671351233,108.42984286379348,109.69114885892822,108.81640617426804,109.54430352624965,108.97149701478477,6.596118264205757e-5,3204.377405275964,1.0015518079779677,0.9278360614338024
C,1998,109.52829827776452,108.0186644641954,109.51810830923395,111.17211279589318,0,Float64,0.430511065043176,110.42407348684863,108.71223010321575,109.96924886996284,109.09159392746126,109.80178722608434,109.24560650172529,7.02800175133509e-5,3159.8892263014973,1.0005493144829343,0.9149543900388948
C,2003,109.84405336835965,108.00561457170043,109.84008149820065,111.32756658224564,0,Float64,0.42797453772076094,110.70764437757128,109.03480249703917,110.27643552808794,109.40021016821674,110.12394655209616,109.55152826804945,6.436975244144466e-5,2630.479469972362,0.999709837113101,0.7616623769357282
C,2008,110.14231327836295,108.63906459520973,110.1445878812914,111.87878040970888,0,Float64,0.4321172508719681,111.00585979246921,109.31592363917706,110.57649380538427,109.69919577836201,110.4157200058215,109.84899715391873,6.526312152862882e-5,3387.5701989553,1.0003605356851424,0.9808800255719317
C,2013,110.40227660887692,108.81446490582586,110.40018714814914,111.94904260307266,0,Float64,0.43898750972216516,111.2862266837819,109.53765421709598,110.84501561511367,109.95041696688406,110.69080967308979,110.12000507347213,8.183298819828762e-5,2893.487012292117,1.0022122701195622,0.8378169153467022
C,2018,110.45435067389077,108.57487770174862,110.45462404782734,112.29546629402513,0,Float64,0.5112468345146991,111.45472696102026,109.44877740201902,110.98120349653638,109.93584053949864,110.79035383619376,110.11204762455544,9.478035064583824e-5,2635.379000023638,1.0016412654915852,0.7630810489867069
c,1983,0.09445125602221907,0.0903312974264184,0.09442581761616567,0.09883171958910629,0,Float64,0.0011243245062152467,0.09670941172362761,0.0922537625164533,0.09562531947620814,0.09329244373967435,0.09517477748033294,0.09368217581894725,0.00019266183078034085,2792.262844758076,0.9996289580813222,0.8085071864826605
c,1988,0.09472300287330719,0.09182768686013472,0.0946919211426285,0.09796913404996559,0,Float64,0.0009345964626099222,0.09660095775896788,0.09297606449469396,0.09571173627305817,0.09375409746240704,0.09532961864299756,0.09408464834001853,0.0001610471816544655,2562.9886578145242,0.9998744029232168,0.742120231484199
c,1993,0.09447698526634996,0.09099062941802846,0.09445921891959703,0.09746483817637719,0,Float64,0.0008601025526550742,0.09624181508143706,0.09275583076028121,0.09534922730899024,0.09362626094986772,0.09504225520715102,0.09390611889059482,0.00017791157402725384,2738.300181219648,1.0010330817087632,0.7928821527024524
c,1998,0.09428246308535253,0.09066326118224947,0.09427968497898186,0.09704645715437642,0,Float64,0.000835532272916702,0.0958896131872051,0.09262228231208039,0.09513103083024027,0.09342931605561913,0.09485375252403656,0.0937281895205894,0.00018232633575677244,2767.7871827972435,1.0018183429030392,0.8014201929976443
c,2003,0.09486421366007974,0.09177336554643697,0.09487631819970974,0.09851204743435399,0,Float64,0.0008331200671682523,0.09649514791141527,0.09320272224212,0.09570128574277696,0.09401969597604361,0.09541425800043134,0.09430699981806984,0.00014865985593319638,2585.694008181694,1.0000999514912432,0.7486946265050424
c,2008,0.09542364405334941,0.09239272375586413,0.09543554147068238,0.0983479289026925,0,Float64,0.0008538494455739556,0.09708969339608503,0.0937177795066812,0.0962824425628167,0.094536089731688,0.09598715992579666,0.09485542858838812,0.00016051475052309216,2528.498419479864,1.0001539259616532,0.7321334905835627
c,2013,0.09687785121190703,0.09421109796967632,0.09685901985367684,0.10019658722960026,0,Float64,0.000869448544278008,0.09856815610611518,0.09520740615872626,0.09776107802879076,0.09600240083398844,0.09746632088787112,0.09629019825574966,0.0001830544944546062,2403.628917094044,1.0017585363796428,0.6959771916731726
c,2018,0.09793707403436684,0.09412712666059586,0.09792359018255581,0.10168069054627515,0,Float64,0.0010459401192999963,0.10008259858160022,0.09586909183473774,0.09898039648825349,0.09688072317263093,0.09861573067226989,0.09726849338319629,0.0002275864740825978,2442.422481495413,1.000575653202132,0.7072099721639729
d,1983,0.0002358717173220975,0.00017274220041955482,0.00023523407902632695,0.0003177381695814821,0,Float64,1.7852799926266032e-5,0.00027194481311318175,0.0002032183056955344,0.0002540595144644247,0.0002177592938124881,0.0002473813858185406,0.0002234631655115968,0.0016331140497055701,2200.3700257238474,1.0011334693199072,0.6371230351965317
d,1988,0.00019738098997592956,0.00015349080286577896,0.00019691962089617718,0.0002464545108529994,0,Float64,1.2531809636001907e-5,0.00022280779398774485,0.0001731360472957117,0.00020989637523218937,0.00018481816266688761,0.00020567126630525982,0.0001886439470126075,0.0013068387552157318,2489.819093473017,1.0013995494274883,0.7209337881259128
d,1993,0.00016452443267927453,0.00012258087326678116,0.00016450914805769067,0.00020450972954466046,0,Float64,9.986811632817221e-6,0.00018391161200186591,0.00014350499608667882,0.00017443571920219792,0.00015479020696841338,0.00017101822511313445,0.00015820177394215666,0.001420200009849209,2125.227041931086,1.0007253878510238,0.6153651829498313
d,1998,0.00014018046702088301,0.00010594077181100313,0.00014008574948908006,0.00017889426507418528,0,Float64,8.567130940884294e-6,0.00015789362076568917,0.00012366790279666077,0.0001484870522807443,0.00013185591712337386,0.0001452834949081497,0.0001345576545768882,0.0013669293484592218,2161.6608900783226,1.0014778931658017,0.62591470127815
d,2003,0.00011725016237077849,8.705697334124167e-5,0.00011721795159489874,0.00014629549977818784,0,Float64,7.362031030708192e-6,0.00013199810035575456,0.000102603488210836,0.00012449395459904365,0.00011011335711160893,0.00012181833766733679,0.00011254238729251602,0.0014999087126883867,2056.5415845660973,1.0017863446793962,0.5954771247784117
d,2008,9.823782575161849e-5,6.391630703638334e-5,9.842395515977692e-5,0.00012697485436651977,0,Float64,6.961096159413929e-6,0.00011151829766928385,8.36513218239548e-5,0.00010501345935865706,9.148384140501912e-5,0.00010258484924677499,9.40343308786899e-5,0.0018659529286053085,1631.1085732558845,1.0005977613233188,0.47229185672351004
d,2013,8.302774783006194e-5,5.439414466532059e-5,8.296200431169e-5,0.00010801791955318641,0,Float64,6.517595236605134e-6,9.605354916386225e-5,7.009307456975127e-5,8.967609162485272e-5,7.648005735536513e-5,8.735621330662125e-5,7.869430302925325e-5,0.0020273329118476353,1506.6028967943369,1.000482607344936,0.43624090458409287
d,2018,7.190856731436545e-5,5.2792984017967856e-5,7.1630254614887e-5,0.00010589959264138362,0,Float64,6.495561346347373e-6,8.51819876217623e-5,5.973548476639491e-5,7.849579409533353e-5,6.51907948236057e-5,7.619601459875404e-5,6.749070645977042e-5,0.002185269215240633,2459.752121840429,0.9999195313052798,0.7122278159477012
σ,1983,0.0663129822083962,0.04231514894269959,0.06621989848922827,0.0928625569267798,0,Float64,0.00665274043052036,0.07948790638050302,0.05330682927249828,0.07298375794608283,0.059487757144842376,0.07055447268065897,0.06204848995645946,0.002903665201598651,1477.0405826896415,1.0022849987797184,0.42768105734493556
σ,1988,0.06741266093621173,0.04902628598360847,0.06734173533011686,0.09082654086338468,0,Float64,0.005233081030458033,0.07812390489913273,0.05763136895099101,0.07271032955081547,0.06199999070264807,0.07070669634096627,0.06393424995893233,0.0017066977578937435,2446.3070216612978,1.000122403226998,0.708334751174729
