parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1923,3.270398476883838,2.112814565739929,3.2442384124702683,4.86250713214354,0,Float64,0.3766822936212428,4.0759319291738185,2.5955990900760675,3.6599744936868404,2.889163689698316,3.511853698759826,3.0050376894387067,0.0019158378206477979,3653.3199263326474,1.0014295986818273,0.11334267151102823
B,1928,2.6199376980866567,1.847634311146591,2.6145636518397164,3.684847542843286,0,Float64,0.2133016958460874,3.060530409802433,2.2222563516533285,2.836623970170206,2.398257977890576,2.755540197759996,2.475821047406465,0.001843271164497152,1917.4050182492572,1.0014851881437488,0.05948666186352346
B,1933,2.512833523448338,1.7723688865975327,2.5084785481655802,3.4416618679926625,0,Float64,0.19939466024458524,2.9208352572034566,2.1290844113525367,2.7139675873592886,2.309785998248795,2.641451503211079,2.37779255157935,0.002182172100456323,1209.093379928523,1.00284756072768,0.03751159946316711
B,1938,2.4449460869964503,1.7524871693713777,2.4460568141913726,3.2900786975047764,0,Float64,0.19179075568232354,2.8375916716197356,2.069564853134844,2.6392038350064215,2.249555861432062,2.5695942746561955,2.3172725808065953,0.0023182345344676413,1074.0565068989165,1.0032427356773566,0.0333221388491783
B,1943,2.406976353454306,1.7757074756827715,2.408267793583967,3.1047893809134064,0,Float64,0.18029674820357264,2.7630876149202255,2.048265633898178,2.589693005395855,2.2209284752747003,2.526129690418408,2.287053923435993,0.0022516843264702158,1016.6513475389328,1.0035983154119408,0.031541168594293366
B,1948,2.383215296440509,1.7821023002047995,2.3870979988589385,3.0341071667918866,0,Float64,0.16841794650548314,2.715475874408005,2.044643887159059,2.553623876174488,2.2111590895332975,2.4928570652284647,2.2718883072485037,0.0021437881667593028,982.6631033978847,1.0037484344144554,0.030486698011755974
B,1953,2.354857188677517,1.8152999706632884,2.357523261681316,2.947527506884558,0,Float64,0.15604143852635838,2.6642226401573126,2.0400889696151063,2.5147804770308295,2.196693289740345,2.457061934861099,2.2522363693199106,0.0020371234046478405,955.5680793645256,1.0039552573961574,0.029646086603359764
B,1958,2.3185830941475767,1.8248591768320388,2.319964739641046,2.879477980593361,0,Float64,0.1449030679996606,2.605338363056538,2.026884548741598,2.464964748634174,2.172679846563681,2.413921035721028,2.221583783782475,0.0019598906246725,932.8077898408305,1.0043871772395288,0.028939958459370554
B,1963,2.275903915272953,1.8345678291857908,2.275791131554996,2.819519292160551,0,Float64,0.13422535790108112,2.543977445918277,2.0097019862304757,2.411868377127209,2.137996569505394,2.3664933898300857,2.1872168152437337,0.0018606133596933542,932.1690818726987,1.0050268984535908,0.028920142820750557
B,1968,2.236020862121025,1.812907373076394,2.23772453924561,2.7055058599999295,0,Float64,0.12614788467937385,2.491258573495287,1.984151643916639,2.3627083273162137,2.10623495698262,2.3201447561790567,2.1509491539133427,0.0017954588722150803,922.3836375664298,1.0056060681444505,0.028616553641056603
B,1973,2.201788987362,1.7884318333696614,2.201840549583695,2.669667601644915,0,Float64,0.12053638432407783,2.4433749083727387,1.9634970903171103,2.324835958693367,2.07788904032875,2.280954868308229,2.1217705340697925,0.0017515723693383902,931.9911184776181,1.005883213817092,0.02891462158334558
B,1978,2.175505675340613,1.7831051039337498,2.1726861426062767,2.6490928850093045,0,Float64,0.11721872062297523,2.411497498796388,1.9519774552287017,2.2968785976523285,2.054687270842947,2.253147642902301,2.096410601311347,0.0017089269873349026,944.759915193973,1.0063878240822017,0.02931076798196272
B,1983,2.1514120845686238,1.7121093205122073,2.1484507948057554,2.652866329329155,0,Float64,0.11731712995080688,2.388768012236659,1.932066008525015,2.272237738183495,2.02983812435605,2.228409637855976,2.0710721289329905,0.001742689539836125,951.2955628950946,1.006549690940605,0.029513533626756287
B,1988,2.125999004424216,1.6737383787727806,2.1224972765532177,2.5734813333676536,0,Float64,0.11916235461124675,2.372095310697992,1.9077646055213604,2.2493563061486994,2.0019283634267824,2.202873651734638,2.0441420541494377,0.0017317845797227209,1006.3934550901527,1.0066891367897266,0.03122292191520094
B,1993,2.10425983664535,1.6267469529028609,2.1006286336969198,2.6457797820750213,0,Float64,0.12476481468352817,2.3620183657488174,1.8772043131019929,2.2332563571101005,1.975551545453947,2.184942889449803,2.017860949481144,0.0018116803590233189,1043.6802882092702,1.0064326878664036,0.03237972979491738
B,1998,2.076946918687235,1.564658059608683,2.07345678480677,2.570233603666659,0,Float64,0.1313645180380871,2.3507397199235376,1.8367325078153798,2.211834264640242,1.9422414742136103,2.1624725560432383,1.9848569788750328,0.00190134030462532,1105.1110416177069,1.0061255886228038,0.03428559236503093
B,2003,2.046152771430652,1.5042491966640452,2.0409956129996205,2.573741072572205,0,Float64,0.14010331348017882,2.341042697914956,1.7889850059060917,2.191110624713252,1.9036321506043996,2.1353161746919076,1.9478759175815612,0.002046666885924411,1129.4605574151553,1.0054068088302182,0.03504102556719597
B,2008,2.0139142807754107,1.4482137216149011,2.0077812168919493,2.6276501378357633,0,Float64,0.1503521443274751,2.3272388623123623,1.7385695768835336,2.1680685907236317,1.8608920240714617,2.1107577912911317,1.9113507818517206,0.002200727271096885,1159.936965152792,1.0051649356872085,0.035986542943362544
