parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,2003,1.8822908579454065,1.2704490393452106,1.865807210820217,2.832000323699697,0,Float64,0.22651896645859965,2.36683603204439,1.4855870597428664,2.1204846506420143,1.6554654911081654,2.0272756010233235,1.7180798841679727,0.0035041194289530783,1035.6185731787675,1.0033777272681386,1.2639652759702829
B,2008,1.9158594666307311,1.2904777800701117,1.8965399699046706,2.8799219140957657,0,Float64,0.20927378307518982,2.360637343107754,1.5517366710223148,2.133903490761031,1.7018956678244443,2.047237230491235,1.7741693113890837,0.00331632859212423,969.8063711857405,1.0052463915940923,1.1836419405177339
B,2013,1.9380979838582206,1.312872858000525,1.9269525731380632,2.995204908666675,0,Float64,0.2133560719068779,2.4058272184958875,1.577783091043635,2.15792425005205,1.7165780439842437,2.065001732085654,1.791074193162369,0.0034242601996045353,973.4552559556836,1.006187595185929,1.1880953790371573
B,2018,1.9526586637852406,1.3133001082968527,1.936578785366525,3.103904135363963,0,Float64,0.2392172588587621,2.473910812956635,1.5441295071783332,2.1931295817871796,1.7092910922504476,2.1044820750554605,1.7802154582173433,0.003928448811568544,1029.6742319013406,1.0065801684569944,1.2567102487259159
b,2003,2.7701851003808855,1.9014978650336196,2.7583735564116556,3.8408560188959213,0,Float64,0.28277016637626545,3.3380427198823814,2.251181781475997,3.0635085002320563,2.474338004916527,2.959571313003498,2.570577200385072,0.0030263970236201615,1033.1851115502084,1.0029735733643304,1.2609952529535424
b,2008,2.8329458414757984,1.9673753694654887,2.8251560380585587,3.9627325840821515,0,Float64,0.2601940176710008,3.3512459043208787,2.3427226517936757,3.1063303150500507,2.561278651981851,3.0035109640301254,2.650872156451275,0.002727637025805734,967.2736806856276,1.0044818618694178,1.180550809352428
b,2013,2.872460310754285,2.016681538902248,2.8626715181720055,3.988821804938913,0,Float64,0.26786774948647646,3.4040810580819216,2.361250219997346,3.157158601169776,2.596704227572462,3.044316135174403,2.6928943316906775,0.0029811847673045645,968.3376821102914,1.0072152646743133,1.1818494157015107
b,2018,2.9055441963775204,1.944853833741745,2.8924188311707333,4.138487957121531,0,Float64,0.3041638032360859,3.5335145507415064,2.353327496727203,3.2240103333495207,2.596407362093408,3.109734236725375,2.6888934365896633,0.0034372712004304895,1016.7362916797908,1.0068213947938776,1.2409195825423003
C,2003,107.80714891181736,106.17870769772252,107.80254546071936,109.49040860721469,0,Float64,0.4981981111738465,108.79356076541474,106.84590191762173,108.30833323720636,107.29857905836175,108.13864806754131,107.48605217438012,0.00011126282260936952,2149.9360667065375,1.0008283407925769,2.623982037645544
C,2008,107.80171758307668,106.40353715214425,107.800322984844,109.40076062492014,0,Float64,0.4277428471529193,108.64083867996592,106.97609522015756,108.24184235322917,107.3541536659901,108.0924855227559,107.50472720947198,9.802871389436862e-5,2378.2736921748183,1.0017088108415717,2.9026665236755127
C,2013,107.67635934868095,106.277270797838,107.66693939451629,109.61277191397826,0,Float64,0.40470492409218534,108.49216002017207,106.8835889816808,108.08846972475969,107.26724913295139,107.94478009633309,107.4021477705874,7.464163358105673e-5,3305.959589656966,0.9998886031897587,4.0349007185737875
C,2018,107.33556860569239,105.61960264254014,107.33422703473454,108.96343239743145,0,Float64,0.4454630636781519,108.2061819394282,106.48998242176441,107.79681533335355,106.86855249882578,107.63254543447135,107.02658703499725,9.080146645243097e-5,1818.7349028231365,1.0007881873875881,2.2197533173893853
c,2003,0.09122546789885705,0.08819186078971761,0.091186761411108,0.09464148428325017,0,Float64,0.0009240721217996668,0.0931192279238538,0.08949295497438478,0.09217828786394291,0.09027928617903268,0.09183537571890088,0.09060160964148353,0.0002992228003287604,1419.203667270757,1.0053791596008599,1.7321282192283274
c,2008,0.09329034681279962,0.09025441940356796,0.09328927737076223,0.09599282598804908,0,Float64,0.0008147187127613275,0.09486608491244972,0.0917228764959723,0.09413426622450835,0.09241824027644606,0.09385556011594237,0.09272169603621092,0.00025170723709570065,1560.2521654261718,1.003534730300208,1.9042769316147634
c,2013,0.09661520383039723,0.09376086892082452,0.09664526993405671,0.09912440605283815,0,Float64,0.0008013955987004908,0.09818089019820878,0.09500923984752754,0.09740147567559465,0.09578516184248745,0.0971569134848177,0.09606723316021082,0.00020370935383545792,2342.076334285736,1.0011324820906957,2.858487899770347
c,2018,0.09886906681620643,0.09577535935335753,0.0988839698444649,0.10211680425540705,0,Float64,0.0009400357654991314,0.10073622652961761,0.09702833978428707,0.09981524249461585,0.09788692769549763,0.09951634018362794,0.0982359101202453,0.0001975933567684244,2230.583750683631,1.0007048376998637,2.722411975824023
d,2003,7.982090992346968e-5,4.8640218449156735e-5,7.958694939650204e-5,0.00012144557244999977,0,Float64,1.0051434301097468e-5,0.00010118224642271749,6.151339940103924e-5,8.99874666172982e-5,6.96646194762049e-5,8.625022469733487e-5,7.301057637764159e-5,0.0054251067845191734,570.329444317418,1.0163724885658147,0.6960831257283817
d,2008,7.567625634979527e-5,4.918897030352831e-5,7.569306779175844e-5,0.00010446551588550642,0,Float64,7.4530694293742325e-6,9.017589375102109e-5,6.138845600675281e-5,8.338904213068246e-5,6.825280365652076e-5,8.056059823524352e-5,7.083078863682084e-5,0.004104747886084875,590.4613673088587,1.0140140912818878,0.7206539979188868
d,2013,7.151602846689663e-5,4.9016354928121256e-5,7.150343876685027e-5,9.19695590157426e-5,0,Float64,6.452397492600907e-6,8.44440815862687e-5,5.937323381950407e-5,7.805954272973938e-5,6.481070611601837e-5,7.571205081054603e-5,6.742834234212372e-5,0.0032487871283628593,724.9166708439511,1.0086090335659306,0.8847557620623783
d,2018,6.861214661627287e-5,4.60993255509961e-5,6.849173469278516e-5,9.285272388602831e-5,0,Float64,6.94262574287814e-6,8.23841803903558e-5,5.562025429278416e-5,7.57711974924981e-5,6.119840414765456e-5,7.323275208217462e-5,6.396554553458424e-5,0.0027788110224420143,1467.08746634971,1.0045974489995728,1.790570063440875
