parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.5332669475221907,1.4102182150197902,2.5117781937042976,4.752953816950314,0,Float64,0.34803783617393025,3.2760413229311167,1.908252993080885,2.8871201820627985,2.190427848536947,2.7408316892560585,2.293934877121366,0.002010393269544594,3820.820084975921,0.9998729077413604,0.14964981176276748
B,1908,2.429750468395701,1.6509177291896957,2.4241382894374848,3.294470416080805,0,Float64,0.20648039074952898,2.8524045619469853,2.0365704317414774,2.642590940348549,2.2201588921580506,2.5641567230731495,2.287951594988563,0.002936555319697111,817.0024228752328,1.0030070876983328,0.03199948075905648
B,1913,2.372757240700919,1.8265442619179302,2.366503552459595,3.030925035438039,0,Float64,0.17364808690749495,2.729366315914624,2.0446520932275583,2.552680354756545,2.195489332275826,2.485245330505419,2.2548020851076007,0.002649054713949207,701.3848050712381,1.003445535623144,0.0274710930422775
B,1918,2.306095860229764,1.8153957633060174,2.301478412977799,2.9132441794943933,0,Float64,0.16027572647146235,2.634303254595939,1.9991551543533619,2.470929885716062,2.141645508898647,2.4103661057771237,2.196806647156068,0.002616571418894335,662.7346187150991,1.004276948692674,0.025957283707068107
B,1923,2.2523009371566376,1.7887135771326417,2.247110572852942,2.8290093991409986,0,Float64,0.14317166768786418,2.544806687934513,1.9769332532660002,2.4005283729830835,2.1071324579037802,2.3453246834826573,2.1548364220124867,0.0023922353981920973,645.9621972600896,1.0043015706827119,0.02530035936681517
B,1928,2.1966159722512635,1.7485628680831635,2.190921818298194,2.743603440481474,0,Float64,0.13114853835992288,2.462746376826817,1.944916471027162,2.3316438278253306,2.0639021462338047,2.281375331697517,2.1098053265450867,0.002288367207838854,625.0908175184649,1.0043661601399267,0.02448289139394592
B,1933,2.148547643055804,1.6930885341066513,2.144790620928446,2.636692534297104,0,Float64,0.12009211414580348,2.3964246838789713,1.922295661394615,2.2733324449014782,2.027790505140664,2.2270330642171117,2.067460546736382,0.0021464307562887707,631.361404050672,1.0050667926752086,0.024728491048815006
B,1938,2.0923961854201574,1.662423875090217,2.0889929789505373,2.5204954130073545,0,Float64,0.11017496901879544,2.3199556418494525,1.883389439706193,2.2057104512890118,1.9810612281693294,2.163641332212317,2.0182308560651547,0.002006367619900032,654.0245475577336,1.0049460177636522,0.025616136916549112
B,1943,2.0481140765903065,1.6464597339250986,2.044782464262617,2.4332223801771335,0,Float64,0.10268460994541145,2.259119928187538,1.8546954481141569,2.153573620139007,1.9438051227654376,2.1135780032713956,1.9790292520145056,0.0018892922804565207,663.8334670933438,1.0059463540623657,0.026000322230029904
B,1948,2.002485877914995,1.6221176209518076,1.9983367237604805,2.3804727885971526,0,Float64,0.09515725964379718,2.2016758635030405,1.8264023869173482,2.099401454661389,1.906429068069098,2.062888063887721,1.9393907571758775,0.0018199976023674522,655.032337381088,1.0067847296362376,0.025655608955013957
B,1953,1.9709103472734264,1.6072912762734752,1.9675593137811707,2.449247905161739,0,Float64,0.09100158104051873,2.1585932425438545,1.8064515917172494,2.0621486931018747,1.8785957864336686,2.0278850974764318,1.9095628718666182,0.001820105181625242,623.364886951413,1.0098330577086483,0.02441529198368043
B,1958,1.9268945000820676,1.5930354176970591,1.9237764981008003,2.316357289327001,0,Float64,0.08724530912219694,2.111223680494061,1.7684185706700424,2.015093384818959,1.8381541297708601,1.981341159086355,1.8683122652079276,0.00183093808170795,625.6759616806455,1.010255137035946,0.024505809697288373
B,1963,1.879546722405507,1.5497856836259445,1.8767100338005833,2.309429487244188,0,Float64,0.08498312514624412,2.0556418528287024,1.7228089121761272,1.9667235690662146,1.7927994249513153,1.9345216617371004,1.8232359215138279,0.0018142750626975778,642.5093046946924,1.011092800051758,0.025165120148281803
B,1968,1.8304098775654356,1.4933610237335244,1.8276777110598643,2.205621235943469,0,Float64,0.08426586798395777,2.0023139574399966,1.6687630782171698,1.916803295454109,1.7463311062607436,1.8855906414478258,1.7752651109547757,0.0018435798411895773,646.7008633933829,1.0123073703233987,0.02532929065521515
B,1973,1.7867589372077886,1.444873440685473,1.7844427107227967,2.1463017184416024,0,Float64,0.08530564153160787,1.9588617935970762,1.6174849773114466,1.8731866214446515,1.700991931477094,1.8408020533756202,1.731877402952799,0.0018909992211867245,650.4209979159737,1.0123135184659953,0.02547499692210455
B,1978,1.7478601871270605,1.4112561969657618,1.74702461805955,2.1054192256526907,0,Float64,0.08698432807131044,1.9235559282482868,1.5707586994766525,1.8362490784411107,1.6599582046828398,1.8044377416719324,1.6916367022084735,0.0019908290745990855,637.7709190605076,1.0122141728648029,0.024979532106331474
B,1983,1.7092148512260037,1.3612586658361534,1.7086368159624117,2.0934296719220225,0,Float64,0.08919081003278527,1.8915063803460854,1.5334214629701963,1.7996609312522704,1.6181962053869743,1.7659623943748524,1.6512620970226108,0.002031135295740981,663.1465053620012,1.0109576416800676,0.025973416044578285
B,1988,1.67334412857824,1.3520019812283028,1.671720115799595,2.0726189046864514,0,Float64,0.09191423143252653,1.8598204681427457,1.4922507736110278,1.7660854313651189,1.5811584407024615,1.7324992285684893,1.6126077275090656,0.0021377331353795463,654.0497873124593,1.0114631073635783,0.02561712548038086
B,1993,1.6385064805177085,1.2740238359932268,1.637828289901797,2.07607056199273,0,Float64,0.09567109415343888,1.8334913934176382,1.449766104589787,1.7335501023201427,1.541614322601287,1.6987049667440697,1.5751450497263846,0.0021924635534756446,668.4129446217801,1.0093771155933164,0.026179686328537736
B,1998,1.6079203502768618,1.2120819674198775,1.6061980456913627,2.0229328260687183,0,Float64,0.09963900854565907,1.8130838706552765,1.4114637249151423,1.706861327567839,1.506055338252983,1.6706018096625264,1.5425010794492324,0.0023455086731848838,655.3324049141924,1.0090408538039373,0.02566736168056671
B,2003,1.5766311853381918,1.1956923782977378,1.5745155423971178,2.0699504546474725,0,Float64,0.10474672094389956,1.7903696105556812,1.373925960878236,1.6809231702041014,1.4703307228150826,1.642157964361396,1.5082374247782635,0.002497529104291864,662.5624486156366,1.0082896015865548,0.025950540331980375
B,2008,1.5428521822820294,1.128421443400518,1.5410858354782433,1.9888757345661394,0,Float64,0.11078156027561623,1.7714550827032516,1.3264937719909777,1.6527180589719312,1.430813818083847,1.6105103369213327,1.4700691276298823,0.00264458822936728,677.0253549994596,1.0080915274667752,0.026517008045650613
B,2013,1.5071664466949168,1.0709493635297715,1.5054532026053207,2.0129354665902666,0,Float64,0.1170679081679022,1.745210893716903,1.2777092846234912,1.6224623072682607,1.38805113244663,1.5793502041575391,1.4304476263438688,0.0027984958105056,693.3537589448617,1.007117790368268,0.02715654158098358
B,2018,1.4691915713398203,1.006587357530184,1.4659775076196184,1.981874073610589,0,Float64,0.12313751457801159,1.7208303485743952,1.2323137391483718,1.5910764070649361,1.3444939780709975,1.5467621413149952,1.3883088023647154,0.0029551125745513806,722.6788978699416,1.006475284420338,0.028305117389960166
b,1903,0.7123800527988681,0.49904393041932366,0.7118412679782187,0.9577357988862171,0,Float64,0.047238800156644445,0.8057008560554475,0.6219246977333059,0.7597412139156252,0.6640652981852554,0.743862965741663,0.6805978155544901,0.0010693741215674136,3594.941017496206,0.9999203783015095,0.14080282101792535
b,1908,0.770404695840557,0.6538041271847354,0.7693153343447215,0.9056006866313142,0,Float64,0.0348534942201734,0.8430990676829031,0.7059502961373951,0.8060144019869312,0.7346298167970543,0.7926679705236571,0.7462922085066767,0.001429254947206272,946.9432550374684,1.0023649245472637,0.03708886488102528
b,1913,0.8222336194109768,0.68126047228904,0.8210006738825051,0.9554366857460518,0,Float64,0.038171508729752286,0.9015855736512509,0.7504500008196796,0.8615587151160886,0.7826194166169594,0.8464814859053709,0.795674027925885,0.0014981079820072533,876.466636181516,1.003160437748185,0.03432851173408142
b,1918,0.8674798993108565,0.7272660127338915,0.8658505016180954,1.02937517629412,0,Float64,0.039710173493068775,0.9509233435263741,0.7942068842536419,0.9080962505762118,0.8269812649190575,0.8932754628497269,0.8399381292076801,0.0014848617800554964,880.7260641887887,1.0030563525552247,0.034495340473809796
b,1923,0.9181791135937326,0.7854847444267976,0.9166936056300874,1.0955730067522258,0,Float64,0.03761063976314203,0.9950274918992226,0.8471170792703568,0.9577571157046494,0.8800485883194666,0.9428653701092047,0.8925990043053562,0.0014272581736157674,783.2558702627333,1.003119939263781,0.030677731727752722
b,1928,0.978314228593114,0.8463417821381668,0.9769795900141536,1.1381113358679407,0,Float64,0.03753380958058725,1.0546018626148834,0.90682473289959,1.016370183178504,0.9402731563612506,1.002530442992124,0.9528146641064417,0.0013658165162547626,741.9920171839186,1.0038959563601175,0.02906155307800873
b,1933,1.0523975383708803,0.9234539892457141,1.0517720488469506,1.2038165212579688,0,Float64,0.03876408224406907,1.132133837360771,0.9785072799069021,1.0927024879096001,1.011899152099574,1.0781224580580033,1.025534515660171,0.0012981859046194701,738.0618979315759,1.0037310418163472,0.028907622352866504
b,1938,1.1291252854902805,0.9860745698992539,1.129069396485185,1.292370853943244,0,Float64,0.04122834136031635,1.2116168633491942,1.0505474247459323,1.1719802267407162,1.086112531352906,1.1560392441180383,1.101138819394823,0.0012795679328123412,771.7788291366708,1.0043031980697632,0.03022821120443302
b,1943,1.2247339538292468,1.0191918578596733,1.2239983608084866,1.4340949003655357,0,Float64,0.046434804883227696,1.3166921765518136,1.1362818119850693,1.2722005699226755,1.1774538676218,1.2554671808799676,1.193651404161968,0.0012865541006378406,879.0244760524607,1.0048252172148375,0.03442869448194524
b,1948,1.335073470926096,1.1625746951745888,1.335788683291292,1.5644962164362477,0,Float64,0.04670986005504741,1.4265601008409727,1.2419855616830562,1.382500979125,1.2878273110104856,1.3658764383290323,1.303589727205236,0.0011923442918371013,875.0190142521634,1.0050974732969489,0.03427181282012755
b,1953,1.4914104999211741,1.313839315844687,1.4911906106971742,1.7094606102050955,0,Float64,0.050844802518396064,1.5911476523967525,1.391832749439425,1.5438757136863035,1.4396839278569245,1.5255922867096563,1.457567391750993,0.0012154579575396917,784.8554987305922,1.006407050865298,0.03074038427191379
b,1958,1.662883276914296,1.4579728712293636,1.662045576735025,1.901939790008173,0,Float64,0.057502959293703804,1.7799163864294156,1.5512937690950683,1.7215881800587474,1.6046261326933233,1.701194255839895,1.623714573553436,0.0012986548805777461,729.9898068927716,1.008855927461589,0.02859146328815708
b,1963,1.8517218686579544,1.575211074666959,1.8509213691722013,2.1717102139101367,0,Float64,0.06581320047943787,1.9831375705505836,1.7255110393122222,1.9213003762188487,1.7841519971952835,1.8947274202150437,1.8069709245806143,0.00136011714434001,721.5850981177518,1.0095978862235921,0.0282622766062067
b,1968,2.0579485112346854,1.7353287307504104,2.0569837997007006,2.4382723388483463,0,Float64,0.07718875590773608,2.209783361253807,1.9120171852569265,2.1363296824794644,1.9784129402125046,2.1072360354082793,2.0069354191686957,0.0014363039594862904,711.6329982109837,1.0110052426687717,0.027872483356441186
b,1973,2.2860244788502047,1.9635177509106723,2.282638047750946,2.736826065954057,0,Float64,0.09329946863404147,2.485400899564687,2.112062612455342,2.380772229912455,2.1905387745008933,2.3449797841179305,2.2244429044818452,0.0015424616518078258,712.5463344961197,1.0117467934296263,0.02790825593931787
b,1978,2.5124572951993804,2.128945806318689,2.509445906517575,3.0133761292667476,0,Float64,0.10857170608886044,2.737108153670342,2.305712225739316,2.624590511788884,2.400458711926068,2.581380441280084,2.439561330540034,0.0015853956987538942,748.5361314460006,1.0104879895182848,0.029317865975683623
b,1983,2.719616751952874,2.2439300701790086,2.715926677671328,3.27085159025627,0,Float64,0.12419679216107511,2.9717328474273583,2.488411023897614,2.8474000640348756,2.593502867038851,2.798290741249655,2.6347727710359385,0.0016798655155567358,731.1342811928087,1.010852440327261,0.028636288838630217
b,1988,2.9128957909918163,2.433830766888427,2.9067684159528797,3.728104090854914,0,Float64,0.14156382114566538,3.205183418126939,2.651186634169305,3.0556444598038133,2.7697651689441054,3.0035337267916664,2.817393881866596,0.0017559406666416972,724.6943762096288,1.0097378660342555,0.028384057499004328
b,1993,3.0966483862967817,2.549094355490476,3.089674908198559,3.9038934536766856,0,Float64,0.16217398727039178,3.436094738267634,2.796174531313734,3.2608665421123124,2.932818370790432,3.1987594588258816,2.9878585026043223,0.0019268421718361313,689.5649704000854,1.0094121439699046,0.027008146346472483
b,1998,3.2907605264892896,2.6990139954274985,3.2822044222201856,4.071497408487215,0,Float64,0.18395511459157088,3.6831510871610713,2.9459156251836096,3.474891811158364,3.1068349680578433,3.4024097002114146,3.1676779081709663,0.00206104146001802,684.0132001860169,1.009185031558815,0.026790700523584246
b,2003,3.4829580285573973,2.7934554306622306,3.4715021745968198,4.528881073562853,0,Float64,0.21298910190806683,3.9310167316853284,3.0921112953747647,3.6991089300879625,3.271723846734865,3.612668266429578,3.341563781413937,0.0022086406396046522,694.530876513187,1.0085449395115347,0.02720264566822265
b,2008,3.658663090603447,2.872809125102845,3.6428444476423447,4.919785431598791,0,Float64,0.24325924863981127,4.190697845908367,3.2208974875141365,3.898587481884572,3.41879773212399,3.8035675458220286,3.4923662732560103,0.0023833268242612247,692.2527914239585,1.0081567658879595,0.027113420057699098
b,2013,3.8295453222599636,2.9345267494942884,3.8088802071707155,5.380658518162816,0,Float64,0.28248349725664335,4.442924026861462,3.325377736380524,4.11023771566788,3.552242249059148,3.9938589475362027,3.6404510385538438,0.0025789376940997945,709.3478522899987,1.0072416366139063,0.027782981194779465
b,2018,4.023743425873,3.0115010256796704,3.998543799754591,5.944336696451148,0,Float64,0.3369799388782103,4.7728211864799315,3.4280257866265145,4.367446226251798,3.6900978305432823,4.220798793159261,3.794755481440994,0.0027787970595013712,764.127419141521,1.0055729728045995,0.029928528926799387
