parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1988,3.0212933216850963,2.1614213118792946,3.014672855252898,3.96733393990175,0,Float64,0.24924315438447778,3.5448921563871996,2.562779232463633,3.2806855746039987,2.7632351760851117,3.180373047353611,2.845787728784607,0.002436651564861751,1104.7167405871573,1.004511657548041,0.7984174564983325
B,1993,3.0978114810236645,2.3354721331098864,3.0917710993737955,3.989035324874568,0,Float64,0.23609095465656796,3.592065644374412,2.664733092435926,3.3417345833981744,2.852232927491127,3.252201157353012,2.932112775784329,0.00240876242667633,1004.7980479852986,1.0047081605612829,0.726202719930284
B,1998,3.167026367409235,2.39535375819962,3.1576868002280496,4.1140757137479,0,Float64,0.2327631000657687,3.6403455832514826,2.7282937398942115,3.4105467376372833,2.928210481552299,3.319449738167558,3.005733026821024,0.0025651588617582404,907.434708022939,1.0058578480349305,0.6558348261590603
B,2003,3.209942797356485,2.427005289474857,3.2033725322438102,4.112711473940677,0,Float64,0.23486478803351202,3.682391922193859,2.765160709444491,3.451295137732851,2.9694117508352287,3.3639393343862833,3.0521065940344503,0.0026512179030935687,838.6986151291095,1.005650756989847,0.6061568458753943
B,2008,3.224458426038811,2.4764939899719494,3.2166943183213896,4.152208474062755,0,Float64,0.23983603026055264,3.7077545043034643,2.7640682181259604,3.4737369705431145,2.9799798600537586,3.3831687339203635,3.064917372665572,0.002689899524444397,852.6404384700975,1.0060175725080212,0.6162330896054788
B,2013,3.274499641841807,2.497822049765461,3.2696073825132608,4.311712286453539,0,Float64,0.25238057534217595,3.7933240500741134,2.7929341644071735,3.5355426532496463,3.0177166446576114,3.4386134264995367,3.103886741958972,0.002756387250284395,846.8456306174543,1.005424437965486,0.6120449791364142
B,2018,3.3366403479708304,2.4790528378193506,3.3318246618197542,4.446698791441192,0,Float64,0.2846735046706112,3.945075899961667,2.8043038263654734,3.619205409090653,3.042205254025709,3.520620040068944,3.140176877426979,0.0027821225642248935,959.6776131089762,1.0034199667480534,0.6935926023078202
b,1988,1.782870452285058,1.399293436847381,1.7795873560075781,2.3642657511166396,0,Float64,0.12678417967110184,2.0420045519567727,1.5458546423481432,1.9125924555486815,1.6501248643522095,1.868313897042084,1.694061732694036,0.002010305498117371,1111.5774054290557,1.0032722564386625,0.8033758991214113
b,1993,1.8275259273462663,1.5108293317542283,1.8236920371884495,2.3544444916915923,0,Float64,0.12069188853497324,2.074984848780498,1.6035907890149346,1.9536498983413793,1.7029819219698168,1.9070690752476018,1.7421840520872827,0.00213472969013305,988.8442247615459,1.0047845906600605,0.7146723334594838
b,1998,1.8501129766410662,1.5035451287290729,1.8473099245835118,2.292819309309966,0,Float64,0.11888807702302816,2.095956437497824,1.6329641485595459,1.9704607270729921,1.7290592559488571,1.9278294219649124,1.7676765351971313,0.0023044190709926374,901.2905276388839,1.0059490069742087,0.6513942119325601
b,2003,1.8672696285506742,1.5064948521575405,1.8618935191606063,2.3020940777602292,0,Float64,0.11989500124041225,2.1209773247680337,1.6541425484251155,1.9889076842837021,1.7433940031249628,1.9431394220627847,1.7830520563582957,0.002318490569145727,851.5033320620261,1.0063781971547918,0.6154112630025635
b,2008,1.872955048184463,1.485301121513829,1.8675650335899516,2.3465568532964376,0,Float64,0.12436238773186709,2.1388219720208594,1.653794167647036,1.9985788023617113,1.7457242459343385,1.9488627059276467,1.7870566774478303,0.0024376132554263085,837.0257697131087,1.0061647603363675,0.6049478219391332
b,2013,1.9233472289773625,1.5146089191072223,1.914796557304607,2.4147365915705916,0,Float64,0.13365756164735812,2.209676042511474,1.684948071642889,2.0607972226108195,1.7868690928303546,2.003137063353037,1.8307272966904797,0.002463964335661418,857.8859395172921,1.005554484351773,0.6200241968190207
b,2018,2.00092242279385,1.5210395526268703,1.9901763113459863,2.650257453036186,0,Float64,0.15276995108720884,2.3263368499428,1.7244135621065348,2.157875851990205,1.849066149993933,2.0979799258596734,1.8953944215833016,0.002446038962160362,964.7358759517217,1.0032857578603165,0.6972483859171628
C,1988,110.16224705433231,108.47278685575375,110.15808399460278,111.95580473877833,0,Float64,0.413319255952714,110.98567819264215,109.35750456515028,110.59175910601736,109.73792106760652,110.4378831221403,109.88127066523253,5.278553444614304e-5,3616.507044628944,0.9999995716380339,2.613776228688492
C,1993,111.89655399468224,110.33239172195474,111.88854164864314,113.32901148464302,0,Float64,0.3998870262427499,112.70919547628343,111.13535997832086,112.31100162619435,111.48737980412791,112.16546733030582,111.63025258280439,5.239397832600026e-5,4120.384416017638,0.9999820550587424,2.977946042062915
C,1998,112.3329399022783,110.66873722183075,112.34278000235896,113.84323084638758,0,Float64,0.39963402669134834,113.09203534524715,111.54842618006114,112.74463298076549,111.91456753467516,112.59871689847347,112.0677802967111,5.4827347482595285e-5,4801.711226685608,0.9999771387171499,3.4703647764151393
C,2003,112.30964490755936,110.97286312895088,112.31028561238153,113.57737113049785,0,Float64,0.39027968270332347,113.081240513282,111.54753846308448,112.71536405545767,111.91072792410836,112.58104649221596,112.04116576231037,5.044211027069424e-5,5395.872966186865,1.0001470912850783,3.899786262821763
C,2008,111.86587069314649,110.62414588742215,111.86934916188406,113.24084577789475,0,Float64,0.37099486744012533,112.60450522841343,111.13269143594825,112.24324537250799,111.48782168648285,112.10898521298995,111.61996262324918,4.82155807973607e-5,4776.562811365938,0.9998558623690157,3.4521891364010093
C,2013,112.47396602933351,111.0981857458757,112.47086267904137,113.83968743450005,0,Float64,0.37374834414479385,113.18924559573033,111.75526117580291,112.87034064572939,112.08685661310395,112.72708401720807,112.21801152532726,5.065750881266601e-5,4930.778336706698,0.9995950969137368,3.56364609452557
C,2018,114.31992659417874,113.00362106880917,114.30805553827456,115.94797482817758,0,Float64,0.40603262189598505,115.13666717246743,113.53826748163107,114.73474230417342,113.90484953643228,114.58195165752653,114.04723928998501,5.131436306387751e-5,4283.630462020814,0.9995274872989138,3.0959296735628694
c,1988,0.09238458201975693,0.08951521427912164,0.09238110233100455,0.09552764632539239,0,Float64,0.0008254091874104922,0.09396739402641786,0.09080686283467494,0.09325354381462025,0.0915167735266355,0.09295358673783484,0.0918189302058756,0.0001309160184805918,2722.733725524042,0.9999957300492109,1.9678149664860853
c,1993,0.09134839824494737,0.08868219605782066,0.09133610338241967,0.09414888103825415,0,Float64,0.0007217785182436154,0.09276472813185602,0.08996032042864802,0.09208327941595136,0.09061237275064798,0.09181888241005363,0.09086602419835148,0.00012018752349752759,3830.078119558387,0.9999405237641216,2.7681315201056833
c,1998,0.09342541057098964,0.09084071936748608,0.09341139857864357,0.09640099474573698,0,Float64,0.0007381563355920718,0.09490689211706815,0.09204037529397678,0.09418999921030347,0.09266193196401047,0.09390897414773706,0.09291104270827608,0.00011412348660165847,4300.389875757761,0.9998320265636573,3.1080422884954038
