parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1958,2.650675353268146,1.9719728336075326,2.6511548591936513,3.329754866073858,0,Float64,0.19603449619223756,3.0476902558979524,2.2680875536738787,2.8518169173271453,2.4451293261242277,2.7813571202484804,2.518978588482689,0.0021025149371782324,1271.3819188400817,1.0034366675584916,0.32744898541656375
B,1963,2.7359676772274057,2.1547489451081567,2.7291342064197095,3.4183594613900397,0,Float64,0.17445524468979012,3.085760850087235,2.4090788948175166,2.9166984676920626,2.5552980202387676,2.8504885086556806,2.61726040608767,0.0019597841642042505,1114.4188510207628,1.0049176235403017,0.2870225828197748
B,1968,2.8041096938701346,2.3336893286164564,2.7971403279776466,3.4528100360491045,0,Float64,0.16364644296679345,3.1383532380763826,2.496753231653098,2.969695100074875,2.6341864708376788,2.9135547665021475,2.693735860241531,0.0020124759872879026,1033.911685500888,1.0039414671192592,0.2662876728154724
B,1973,2.851327897168449,2.3823727495470974,2.8453280749550984,3.527201122810546,0,Float64,0.15662642765659052,3.1772239590334395,2.565830605743761,3.0141491949590447,2.6881321096255357,2.951961663894357,2.741509277521942,0.0019592500097712702,987.1399743323417,1.0042047550585984,0.25424145040080276
B,1978,2.8637237428378852,2.440515070796376,2.858548044213844,3.41487792033121,0,Float64,0.15418488013661238,3.183030354614398,2.5682456440682655,3.0242551775605033,2.707631511297911,2.9631900117541288,2.7573369931028613,0.0020419079170673794,967.1929987071014,1.0044029703267854,0.2491040350940216
B,1983,2.9254298955637648,2.4124884542247664,2.920123494112728,3.595794950259112,0,Float64,0.15746201779484492,3.253314889000353,2.6321701266246142,3.0863571261489886,2.763937187113455,3.027495327382803,2.816046767010541,0.0020065401923287205,922.901216623799,1.0032698373271465,0.23769652733372507
B,1988,2.980849237285348,2.4623132570289497,2.976100085362193,3.6348815965123005,0,Float64,0.16514010951327412,3.3233339969656446,2.676121676693584,3.1541038229603524,2.8086568733242454,3.087620003962782,2.865422271175193,0.0021729216509669557,857.2768281137222,1.0038433416518204,0.22079473007062436
B,1993,2.9958982828420893,2.3677872750513735,2.989966059625697,3.7421761018187283,0,Float64,0.17218623311444978,3.35124163599866,2.674254460320402,3.172163105329975,2.8179984587484155,3.1102823391320937,2.8767738744004854,0.0021460326878659365,842.7621015558765,1.0033942758259948,0.21705641004692794
B,1998,2.998489397182558,2.2781589527985098,2.995560531685779,3.687171779797,0,Float64,0.17724925111500214,3.3592325223964035,2.666943863819465,3.1806802516999966,2.818293639390959,3.112875635072129,2.8741531828107902,0.0020973052202478784,947.3355469158606,1.0035288534402331,0.24398967697263793
B,2003,3.043986972775979,2.4117866414506417,3.043061359019828,3.8199413147857744,0,Float64,0.19387689812737338,3.4371388182106273,2.684205886744982,3.241416875426438,2.840470097210619,3.173322889994399,2.9069688173996227,0.0022138951103640343,1026.219899203525,1.0030923104893905,0.26430662559292706
B,2008,3.0859257345318727,2.4641794769873,3.0785593725703775,3.956990141393915,0,Float64,0.21806927930637449,3.534075392802069,2.683770864904626,3.312542438010343,2.8568081216509333,3.2328067082218275,2.930326183655551,0.0023375899053870307,1069.053574119349,1.002359098461042,0.2753385926085077
B,2013,3.1248346666446305,2.3962210105403043,3.1096548110303894,4.1442352254409744,0,Float64,0.24527599011660775,3.6202940834691026,2.672885097272853,3.38385096446001,2.872524896291399,3.28751015829884,2.9515345372916286,0.0025490604748246966,1190.5272165721778,1.0018911835355175,0.30662456607297417
